#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
1,Phillip Evans,PIT,1.0,16.56, , , , , , , , , ,2021.0,2021-01-01
2,Brandon Brennan,BOS,3.0,16.42, , ,-2.44,-2.09,-3.58, , , , ,2021.0,2021-01-01
3,T.J. Zeuch,TOR,15.0,16.00,-0.16, ,-1.89,-16.52,-1.24, , , , ,2021.0,2021-01-01
4,Jake Reed,- - -,10.0,13.90, , ,0.45, ,0.31, , , , ,2021.0,2021-01-01
5,Stevie Wilkerson,BAL,1.0,13.10, , , , , , , , , ,2021.0,2021-01-01
6,Hanser Alberto,KCR,0.1,13.02, , , , , , , , , ,2021.0,2021-01-01
7,Pat Valaika,BAL,1.1,12.64, , , , ,-3.58, , , , ,2021.0,2021-01-01
8,Brett de Geus,- - -,50.0,11.53,0.50, ,-1.34,-43.30, ,-2.64, , , ,2021.0,2021-01-01
9,Jack Mayfield,SEA,0.1,11.32, , , , , , , , , ,2021.0,2021-01-01
10,Angel Rondon,STL,2.0,10.78, , , ,-1.34,2.56,-54.42, , , ,2021.0,2021-01-01
11,Brock Holt,TEX,1.0,10.57, , , ,0.44, , , , , ,2021.0,2021-01-01
12,Jesse Hahn,KCR,3.1,9.95, , ,-4.64,-6.53,-10.51,3.28, , , ,2021.0,2021-01-01
13,Brady Lail,SEA,2.0,8.99,-24.91, , ,-5.54, ,-0.25, , , ,2021.0,2021-01-01
14,Nick Allgeyer,TOR,1.0,8.82, , , ,-5.06, ,5.43, , , ,2021.0,2021-01-01
15,Jake Rogers,DET,1.0,8.76, , , , ,-19.47, , , , ,2021.0,2021-01-01
16,Akeem Bostick,NYM,1.0,8.51, ,-1.59, , ,9.54, , , , ,2021.0,2021-01-01
17,Daniel Zamora,SEA,4.1,8.12, , , , ,-3.49, , , , ,2021.0,2021-01-01
18,Luke Maile,MIL,1.0,7.34, , , , , , , ,-14.55, ,2021.0,2021-01-01
19,Seranthony Dominguez,PHI,1.0,7.19, , ,7.08, ,0.98, , , , ,2021.0,2021-01-01
20,Konner Wade,BAL,12.1,6.95,0.10, ,-7.98,-0.95,-0.77, , , , ,2021.0,2021-01-01
21,Nick Maton,PHI,0.1,6.88, , , , , , , , , ,2021.0,2021-01-01
22,Matt Duffy,CHC,0.1,6.79, , , , , , , , , ,2021.0,2021-01-01
23,Mike Freeman,CIN,0.1,6.61, , , , , , , , , ,2021.0,2021-01-01
24,Sergio Alcantara,CHC,0.1,6.51, , , , , , , , , ,2021.0,2021-01-01
25,Aaron Ashby,MIL,31.2,6.48, , ,-1.87,1.51,3.55,-8.29, , , ,2021.0,2021-01-01
26,Devin Smeltzer,MIN,4.2,6.34, , , ,6.10,-7.54,-35.19, , , ,2021.0,2021-01-01
27,Danny Mendick,CHW,1.0,6.14, , , , , ,-22.63, , , ,2021.0,2021-01-01
28,Charlie Culberson,TEX,2.0,6.08, , , , , , , , , ,2021.0,2021-01-01
29,Max Schrock,CIN,1.2,5.91, , , , , , , , , ,2021.0,2021-01-01
30,AJ Ramos,LAA,4.2,5.81,2.13, , ,2.80,10.69,7.55, , , ,2021.0,2021-01-01
31,Kirby Snead,TOR,7.2,5.74, , ,5.94,-7.67,0.71, , , , ,2021.0,2021-01-01
32,Andrew Knapp,PHI,0.1,5.51, , , , , , , , , ,2021.0,2021-01-01
33,Asdrubal Cabrera,ARI,1.1,5.27, , , , , , , , , ,2021.0,2021-01-01
34,Riley Smith,ARI,67.1,5.23, , ,-1.42,-1.73,-1.32,-0.58, , , ,2021.0,2021-01-01
35,Kevin Plawecki,BOS,1.0,5.18, , , , , ,-2.01, , , ,2021.0,2021-01-01
36,Reiver Sanmartin,CIN,11.2,5.11, , ,-1.43,-0.25,0.44, , , , ,2021.0,2021-01-01
37,Bryan Mitchell,MIA,4.0,5.02,-2.23, , , , ,-22.98, , , ,2021.0,2021-01-01
38,Joshua Fuentes,COL,1.0,4.91, , , , , , , , , ,2021.0,2021-01-01
39,Bryan Baker,TOR,1.0,4.78, , , , ,-6.78, , , , ,2021.0,2021-01-01
40,Dan Altavilla,SDP,1.1,4.70, , , , ,-7.74, , , , ,2021.0,2021-01-01
41,Joe Biagini,CHC,3.0,4.59,7.95, ,1.15,-3.03, ,-11.49, , , ,2021.0,2021-01-01
42,Michael King,NYY,63.1,4.48,-0.52, ,0.99,-0.18,-1.63,-3.58, , , ,2021.0,2021-01-01
43,Brad Peacock,BOS,5.1,4.44, , ,1.83,1.52,-12.26,-15.76, , , ,2021.0,2021-01-01
44,Kevin Pillar,NYM,0.1,4.34, , , , , , , , , ,2021.0,2021-01-01
45,Luis Severino,NYY,6.0,4.33,-14.30, , ,4.43,0.41, , , , ,2021.0,2021-01-01
46,Andrew Romine,CHC,1.0,4.29, , , ,-14.37,-3.58, , , , ,2021.0,2021-01-01
47,Jake Arrieta,- - -,98.2,4.11, , ,-2.46,-2.86,-1.37,-0.38, , , ,2021.0,2021-01-01
48,Rafael Dolis,TOR,32.0,4.11, ,-0.34,-0.48, ,-1.17, , , , ,2021.0,2021-01-01
49,John King,TEX,46.0,4.11,1.80, ,-0.18,4.84,-1.07,-3.58, , , ,2021.0,2021-01-01
50,Noah Syndergaard,NYM,2.0,4.01, , ,-22.46,-3.18, , , , , ,2021.0,2021-01-01
51,David Paulino,PHI,2.0,4.00, , , , , ,-17.69, , , ,2021.0,2021-01-01
52,Peter Solomon,HOU,14.0,3.98,6.01, , ,-10.20,-2.94,-3.70, , , ,2021.0,2021-01-01
53,Anthony Gose,CLE,6.2,3.95, , , , ,0.35, , , , ,2021.0,2021-01-01
54,Jason Foley,DET,10.1,3.94, , ,0.21,2.21,-4.64, , , , ,2021.0,2021-01-01
55,Ryan Thompson,TBR,34.0,3.77,5.66, ,0.75,-8.53,0.48, , , , ,2021.0,2021-01-01
56,Chris Mazza,TBR,27.1,3.68,-0.22, ,0.76,-2.44,1.79, , , , ,2021.0,2021-01-01
57,Tyler Clippard,ARI,25.1,3.63, ,1.04,-4.12,-1.44,3.98,2.03, , , ,2021.0,2021-01-01
58,Mike Fiers,OAK,9.1,3.55,-6.20,-9.62,-6.90, , ,2.62, , , ,2021.0,2021-01-01
59,Josh Fleming,TBR,104.1,3.49,0.32, ,0.65,-0.55, ,-3.78, , , ,2021.0,2021-01-01
60,Harold Castro,DET,2.2,3.38, , , , , ,6.60, , , ,2021.0,2021-01-01
61,Craig Stammen,SDP,88.1,3.38,1.22, ,0.48,0.44,5.87,0.94, , , ,2021.0,2021-01-01
62,Alex McRae,CHW,2.0,3.36, , ,4.98,-8.06,-2.78, , , , ,2021.0,2021-01-01
63,Ian Gibaut,MIN,6.2,3.35, , , ,-3.51,-3.07, , , , ,2021.0,2021-01-01
64,Kyle Tyler,LAA,12.1,3.30, , , ,-0.81,-3.94,-2.76, , , ,2021.0,2021-01-01
65,Richard Bleier,MIA,58.0,3.11,0.81, ,2.39,-19.05,4.03, , , , ,2021.0,2021-01-01
66,Jordan Zimmermann,MIL,5.2,3.00, , ,-6.51,-2.09,0.07,-10.59, , , ,2021.0,2021-01-01
67,Joe Kelly,LAD,44.0,2.91, , ,1.09,-1.76, ,1.81, , , ,2021.0,2021-01-01
68,David Price,LAD,73.2,2.86,0.07, ,-0.91,-1.78, ,-0.31, , , ,2021.0,2021-01-01
69,John Curtiss,- - -,44.1,2.84, , , , ,-2.15, , , , ,2021.0,2021-01-01
70,Miles Mikolas,STL,44.2,2.79, , ,0.00,3.12,0.18,-3.06, , , ,2021.0,2021-01-01
71,Brett Anderson,MIL,96.0,2.75,-2.55, ,-0.85,2.79,-4.39,1.02, , , ,2021.0,2021-01-01
72,Wyatt Mathisen,ARI,1.0,2.71, , , , , , , , , ,2021.0,2021-01-01
73,Marwin Gonzalez,BOS,1.0,2.69, , , ,7.47,22.20, , , , ,2021.0,2021-01-01
74,Josh Hader,MIL,58.2,2.69, , , ,1.86,1.85, , , , ,2021.0,2021-01-01
75,Jacob deGrom,NYM,92.0,2.68, , , ,2.76,3.91,10.38, , , ,2021.0,2021-01-01
76,Andrew Chafin,- - -,68.2,2.64, , ,1.42,-2.85,2.72, , , , ,2021.0,2021-01-01
77,Romy Gonzalez,CHW,0.1,2.62, , , , ,19.64, , , , ,2021.0,2021-01-01
78,Louis Head,TBR,35.0,2.58, , , ,-3.63,1.21, , , , ,2021.0,2021-01-01
79,Spencer Turnbull,DET,50.0,2.55,1.25, ,1.16,1.94,1.63,-0.17, , , ,2021.0,2021-01-01
80,Austin Warren,LAA,20.1,2.50, , ,3.26,-3.18,0.17, , , , ,2021.0,2021-01-01
81,John Schreiber,BOS,3.0,2.49, , ,-3.68,-3.56,-1.24, , , , ,2021.0,2021-01-01
82,Wade LeBlanc,- - -,49.0,2.48,-1.11, ,-2.71,-0.70, ,0.63, , , ,2021.0,2021-01-01
83,Jhoulys Chacin,COL,64.1,2.36,2.87, ,-0.63,0.04,-0.96, , , , ,2021.0,2021-01-01
84,Julio Teheran,DET,5.0,2.34, , ,0.73,-0.11,-0.54, , , , ,2021.0,2021-01-01
85,Shea Spitzbarth,PIT,5.0,2.33, , , ,-0.19, ,-5.61, , , ,2021.0,2021-01-01
86,Kervin Castro,SFG,13.1,2.31,-3.58, , , , ,-1.01, , , ,2021.0,2021-01-01
87,Seth Lugo,NYM,46.1,2.31, , ,-0.64,-11.85,-2.47,1.98, , , ,2021.0,2021-01-01
88,Yefry Ramirez,LAD,2.0,2.28, , , ,9.60,13.64,-2.54, , , ,2021.0,2021-01-01
89,Tanner Anderson,PIT,5.0,2.24,-0.53, ,4.39,0.97,0.97, , , , ,2021.0,2021-01-01
90,Garrett Whitlock,BOS,73.1,2.19, , ,0.81,0.14,1.02, , , , ,2021.0,2021-01-01
91,Jeurys Familia,NYM,59.1,2.19, ,-3.98,-0.20, ,-1.37, , , , ,2021.0,2021-01-01
92,Liam Hendriks,CHW,71.0,2.13, , ,0.00, ,2.72,1.74, , , ,2021.0,2021-01-01
93,Angel Zerpa,KCR,5.0,2.10, , ,-13.55,8.53,-9.72,2.09, , , ,2021.0,2021-01-01
94,Spencer Strider,ATL,2.1,2.10, , , , ,-8.87, , , , ,2021.0,2021-01-01
95,Andres Munoz,SEA,0.2,2.10, , , , ,-5.89, , , , ,2021.0,2021-01-01
96,Trevor Richards,- - -,64.1,2.08, , , ,-0.98,1.48, , , , ,2021.0,2021-01-01
97,Joe Barlow,TEX,29.0,2.07, , , , ,3.46,-0.19, , , ,2021.0,2021-01-01
98,Travis Lakins Sr.,BAL,28.0,2.05,-0.93, ,2.00,-0.91, ,-1.43, , , ,2021.0,2021-01-01
99,Alec Bettinger,MIL,10.0,2.04,-0.20, , ,-1.75,-36.17,-14.65, , , ,2021.0,2021-01-01
100,Joe Ryan,MIN,26.2,2.04, , , ,-0.97,0.93,3.24, , , ,2021.0,2021-01-01
101,Mike Wright Jr.,CHW,18.0,1.99, , ,-2.39,-2.10,-1.07,-2.04, , , ,2021.0,2021-01-01
102,Tyler Glasnow,TBR,88.0,1.99, , , ,-6.95,0.46,4.17, , , ,2021.0,2021-01-01
103,Adam Ottavino,BOS,62.0,1.98,-7.97, ,-0.95,1.12,-0.26,1.19, , , ,2021.0,2021-01-01
104,Jimmy Nelson,LAD,29.0,1.97, , ,13.31, ,4.45,-0.73, , , ,2021.0,2021-01-01
105,Albert Abreu,NYY,36.2,1.96, , ,0.20,-2.06,-0.01,-2.85, , , ,2021.0,2021-01-01
106,Stefan Crichton,ARI,23.1,1.96, ,-1.38,-2.18, , ,-0.21, , , ,2021.0,2021-01-01
107,Kyle Funkhouser,DET,68.1,1.95, , ,-0.45,1.83,0.17, , , , ,2021.0,2021-01-01
108,Tyler Matzek,ATL,63.0,1.94, , , , ,1.08,-6.86, , , ,2021.0,2021-01-01
109,Rony Garcia,DET,3.2,1.92, , ,13.45,-0.82,-30.48,5.98, , , ,2021.0,2021-01-01
110,Ranger Suarez,PHI,106.0,1.92, , ,2.51,1.30,1.32, , , , ,2021.0,2021-01-01
111,Carlos Rodon,CHW,132.2,1.92, , , ,-2.17,2.33,-6.24, , , ,2021.0,2021-01-01
112,Danny Duffy,KCR,61.0,1.92, , ,-1.63,0.61,0.85,-0.42, , , ,2021.0,2021-01-01
113,Ryan Tepera,- - -,61.1,1.91,2.12,1.19,-0.09, ,2.90, , , , ,2021.0,2021-01-01
114,Connor Overton,- - -,15.1,1.87,-35.60, ,-2.15,-0.34,0.10,3.11, , , ,2021.0,2021-01-01
115,Corey Knebel,LAD,25.2,1.83, , , , , ,1.63, , , ,2021.0,2021-01-01
116,Paul Sewald,SEA,64.2,1.81, , , ,-9.18,0.35, , , , ,2021.0,2021-01-01
117,Drew Rasmussen,- - -,76.0,1.81, , , ,-6.23,1.10,-0.56, , , ,2021.0,2021-01-01
118,Miguel Aguilar,ARI,7.0,1.80, , , ,-2.14,-6.84,7.18, , , ,2021.0,2021-01-01
119,Ramon Rosso,PHI,8.0,1.77, , ,8.10,2.18,-6.55, , , , ,2021.0,2021-01-01
120,Drew Smith,NYM,41.1,1.77, , , ,-1.65,-0.35,1.01, , , ,2021.0,2021-01-01
121,Emmanuel Clase,CLE,69.2,1.76, , , , ,3.20, , , , ,2021.0,2021-01-01
122,Joel Payamps,- - -,50.1,1.76, , ,-0.24,3.04,-1.32, , , , ,2021.0,2021-01-01
123,Dylan Floro,MIA,64.0,1.75, , ,1.39,0.47,-0.63, , , , ,2021.0,2021-01-01
124,Drew Steckenrider,SEA,67.2,1.71, , , ,2.33,-1.17, , , , ,2021.0,2021-01-01
125,David Bednar,PIT,60.2,1.70, ,1.05, , , ,1.22, , , ,2021.0,2021-01-01
126,Lance Lynn,CHW,157.0,1.69,0.83, ,0.48,0.39, ,-3.47, , , ,2021.0,2021-01-01
127,Nick Vincent,MIN,12.2,1.68,1.31, ,6.48,10.03,-7.21, , , , ,2021.0,2021-01-01
128,Hernan Perez,WSN,2.0,1.65, , , , , , , , , ,2021.0,2021-01-01
129,Cody Reed,TBR,9.2,1.64, , ,0.79, ,-1.14, , , , ,2021.0,2021-01-01
130,Zack Littell,SFG,61.2,1.61, ,-7.56, , ,0.39, , , , ,2021.0,2021-01-01
131,Freddy Peralta,MIL,144.1,1.60, , ,-7.65,-1.03,1.32,2.27, , , ,2021.0,2021-01-01
132,Ka'ai Tom,OAK,1.0,1.60, , , ,-2.85, , , , , ,2021.0,2021-01-01
133,Reiss Knehr,SDP,29.0,1.60,-3.03, , ,-1.53,-1.86, , , , ,2021.0,2021-01-01
134,Jordan Yamamoto,NYM,6.2,1.60,-2.52, ,7.23,3.36,-7.96,3.03, , , ,2021.0,2021-01-01
135,JT Chargois,- - -,53.2,1.57, , ,1.21, ,0.54, , , , ,2021.0,2021-01-01
136,Jay Jackson,SFG,21.2,1.55, , , ,-4.28,0.25, , , , ,2021.0,2021-01-01
137,Chad Green,NYY,83.2,1.55, , , , , ,0.15, , , ,2021.0,2021-01-01
138,Sam Coonrod,PHI,42.1,1.55,-1.18, ,-0.17,-0.46,0.70, , , , ,2021.0,2021-01-01
139,Jordan Romano,TOR,63.0,1.54, , , , ,0.56, , , , ,2021.0,2021-01-01
140,Jose Quijada,LAA,25.2,1.52, , , ,-4.92, ,0.64, , , ,2021.0,2021-01-01
141,Brad Wieck,CHC,17.0,1.51, , , , ,-0.03,2.60, , , ,2021.0,2021-01-01
142,Max Scherzer,- - -,179.1,1.50,0.35, , ,1.41,2.41,-0.03, , , ,2021.0,2021-01-01
143,Ryan Brasier,BOS,12.0,1.47, , , , ,-2.47,-11.69, , , ,2021.0,2021-01-01
144,Drew Anderson,TEX,22.0,1.47, , , ,3.02,-0.54,1.84, , , ,2021.0,2021-01-01
145,Tyler Wells,BAL,57.0,1.46, , , ,2.34,1.20,-3.29, , , ,2021.0,2021-01-01
146,Shane Baz,TBR,13.1,1.45, , ,7.00,-0.72,2.57,2.07, , , ,2021.0,2021-01-01
147,J.P. Feyereisen,- - -,56.0,1.45, , , ,1.42,-1.03, , , , ,2021.0,2021-01-01
148,Jakob Junis,KCR,39.1,1.43,-1.37, ,-6.90,-0.23,0.96, , , , ,2021.0,2021-01-01
149,Jordan Sheffield,COL,29.1,1.42, , , ,3.82,-0.42, , , , ,2021.0,2021-01-01
150,Derek Holland,DET,49.2,1.41, , ,-2.69,-1.60,-1.46, , , , ,2021.0,2021-01-01
151,Logan Gilbert,SEA,119.1,1.40, , , ,-3.32,-1.85,0.41, , , ,2021.0,2021-01-01
152,A.J. Alexy,TEX,23.0,1.38, , , ,1.22,-2.26,-2.29, , , ,2021.0,2021-01-01
153,Corbin Burnes,MIL,167.0,1.37,1.93, ,-1.10,0.25,2.96,2.97, , , ,2021.0,2021-01-01
154,Trevor Cahill,PIT,37.0,1.37, , ,0.28,-1.76,-0.29,-0.59, , , ,2021.0,2021-01-01
155,Jake McGee,SFG,59.2,1.36, , , , ,-0.60, , , , ,2021.0,2021-01-01
156,Phil Bickford,- - -,51.1,1.36, ,-2.43,-3.58, ,0.98, , , , ,2021.0,2021-01-01
157,Giovanny Gallegos,STL,80.1,1.35, , , ,1.69,2.04, , , , ,2021.0,2021-01-01
158,Steve Cishek,LAA,68.1,1.35, , ,1.01,-28.90,-1.19, , , , ,2021.0,2021-01-01
159,Caleb Thielbar,MIN,64.0,1.35, , , ,-6.60,1.27,-3.36, , , ,2021.0,2021-01-01
160,Kendall Graveman,- - -,56.0,1.34,-50.40, ,2.01,-2.36,2.94,0.31, , , ,2021.0,2021-01-01
161,Gregory Soto,DET,63.2,1.33, , ,-0.76, ,2.14, , , , ,2021.0,2021-01-01
162,Michael Lorenzen,CIN,29.0,1.31,0.96, ,4.53,-2.18,-0.71,-1.56, , , ,2021.0,2021-01-01
163,Tyler Gilbert,ARI,40.0,1.30,1.45, ,2.76,1.96, ,-1.63, , , ,2021.0,2021-01-01
164,Ian Kennedy,- - -,56.1,1.30,6.58, , ,-4.94,1.46,-4.29, , , ,2021.0,2021-01-01
165,Richard Rodriguez,- - -,64.1,1.30, , , , , ,0.47, , , ,2021.0,2021-01-01
166,Jose Urquidy,HOU,107.0,1.29, , , ,0.66,-0.88,0.49, , , ,2021.0,2021-01-01
167,Seth Elledge,STL,11.2,1.28, , , ,-2.85, ,-6.10, , , ,2021.0,2021-01-01
168,Walker Buehler,LAD,207.2,1.27,1.67, ,1.83,3.33,1.11,0.67, , , ,2021.0,2021-01-01
169,Pete Fairbanks,TBR,42.2,1.27,-0.54, , ,6.96,-0.69, , , , ,2021.0,2021-01-01
170,Trevor Bauer,LAD,107.2,1.27,-0.96, ,5.92,-0.43,1.61,-1.72, , , ,2021.0,2021-01-01
171,Touki Toussaint,ATL,50.0,1.26, ,0.21,-0.39, , ,-0.80, , , ,2021.0,2021-01-01
172,Tanner Houck,BOS,69.0,1.26, ,1.55,0.13, ,1.19, , , , ,2021.0,2021-01-01
173,Dominic Leone,SFG,53.2,1.25,1.12, ,3.21, ,2.80, , , , ,2021.0,2021-01-01
174,Brett Martin,TEX,62.1,1.23, , ,1.39, ,1.57,-2.75, , , ,2021.0,2021-01-01
175,Nestor Cortes,NYY,93.0,1.23,1.17, , ,-2.24,0.36,-4.02, , , ,2021.0,2021-01-01
176,Zack Wheeler,PHI,213.1,1.23, ,-2.89,1.82,3.02,1.53,0.74, , , ,2021.0,2021-01-01
177,Chris Ellis,- - -,29.1,1.20, , , ,-3.98,-0.28,4.81, , , ,2021.0,2021-01-01
178,Adam Cimber,- - -,71.2,1.20, , ,2.17, ,0.70, , , , ,2021.0,2021-01-01
179,Jimmie Sherfy,- - -,15.0,1.20, , , ,-3.22, ,-0.08, , , ,2021.0,2021-01-01
180,Johnny Cueto,SFG,114.2,1.20, , ,0.07,-1.63,-1.50,-2.16, , , ,2021.0,2021-01-01
181,Jose Ruiz,CHW,65.0,1.20, , , ,0.83,-9.03,0.10, , , ,2021.0,2021-01-01
182,James Paxton,SEA,1.1,1.19, , ,26.04, ,4.49, , , , ,2021.0,2021-01-01
183,Lucas Gilbreath,COL,42.2,1.19, , , ,-5.25,0.02, , , , ,2021.0,2021-01-01
184,Adam Morgan,CHC,25.1,1.19, , ,-6.47,-6.07,1.15,3.58, , , ,2021.0,2021-01-01
185,Noe Ramirez,- - -,36.0,1.18, , , ,1.22,1.75, , , , ,2021.0,2021-01-01
186,Stephen Gonsalves,BOS,4.1,1.17, , , , ,1.49,2.17, , , ,2021.0,2021-01-01
187,Evan Marshall,CHW,27.1,1.17, , ,1.20,-2.78,0.50, , , , ,2021.0,2021-01-01
188,Brent Suter,MIL,73.1,1.13, , ,-1.22,-1.11,-2.62, , , , ,2021.0,2021-01-01
189,Gerrit Cole,NYY,181.1,1.12, , ,-9.11,1.42,1.56,-0.25, , , ,2021.0,2021-01-01
190,Jarlin Garcia,SFG,68.2,1.12, , , ,1.79,-0.23, , , , ,2021.0,2021-01-01
191,Carlos Hernandez,KCR,85.2,1.12, ,-0.25, , ,1.17,-0.64, , , ,2021.0,2021-01-01
192,Ljay Newsome,SEA,14.2,1.12, , , ,-8.20, ,-4.95, , , ,2021.0,2021-01-01
193,Brad Boxberger,MIL,64.2,1.11, , , ,-0.31,1.41, , , , ,2021.0,2021-01-01
194,Josh Staumont,KCR,65.2,1.11, , ,3.17, , ,1.07, , , ,2021.0,2021-01-01
195,Reynaldo Lopez,CHW,57.2,1.09, , ,-4.02,6.30,-0.82,-0.36, , , ,2021.0,2021-01-01
196,Jharel Cotton,TEX,30.2,1.08,-14.44, , ,0.75,-0.06,-2.30, , , ,2021.0,2021-01-01
197,Jake Odorizzi,HOU,104.2,1.06,-0.94,-1.44,0.76, ,-1.97,1.47, , , ,2021.0,2021-01-01
198,Max Fried,ATL,165.2,1.04, , ,0.84,0.94,0.71,1.22, , , ,2021.0,2021-01-01
199,Luis Garcia,STL,33.1,1.03, ,-0.32,1.63, ,1.67, , , , ,2021.0,2021-01-01
200,Lou Trivino,OAK,73.2,1.02,-0.11, ,0.21,3.06, ,0.95, , , ,2021.0,2021-01-01
201,Cody Poteet,MIA,30.2,1.02, , , ,1.00,-3.51,-2.30, , , ,2021.0,2021-01-01
202,Ian Anderson,ATL,128.1,1.02, , , ,0.89, ,-0.95, , , ,2021.0,2021-01-01
203,Blake Taylor,HOU,42.2,1.02, , , , ,-1.68, , , , ,2021.0,2021-01-01
204,Will Vest,SEA,35.0,1.00, , ,-2.85,-1.00,-3.79, , , , ,2021.0,2021-01-01
205,Rowan Wick,CHC,23.0,0.99,2.08, , , ,-0.28,2.04, , , ,2021.0,2021-01-01
206,Dylan Coleman,KCR,6.1,0.98, , , , ,3.03, , , , ,2021.0,2021-01-01
207,Trevor Rogers,MIA,133.0,0.98, , , ,1.43,0.15, , , , ,2021.0,2021-01-01
208,Jameson Taillon,NYY,144.1,0.97,-2.88, ,1.73,-1.68,-0.38,-1.41, , , ,2021.0,2021-01-01
209,Bailey Falter,PHI,33.2,0.97, , , ,3.68,-2.19,-0.20, , , ,2021.0,2021-01-01
210,Brandon Kintzler,PHI,29.2,0.97, , ,-2.30,-3.02,1.36,-5.06, , , ,2021.0,2021-01-01
211,DJ Johnson,- - -,4.1,0.97, , , ,7.63, ,1.79, , , ,2021.0,2021-01-01
212,Reyes Moronta,SFG,4.0,0.96, , , ,6.70,4.16, , , , ,2021.0,2021-01-01
213,Jack Flaherty,STL,78.1,0.95, , ,1.30,-5.03,0.19,-0.05, , , ,2021.0,2021-01-01
214,Josh Rogers,WSN,35.2,0.94, , ,-14.63,0.31,-0.55, , , , ,2021.0,2021-01-01
215,Trevor May,NYM,62.2,0.93, , , ,-1.72,0.62, , , , ,2021.0,2021-01-01
216,Luis Patino,TBR,77.1,0.91, , ,3.65,-3.80,-0.12,-3.05, , , ,2021.0,2021-01-01
217,Dauri Moreta,CIN,3.2,0.91, , , ,-4.38,6.49, , , , ,2021.0,2021-01-01
218,Craig Kimbrel,- - -,59.2,0.90, , , , , ,2.91, , , ,2021.0,2021-01-01
219,Alek Manoah,TOR,111.2,0.90, , ,1.43,-1.05,1.24, , , , ,2021.0,2021-01-01
220,Alex Cobb,LAA,93.1,0.90, ,0.95,0.40, , ,1.01, , , ,2021.0,2021-01-01
221,Charlie Morton,ATL,185.2,0.90, ,0.33,-1.11, ,0.30,2.50, , , ,2021.0,2021-01-01
222,Kevin Gausman,SFG,192.0,0.90, ,1.53, ,-0.11,0.33,-3.58, , , ,2021.0,2021-01-01
223,Anthony DeSclafani,SFG,167.2,0.90, , ,1.92,0.56,0.83,-0.26, , , ,2021.0,2021-01-01
224,Lucas Sims,CIN,47.0,0.90, , , ,-9.18,1.10,-0.87, , , ,2021.0,2021-01-01
225,Raisel Iglesias,LAA,70.0,0.89, , ,2.98,2.35,1.14, , , , ,2021.0,2021-01-01
226,Dietrich Enns,TBR,22.1,0.86, , , ,5.36,3.08,-11.24, , , ,2021.0,2021-01-01
227,Pablo Lopez,MIA,102.2,0.85,1.06, ,0.01,0.22, ,0.16, , , ,2021.0,2021-01-01
228,Tim Hill,SDP,59.2,0.85, , ,0.58,-2.54,-1.20, , , , ,2021.0,2021-01-01
229,John Brebbia,SFG,18.1,0.85, , , ,2.57,-3.46, , , , ,2021.0,2021-01-01
230,Michael Rucker,CHC,28.1,0.85,1.03, ,-11.82,-10.14,-0.54,1.16, , , ,2021.0,2021-01-01
231,Bryan Shaw,CLE,77.1,0.84,0.82, ,1.93,0.30,-3.27,-3.60, , , ,2021.0,2021-01-01
232,Genesis Cabrera,STL,70.0,0.84, , ,0.80,2.58, ,-0.90, , , ,2021.0,2021-01-01
233,Joey Krehbiel,- - -,8.1,0.84,-0.45, , ,3.80, , , , , ,2021.0,2021-01-01
234,Jake Brentz,KCR,64.0,0.82, , , ,0.27,-0.56, , , , ,2021.0,2021-01-01
235,Brandon Woodruff,MIL,179.1,0.82, , ,1.98,1.39,0.75,1.30, , , ,2021.0,2021-01-01
236,Blake Snell,SDP,128.2,0.80, , , ,-3.23,1.52,-0.67, , , ,2021.0,2021-01-01
237,Spencer Patton,TEX,42.1,0.80, , , ,-4.47,1.94, , , , ,2021.0,2021-01-01
238,Kodi Whitley,STL,25.1,0.79, , , ,2.96,4.46, , , , ,2021.0,2021-01-01
239,Wade Miley,CIN,163.0,0.78,-0.08, ,-2.81,0.44,0.36,-1.79, , , ,2021.0,2021-01-01
240,Ryan Pressly,HOU,64.0,0.75, , ,5.02, ,3.82,0.87, , , ,2021.0,2021-01-01
241,Michael Kopech,CHW,69.1,0.75, , , ,1.47,0.85,-0.43, , , ,2021.0,2021-01-01
242,Ryan Yarbrough,TBR,155.0,0.74,-0.80, , ,-0.61,1.57, , , , ,2021.0,2021-01-01
243,Ryan Burr,CHW,36.2,0.74,1.92, , , ,-1.65, , , , ,2021.0,2021-01-01
244,Mitch White,LAD,46.2,0.73, , , ,1.67,1.14,-0.66, , , ,2021.0,2021-01-01
245,Robbie Ray,TOR,193.1,0.72, , ,-1.02,-2.19,0.97,-0.88, , , ,2021.0,2021-01-01
246,Tony Watson,- - -,57.1,0.72, , ,1.69,2.27,2.56, , , , ,2021.0,2021-01-01
247,Michael Fulmer,DET,69.2,0.72, , ,-0.76,-0.14,1.31,1.72, , , ,2021.0,2021-01-01
248,Jake Latz,TEX,4.2,0.71, , , ,-3.67,-4.91,-3.76, , , ,2021.0,2021-01-01
249,Zac Gallen,ARI,121.1,0.71,-2.52, ,-12.49,-0.44,-2.62,-0.07, , , ,2021.0,2021-01-01
250,Chris Sale,BOS,42.2,0.71, , ,-3.85,-3.62,1.08, , , , ,2021.0,2021-01-01
251,Jeffrey Springs,TBR,44.2,0.70, , , ,1.21,-1.14, , , , ,2021.0,2021-01-01
