#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
566,Josh Winckowski,BOS,70.1,-1.36,-0.02, ,-1.55,0.14,-1.02, , , , ,2022.0,2022-01-01
567,Yusei Kikuchi,TOR,100.2,-1.40,-1.72, , ,1.90,-1.69, , , , ,2022.0,2022-01-01
568,Michael Wacha,BOS,127.1,-1.41,1.39, ,3.97,1.09, ,-2.18, , , ,2022.0,2022-01-01
569,Eduard Bazardo,BOS,16.1,-1.41, ,1.33,-4.15, , ,1.56, , , ,2022.0,2022-01-01
570,Antonio Senzatela,COL,92.1,-1.46, , ,0.31,-0.73,-2.32,3.47, , , ,2022.0,2022-01-01
571,Ethan Small,MIL,6.1,-1.47, , , ,-4.33,-2.16, , , , ,2022.0,2022-01-01
572,Patrick Sandoval,LAA,148.2,-1.49, , ,1.78,-0.38,2.02,0.59, , , ,2022.0,2022-01-01
573,Aaron Civale,CLE,97.0,-1.54,0.13,-8.95,0.26,-4.44,-4.10,1.08, , , ,2022.0,2022-01-01
574,Andres Munoz,SEA,65.0,-1.55, , , , ,3.40, , , , ,2022.0,2022-01-01
575,Collin McHugh,ATL,69.1,-1.57,1.60, ,-3.65, ,1.54,2.14,-5.08, , ,2022.0,2022-01-01
576,Chris Archer,MIN,102.2,-1.57, , ,0.17,0.38,1.08,0.87, , , ,2022.0,2022-01-01
577,Will Smith,- - -,59.0,-1.59, , ,-0.92,6.44,0.75,-4.11, , , ,2022.0,2022-01-01
578,Austin Gomber,COL,124.2,-1.59, , , ,0.82,0.80,-0.97, , , ,2022.0,2022-01-01
579,Mike Minor,CIN,98.0,-1.63, , ,5.99,-1.84,-0.55,-1.70, , , ,2022.0,2022-01-01
580,Carlos Hernandez,KCR,56.0,-1.63, ,-2.49,-9.75, ,-2.76,1.32, , , ,2022.0,2022-01-01
581,Casey Lawrence,TOR,18.0,-1.65,-18.76, ,-5.18,1.23,0.98,-7.16, , , ,2022.0,2022-01-01
582,Ranger Suarez,PHI,155.1,-1.66,1.03, ,1.26,-0.75,-1.79,-1.07, , , ,2022.0,2022-01-01
583,Kutter Crawford,BOS,77.1,-1.66,0.20,-1.18, , ,0.33,-0.46, , , ,2022.0,2022-01-01
584,Mark Leiter,CHC,67.2,-1.68,-3.85,2.77,2.32, ,-1.66,-0.66, , , ,2022.0,2022-01-01
585,Tucker Davidson,- - -,52.0,-1.69, , ,-4.61,2.01,-0.86,0.24, , , ,2022.0,2022-01-01
586,Eric Stout,- - -,22.1,-1.69, , , ,-0.82,-0.72,0.73, , , ,2022.0,2022-01-01
587,Ken Waldichuk,OAK,34.2,-1.70, , , ,2.21,1.30,1.35, , , ,2022.0,2022-01-01
588,Bryse Wilson,PIT,115.2,-1.71, ,0.24,0.39,-4.24,-1.16,-1.30, , , ,2022.0,2022-01-01
589,Kody Clemens,DET,7.0,-1.73, , , , , , , , , ,2022.0,2022-01-01
590,Tanner Tully,CLE,6.0,-1.73, , , ,-16.10,0.63,6.50, , , ,2022.0,2022-01-01
591,Yadier Molina,STL,2.0,-1.74, , , ,-8.98, ,-14.96, , , ,2022.0,2022-01-01
592,Michael Fulmer,- - -,63.2,-1.77, , ,0.11,-1.41,1.17,-9.21, , , ,2022.0,2022-01-01
593,Alex Faedo,DET,53.2,-1.79, , , ,-0.58,-0.01, , , , ,2022.0,2022-01-01
594,Luke Barker,MIL,4.0,-1.80, ,-10.35, , , , , , , ,2022.0,2022-01-01
595,Kris Bubic,KCR,129.0,-1.81, , , ,-0.56, ,0.06, , , ,2022.0,2022-01-01
596,Connor Seabold,BOS,18.1,-1.83, , , ,-8.09,-4.62,-6.28, , , ,2022.0,2022-01-01
597,Jackie Bradley Jr.,BOS,1.0,-1.83, , , , , ,-3.65, , , ,2022.0,2022-01-01
598,Trevor May,NYM,25.0,-1.85, ,1.80, ,2.36,0.76, , , , ,2022.0,2022-01-01
599,Michael Pineda,DET,46.2,-1.87, , , ,-2.57,0.84, , , , ,2022.0,2022-01-01
600,Tayler Saucedo,TOR,2.2,-1.91, , ,-6.75,2.02,-16.54,-1.51, , , ,2022.0,2022-01-01
601,Zach Logue,OAK,57.0,-1.91,-0.82, ,-2.71,0.49,-3.48, , , , ,2022.0,2022-01-01
602,Chris Stratton,- - -,63.1,-1.93, , ,3.13,-1.75,1.22,1.61, , , ,2022.0,2022-01-01
603,Austin Warren,LAA,16.0,-1.95, , ,0.43,-4.22,-1.35, , , , ,2022.0,2022-01-01
604,Stephen Strasburg,WSN,4.2,-1.96, , ,-6.63,-2.83, ,-3.13, , , ,2022.0,2022-01-01
605,Noah Syndergaard,- - -,134.2,-1.97, , ,2.10,-1.58,-0.25,-0.31, , , ,2022.0,2022-01-01
606,Tayler Scott,SDP,12.0,-1.99, , ,1.66,-1.67,-2.45, , , , ,2022.0,2022-01-01
607,Jhoulys Chacin,COL,47.1,-2.01,-0.74, ,-2.32,0.04,-1.13,2.22, , , ,2022.0,2022-01-01
608,Willians Astudillo,MIA,2.0,-2.01, , , ,8.33, , , , , ,2022.0,2022-01-01
609,Garrett Richards,TEX,42.2,-2.02, , ,-18.35,1.43,-0.12,0.76, , , ,2022.0,2022-01-01
610,James Norwood,PHI,17.1,-2.02, ,-0.32, , ,0.10, , , , ,2022.0,2022-01-01
611,Jaime Barria,LAA,79.1,-2.04, , ,3.95,3.34,0.37, , , , ,2022.0,2022-01-01
612,Justin Dunn,CIN,31.0,-2.04,1.96, , ,-13.74,-0.74,-1.29, , , ,2022.0,2022-01-01
613,Domingo German,NYY,72.1,-2.04, , ,0.58,1.84, ,0.67, , , ,2022.0,2022-01-01
614,Humberto Castellanos,ARI,44.1,-2.05, , ,-0.77,0.98,-0.98,-1.83, , , ,2022.0,2022-01-01
615,Austin Adams,SDP,2.1,-2.06, , , , ,3.23, , , , ,2022.0,2022-01-01
616,Art Warren,CIN,36.0,-2.10, , , , ,0.44, , , , ,2022.0,2022-01-01
617,Matthew Liberatore,STL,34.2,-2.15, , ,0.82,-2.72,-1.47,-1.15, , , ,2022.0,2022-01-01
618,Luis Frias,ARI,17.0,-2.15, , , ,1.52,-5.11,-1.36, , , ,2022.0,2022-01-01
619,A.J. Ladwig,MIA,3.1,-2.16, , ,-6.78,4.95,-15.94,0.62, , , ,2022.0,2022-01-01
620,Jhon Romero,MIN,5.0,-2.18, , , ,-4.64,1.81, , , , ,2022.0,2022-01-01
621,Chase Silseth,LAA,28.2,-2.19, ,-0.60,1.74, ,-0.06,-6.60, , , ,2022.0,2022-01-01
622,Huascar Ynoa,ATL,6.2,-2.19, , , ,-3.19,-4.01, , , , ,2022.0,2022-01-01
623,Robert Stephenson,- - -,58.0,-2.20, , , ,-4.80,0.39,4.15, , , ,2022.0,2022-01-01
624,Steven Brault,CHC,9.0,-2.22, , ,5.35,-8.94,-1.75, , , , ,2022.0,2022-01-01
625,Albert Abreu,- - -,38.2,-2.25, , ,1.41,-5.11,0.52, , , , ,2022.0,2022-01-01
626,Adam Oller,OAK,74.1,-2.27,0.51, ,-8.71,-0.98,-1.03, , , , ,2022.0,2022-01-01
627,Conner Menez,CHC,1.0,-2.28, , , , ,1.72,0.00, , , ,2022.0,2022-01-01
628,Jose Urena,- - -,97.0,-2.29, , ,-0.23,-2.29,0.14, , , , ,2022.0,2022-01-01
629,Anthony Gose,CLE,21.0,-2.30, , , ,-5.82,2.87, , , , ,2022.0,2022-01-01
630,Jeremiah Estrada,CHC,5.2,-2.33, , , ,7.08,1.05,-1.07, , , ,2022.0,2022-01-01
631,Jose Leclerc,TEX,47.2,-2.33,1.75, ,12.76,1.59,2.66,6.40, , , ,2022.0,2022-01-01
632,Brusdar Graterol,LAD,49.2,-2.33,1.16, ,3.17, ,-0.43, , , , ,2022.0,2022-01-01
633,Ken Giles,SEA,4.1,-2.35, , , , ,6.51, , , , ,2022.0,2022-01-01
634,Walker Buehler,LAD,65.0,-2.38,1.82, ,-5.26,2.59,0.05,1.46, , , ,2022.0,2022-01-01
635,Casey Mize,DET,10.0,-2.38, ,0.41,-1.10, ,-1.24,1.07, , , ,2022.0,2022-01-01
636,Josiah Gray,WSN,148.2,-2.39, , ,-2.02,-8.07,0.84,0.26, , , ,2022.0,2022-01-01
637,Luis Patino,TBR,20.0,-2.40, , ,-0.62,1.91,-5.06, , , , ,2022.0,2022-01-01
638,Jake Brentz,KCR,5.1,-2.40, , ,-7.66,-4.61,-3.71, , , , ,2022.0,2022-01-01
639,Sergio Romo,- - -,18.0,-2.46, , ,-2.07,-2.21,-0.30, , , , ,2022.0,2022-01-01
640,Elieser Hernandez,MIA,62.1,-2.47,2.70, ,-0.18,-2.14,-0.99, , , , ,2022.0,2022-01-01
641,Zack Britton,NYY,0.2,-2.48, , ,-8.02, ,5.03, , , , ,2022.0,2022-01-01
642,Jack Flaherty,STL,36.0,-2.49,-0.40, ,0.70,-8.74,1.58,1.69, , , ,2022.0,2022-01-01
643,Jake Walsh,STL,2.2,-2.50, , , ,-1.80, ,1.75, , , ,2022.0,2022-01-01
644,Madison Bumgarner,ARI,158.2,-2.50,-0.87, ,-2.99,1.86, ,0.54,-3.65, , ,2022.0,2022-01-01
