Name,GS,Team,Type
Hector Neris,0.0,HOU,Reliever
Chris Flexen,22.0,SEA,Starter
Alex Cobb,28.0,SFG,Starter
Hirokazu Sawamura,0.0,BOS,Reliever
Jarlin Garcia,0.0,SFG,Reliever
Pablo Lopez,32.0,MIA,Starter
Craig Kimbrel,0.0,LAD,Reliever
Keegan Thompson,17.0,CHC,Starter
Hoby Milner,0.0,MIL,Reliever
Jesse Chavez,1.0,- - -,Reliever
Reid Detmers,25.0,LAA,Starter
Brent Suter,0.0,MIL,Reliever
Roansy Contreras,18.0,PIT,Starter
Ryan Thompson,0.0,TBR,Reliever
Luis Perdomo,0.0,MIL,Reliever
Justin Bruihl,0.0,LAD,Reliever
Louie Varland,5.0,MIN,Reliever
Colin Holderman,0.0,- - -,Reliever
Jeff Hoffman,1.0,CIN,Reliever
Matt Strahm,0.0,BOS,Reliever
Buck Farmer,0.0,CIN,Reliever
David Peterson,19.0,NYM,Starter
Aaron Loup,0.0,LAA,Reliever
Phil Maton,0.0,HOU,Reliever
Kody Clemens,0.0,DET,Reliever
Joe Barlow,0.0,TEX,Reliever
JP Sears,11.0,- - -,Reliever
Bailey Falter,16.0,PHI,Starter
Justus Sheffield,1.0,SEA,Reliever
Cody Poteet,2.0,MIA,Reliever
Jandel Gustave,0.0,MIL,Reliever
Brennan Bernardino,0.0,SEA,Reliever
Cody Stashak,0.0,MIN,Reliever
Spencer Patton,0.0,TEX,Reliever
Nathan Eovaldi,20.0,BOS,Starter
Jason Foley,0.0,DET,Reliever
Konnor Pilkington,11.0,CLE,Reliever
Joey Krehbiel,0.0,BAL,Reliever
Mitch Keller,29.0,PIT,Starter
Jameson Taillon,32.0,NYY,Starter
Garrett Cleavinger,0.0,- - -,Reliever
Blake Taylor,0.0,HOU,Reliever
Noah Syndergaard,24.0,- - -,Starter
Jose Urquidy,28.0,HOU,Starter
Zack Kelly,0.0,BOS,Reliever
Michael Rucker,0.0,CHC,Reliever
Reiss Knehr,1.0,SDP,Reliever
Jon Gray,24.0,TEX,Starter
Jose Suarez,20.0,LAA,Starter
Will Smith,0.0,- - -,Reliever
Carlos Carrasco,29.0,NYM,Starter
Cole Irvin,30.0,OAK,Starter
Jose Quijada,0.0,LAA,Reliever
Colin Poche,0.0,TBR,Reliever
Mark Leiter,4.0,CHC,Reliever
Lance Lynn,21.0,CHW,Starter
Will Vest,2.0,DET,Reliever
Dominic Leone,0.0,SFG,Reliever
Walker Buehler,12.0,LAD,Starter
Kyle Crick,0.0,CHW,Reliever
Garrett Hill,8.0,DET,Reliever
Chris Paddack,5.0,MIN,Reliever
John King,0.0,TEX,Reliever
Miguel Castro,0.0,NYY,Reliever
Daniel Castano,7.0,MIA,Reliever
Taylor Clarke,0.0,KCR,Reliever
Zach Eflin,13.0,PHI,Starter
Austin Brice,0.0,PIT,Reliever
Miguel Sanchez,0.0,MIL,Reliever
Frankie Montas,27.0,- - -,Starter
Eduardo Rodriguez,17.0,DET,Starter
Zach Davies,27.0,ARI,Starter
Hanser Alberto,0.0,LAD,Reliever
Jake Fishman,0.0,MIA,Reliever
Nick Vespi,0.0,BAL,Reliever
Trent Thornton,0.0,TOR,Reliever
Justin Grimm,0.0,OAK,Reliever
Caleb Smith,1.0,ARI,Reliever
Derek Law,0.0,- - -,Reliever
Jonathan Loaisiga,0.0,NYY,Reliever
Marco Gonzales,32.0,SEA,Starter
Trevor Gott,0.0,MIL,Reliever
Brett Martin,1.0,TEX,Reliever
Cristofer Ogando,0.0,TBR,Reliever
Evan Lee,1.0,WSN,Reliever
Darren O'Day,0.0,ATL,Reliever
Matthew Festa,0.0,SEA,Reliever
Lucas Gilbreath,0.0,COL,Reliever
Beau Brieske,15.0,DET,Starter
Steve Cishek,0.0,WSN,Reliever
Kenny Rosenberg,1.0,LAA,Reliever
Rowan Wick,0.0,CHC,Reliever
Austin Pruitt,1.0,OAK,Reliever
James Kaprielian,26.0,OAK,Starter
Adrian Morejon,0.0,SDP,Reliever
Michael Lorenzen,18.0,LAA,Starter
Jack Flaherty,8.0,STL,Reliever
Tyler Wells,23.0,BAL,Starter
Danny Young,0.0,- - -,Reliever
Chris Stratton,1.0,- - -,Reliever
Rich Hill,26.0,BOS,Starter
Anibal Sanchez,14.0,WSN,Starter
Paul Blackburn,21.0,OAK,Starter
Reyes Moronta,0.0,- - -,Reliever
Zach Plesac,24.0,CLE,Starter
Tanner Scott,0.0,MIA,Reliever
Matt Barnes,0.0,BOS,Reliever
Tommy Nance,2.0,MIA,Reliever
Mike Clevinger,22.0,SDP,Starter
Corey Kluber,31.0,TBR,Starter
Austin Voth,17.0,- - -,Starter
Charlie Morton,31.0,ATL,Starter
Anthony Misiewicz,0.0,- - -,Reliever
Shawn Armstrong,3.0,- - -,Reliever
Wil Crowe,1.0,PIT,Reliever
Manny Banuelos,0.0,- - -,Reliever
Duane Underwood Jr.,1.0,PIT,Reliever
Sean Poppen,0.0,ARI,Reliever
Matt Foster,0.0,CHW,Reliever
Tyler Mahle,23.0,- - -,Starter
Jake Odorizzi,22.0,- - -,Starter
Phillips Valdez,0.0,BOS,Reliever
Mauricio Llovera,1.0,SFG,Reliever
Rony Garcia,8.0,DET,Reliever
Ronald Bolanos,0.0,KCR,Reliever
Jakob Junis,17.0,SFG,Starter
Jordan Lyles,32.0,BAL,Starter
Craig Stammen,1.0,SDP,Reliever
Emilio Pagan,0.0,MIN,Reliever
Hunter Greene,24.0,CIN,Starter
Matt Brash,5.0,SEA,Reliever
Ross Detwiler,0.0,CIN,Reliever
Aaron Ashby,19.0,MIL,Starter
Dakota Hudson,26.0,STL,Starter
Aroldis Chapman,0.0,NYY,Reliever
Dane Dunning,29.0,TEX,Starter
Joely Rodriguez,0.0,NYM,Reliever
Harold Castro,0.0,DET,Reliever
Luis Torrens,0.0,SEA,Reliever
Gerardo Reyes,0.0,LAA,Reliever
Pedro Avila,0.0,SDP,Reliever
Dustin May,6.0,LAD,Reliever
Matt Batten,0.0,SDP,Reliever
Anthony Kay,0.0,TOR,Reliever
MacKenzie Gore,13.0,SDP,Starter
Ryan Yarbrough,9.0,TBR,Reliever
Rico Garcia,0.0,BAL,Reliever
Luis Ortiz,4.0,PIT,Reliever
Victor Arano,0.0,WSN,Reliever
