#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
13,Max Scherzer,NYM,11,5,0,23,23,145.1,10.71,1.49,0.81,.276,83.3%,31.1%,7.5%,94.1,2.29,2.87,2.62,3.23,4.4
75,Frankie Montas,- - -,5,12,0,27,27,144.1,8.85,2.68,1.12,.298,70.9%,45.6%,12.8%,96.2,4.05,4.02,3.79,3.61,2.0
78,JT Brubaker,PIT,3,12,0,28,28,144.0,9.19,3.38,1.06,.334,68.8%,44.0%,11.7%,93.0,4.69,4.56,3.92,3.87,1.9
233,Dylan Bundy,MIN,8,8,0,29,29,140.0,6.04,1.80,1.54,.285,69.4%,34.0%,11.2%,89.1,4.89,4.34,4.66,4.70,0.7
160,Dakota Hudson,STL,8,7,0,27,26,139.2,5.03,3.93,0.58,.301,70.6%,53.0%,7.2%,91.6,4.45,5.01,4.34,4.82,1.0
227,Brad Keller,KCR,6,14,1,35,22,139.2,6.57,3.67,1.10,.310,67.0%,52.1%,12.6%,94.6,5.09,4.37,4.50,4.35,0.7
74,Marcus Stroman,CHC,6,7,0,25,25,138.2,7.72,2.34,1.04,.272,72.5%,51.7%,13.9%,92.9,3.50,3.94,3.76,3.49,2.0
234,Chris Flexen,SEA,8,9,2,33,22,137.2,6.21,3.33,1.11,.271,76.9%,33.8%,8.5%,91.8,3.73,4.62,4.49,5.04,0.7
81,Zack Greinke,KCR,4,9,0,26,26,137.0,4.80,1.77,0.92,.306,72.9%,41.3%,8.2%,89.2,3.68,4.78,4.03,4.54,1.9
266,Chad Kuhl,COL,6,11,0,27,27,137.0,7.23,3.81,1.64,.310,69.4%,36.6%,14.3%,93.6,5.72,5.31,5.26,4.78,0.5
577,Glenn Otto,TEX,7,10,0,27,27,135.2,7.10,4.11,1.39,.255,72.9%,43.1%,14.1%,92.5,4.64,5.01,5.21,4.82,0.0
40,Jeffrey Springs,TBR,9,5,0,33,25,135.1,9.58,2.06,0.93,.279,82.3%,40.9%,9.6%,91.7,2.46,3.27,3.04,3.29,3.0
62,Noah Syndergaard,- - -,10,10,0,25,24,134.2,6.35,2.07,0.94,.295,72.4%,42.8%,8.5%,94.5,3.94,4.43,3.83,4.29,2.2
37,Ross Stripling,TOR,10,4,1,32,24,134.1,7.44,1.34,0.80,.269,73.6%,43.8%,7.7%,91.9,3.01,3.57,3.11,3.67,3.1
263,Zach Davies,ARI,2,5,0,27,27,134.1,6.83,3.48,1.41,.257,75.0%,42.9%,13.0%, ,4.09,4.56,4.83,4.58,0.5
315,James Kaprielian,OAK,5,9,0,26,26,134.0,6.58,3.90,1.07,.263,72.0%,37.7%,8.9%,94.0,4.23,4.65,4.64,5.06,0.3
8,Spencer Strider,ATL,11,5,0,31,20,131.2,13.81,3.08,0.48,.292,74.1%,40.3%,6.8%,98.1,2.67,2.39,1.83,2.30,4.9
189,Zach Plesac,CLE,3,12,0,25,24,131.2,6.84,2.60,1.30,.288,68.9%,40.0%,11.7%,92.2,4.31,5.28,4.45,4.40,0.9
221,Daniel Lynch,KCR,4,13,0,27,27,131.2,8.34,3.55,1.44,.335,72.8%,41.5%,13.5%,94.2,5.13,5.07,4.63,4.30,0.7
93,Alex Wood,SFG,8,12,0,26,26,130.2,9.02,2.07,1.17,.315,63.9%,48.2%,14.4%,90.6,5.10,4.00,3.76,3.41,1.7
51,Tony Gonsolin,LAD,16,1,0,24,24,130.1,8.22,2.42,0.76,.207,83.8%,43.1%,8.3%,93.2,2.14,3.12,3.28,3.70,2.7
39,George Kirby,SEA,8,5,0,25,25,130.0,9.21,1.52,0.90,.331,75.1%,45.5%,9.0%,95.4,3.39,3.31,2.99,3.33,3.0
60,Reid Detmers,LAA,7,6,0,25,25,129.0,8.51,3.21,0.91,.277,74.1%,36.0%,8.7%,93.3,3.77,4.05,3.79,4.20,2.3
272,Kris Bubic,KCR,3,13,0,28,27,129.0,7.67,4.40,1.26,.352,68.8%,41.0%,13.3%,91.9,5.58,5.67,4.78,4.52,0.5
