Name,Team,Type,NewTeamoffSeason21,NewTeamDeadline22,NewTeam,OldTeam
Graham Ashcraft,CIN,Starter,No,No,No,
Kyle Bradish,BAL,Starter,No,No,No,
Lucas Giolito,CHW,Starter,No,No,No,
Hunter Strickland,CIN,Reliever,No,No,No,
Tyler Duffey,MIN,Reliever,No,No,No,
Jake Bird,COL,Reliever,No,No,No,
Alexander Wells,BAL,Reliever,No,No,No,
Yerry De Los Santos,PIT,Reliever,No,No,No,
Gregory Santos,SFG,Reliever,No,No,No,
Sam Selman,OAK,Reliever,No,No,No,
Justin Topa,MIL,Reliever,No,No,No,
Aaron Civale,CLE,Starter,No,No,No,
Ken Waldichuk,OAK,Reliever,No,No,No,
Cole Ragans,TEX,Reliever,No,No,No,
Sean Manaea,SDP,Starter,No,No,No,
JoJo Romero,STL,Reliever,No,Yes,Yes,PHI
Amir Garrett,KCR,Reliever,No,No,No,
Jake Diekman,CHW,Reliever,No,Yes,Yes,BOS
Ian Anderson,ATL,Starter,No,No,No,
Shane Baz,TBR,Reliever,No,No,No,
Javy Guerra,TBR,Reliever,No,Yes,Yes,SDP
James Naile,STL,Reliever,No,No,No,
German Marquez,COL,Starter,No,No,No,
Jose Urena,COL,Starter,No,Yes,Yes,MIL
Pierce Johnson,SDP,Reliever,No,No,No,
Josiah Gray,WSN,Starter,No,No,No,
Matt Swarmer,CHC,Reliever,No,No,No,
Trevor May,NYM,Reliever,No,No,No,
Kyle Gibson,PHI,Starter,No,No,No,
Antonio Senzatela,COL,Starter,No,No,No,
Zack Littell,SFG,Reliever,No,No,No,
Brad Keller,KCR,Starter,No,No,No,
Alex Wood,SFG,Starter,No,No,No,
Daniel Lynch,KCR,Starter,No,No,No,
Josh Rogers,WSN,Reliever,No,No,No,
Taylor Hearn,TEX,Starter,No,No,No,
Tyler Danish,BOS,Reliever,No,No,No,
Tylor Megill,NYM,Reliever,No,No,No,
Tyler Beede,PIT,Reliever,No,Yes,Yes,SFG
Jackson Tetreault,WSN,Reliever,No,No,No,
Kirby Yates,ATL,Reliever,No,No,No,
Daniel Mengden,KCR,Reliever,No,No,No,
Zach Thompson,PIT,Starter,No,No,No,
Yusei Kikuchi,TOR,Starter,Yes,No,Yes,
Daniel Norris,DET,Reliever,No,Yes,Yes,CHC
Dennis Santana,TEX,Reliever,No,No,No,
Jordan Weems,WSN,Reliever,No,No,No,
Josh Hader,SDP,Reliever,No,Yes,Yes,MIL
Noe Ramirez,ARI,Reliever,No,No,No,
Jose Berrios,TOR,Starter,No,No,No,
Tyler Gilbert,ARI,Reliever,No,No,No,
Cory Abbott,WSN,Reliever,No,No,No,
Steven Matz,STL,Reliever,Yes,No,Yes,
Garrett Richards,TEX,Reliever,Yes,No,Yes,
J.B. Wendelken,ARI,Reliever,No,No,No,
Jon Heasley,KCR,Starter,No,No,No,
Jose Alvarez,SFG,Reliever,No,No,No,
Cole Sulser,MIA,Reliever,No,No,No,
Keynan Middleton,ARI,Reliever,No,No,No,
Trevor Richards,TOR,Reliever,No,No,No,
Tommy Henry,ARI,Reliever,No,No,No,
Ian Kennedy,ARI,Reliever,No,No,No,
Casey Mize,DET,Reliever,No,No,No,
Tommy Milone,SEA,Reliever,No,No,No,
Luke Farrell,CIN,Reliever,No,Yes,Yes,CHC
Anderson Espinoza,CHC,Reliever,No,No,No,
Jason Alexander,MIL,Reliever,No,No,No,
Bryan Shaw,CLE,Reliever,No,No,No,
Ryan Hendrix,CIN,Reliever,No,No,No,
Sean Reid-Foley,NYM,Reliever,No,No,No,
Matt Peacock,KCR,Reliever,No,Yes,Yes,ARI
Dauri Moreta,CIN,Reliever,No,No,No,
Nicholas Padilla,CHC,Reliever,No,No,No,
Robert Stephenson,PIT,Reliever,No,Yes,Yes,COL
Yunior Marte,SFG,Reliever,No,No,No,
Mitch White,TOR,Starter,No,Yes,Yes,LAD
Trevor Rogers,MIA,Starter,No,No,No,
Kutter Crawford,BOS,Starter,No,No,No,
Calvin Faucher,TBR,Reliever,No,No,No,
Tony Santillan,CIN,Reliever,No,No,No,
Bryse Wilson,PIT,Starter,No,No,No,
Alex Faedo,DET,Starter,No,No,No,
Austin Gomber,COL,Starter,No,No,No,
Greg Weissert,NYY,Reliever,No,No,No,
Kris Bubic,KCR,Starter,No,No,No,
Juan Minaya,MIN,Reliever,No,No,No,
Cristopher Sanchez,PHI,Reliever,No,No,No,
Austin Warren,LAA,Reliever,No,No,No,
Jacob Barnes,NYY,Reliever,No,Yes,Yes,DET
Eric Stout,PIT,Reliever,No,Yes,Yes,CHC
Drew Steckenrider,SEA,Reliever,No,No,No,
Hyun-Jin Ryu,TOR,Reliever,No,No,No,
Humberto Castellanos,ARI,Reliever,No,No,No,
Luis Gonzalez,SFG,Reliever,No,No,No,
Mike Mayers,LAA,Reliever,No,No,No,
Kodi Whitley,STL,Reliever,No,No,No,
Ryan Borucki,SEA,Reliever,No,Yes,Yes,TOR
Justin Lawrence,COL,Reliever,No,No,No,
Chad Kuhl,COL,Starter,Yes,No,Yes,
Daulton Jefferies,OAK,Reliever,No,No,No,
Jared Koenig,OAK,Reliever,No,No,No,
Dusten Knight,TBR,Reliever,No,No,No,
Yoan Lopez,NYM,Reliever,No,No,No,
Alex Colome,COL,Reliever,No,No,No,
Sean Hjelle,SFG,Reliever,No,No,No,
Ryan Brasier,BOS,Reliever,No,No,No,
Xzavion Curry,CLE,Reliever,No,No,No,
Michael Pineda,DET,Reliever,Yes,No,Yes,
Austin Davis,MIN,Reliever,No,Yes,Yes,BOS
Erick Fedde,WSN,Starter,No,No,No,
Edwin Uceta,ARI,Reliever,No,No,No,
Ryan Feltner,COL,Starter,No,No,No,
Hansel Robles,BOS,Reliever,No,No,No,
Kirby Snead,OAK,Reliever,No,No,No,
Chi Chi Gonzalez,NYY,Reliever,No,Yes,Yes,MIL
Cole Sands,MIN,Reliever,No,No,No,
Logan Allen,BAL,Reliever,No,Yes,Yes,CLE
Josh Winckowski,BOS,Starter,No,No,No,
Ty Blach,COL,Reliever,No,No,No,
Nick Wittgren,STL,Reliever,No,No,No,
DL Hall,BAL,Reliever,No,No,No,
Max Castillo,KCR,Reliever,No,Yes,Yes,TOR
Matthew Liberatore,STL,Reliever,No,No,No,
Bruce Zimmermann,BAL,Starter,No,No,No,
Shane Greene,NYY,Reliever,No,Yes,Yes,LAD
Ryan Burr,CHW,Reliever,No,No,No,
Tanner Tully,CLE,Reliever,No,No,No,
Mike Minor,CIN,Starter,No,No,No,
Joe Kelly,CHW,Reliever,No,No,No,
Trevor Kelley,MIL,Reliever,No,No,No,
Adonis Medina,NYM,Reliever,Yes,No,Yes,
Jeurys Familia,BOS,Reliever,No,Yes,Yes,PHI
Justin Dunn,CIN,Reliever,No,No,No,
Dinelson Lamet,COL,Reliever,No,Yes,Yes,SDP
Anderson Severino,CHW,Reliever,No,No,No,
Robert Dugger,CIN,Reliever,No,Yes,Yes,TBR
Silvino Bracho,ATL,Reliever,No,No,No,
Jesus Cruz,ATL,Reliever,No,No,No,
Paul Fry,ARI,Reliever,No,Yes,Yes,BAL
Andrew Vasquez,TOR,Reliever,No,Yes,Yes,SFG
Adrian Martinez,OAK,Starter,No,No,No,
Louis Head,BAL,Reliever,No,Yes,Yes,MIA
Adam Oller,OAK,Starter,No,No,No,
Patrick Corbin,WSN,Starter,No,No,No,
Reiver Sanmartin,CIN,Reliever,No,No,No,
Elieser Hernandez,MIA,Reliever,No,No,No,
Arodys Vizcaino,KCR,Reliever,No,No,No,
Patrick Murphy,WSN,Reliever,No,No,No,
Kaleb Ort,BOS,Reliever,No,No,No,
Joel Kuhnel,CIN,Reliever,No,No,No,
Chase Anderson,CIN,Reliever,Yes,No,Yes,
Josh Fleming,TBR,Reliever,No,No,No,
Shelby Miller,SFG,Reliever,No,No,No,
Josh Sborz,TEX,Reliever,No,No,No,
Josh Staumont,KCR,Reliever,No,No,No,
Janson Junk,LAA,Reliever,No,No,No,
Chasen Shreve,NYM,Reliever,No,No,No,
Art Warren,CIN,Reliever,No,No,No,
Collin Snider,KCR,Reliever,No,No,No,
Luke Weaver,KCR,Reliever,No,Yes,Yes,ARI
Chase Silseth,LAA,Reliever,No,No,No,
Aaron Sanchez,MIN,Reliever,Yes,Yes,Yes,WSN
T.J. McFarland,STL,Reliever,No,No,No,
Anthony DeSclafani,SFG,Reliever,No,No,No,
Drew VerHagen,STL,Reliever,No,No,No,
Tucker Davidson,LAA,Reliever,No,Yes,Yes,ATL
Tayler Scott,SDP,Reliever,No,No,No,
David McKay,OAK,Reliever,No,Yes,Yes,TBR
Reed Garrett,WSN,Reliever,No,No,No,
Julian Merryweather,TOR,Reliever,No,No,No,
Matt Reynolds,CIN,Reliever,No,No,No,
Ian Hamilton,MIN,Reliever,No,No,No,
Alejo Lopez,CIN,Reliever,No,No,No,
Anthony Banda,NYY,Reliever,No,Yes,Yes,TOR
Rob Zastryzny,LAA,Reliever,No,Yes,Yes,NYM
Zach Logue,OAK,Reliever,No,No,No,
Jake McGee,WSN,Reliever,No,Yes,Yes,MIL
Aaron Fletcher,PIT,Reliever,No,No,No,
Jake Reed,BAL,Reliever,No,Yes,Yes,LAD
Ashton Goudeau,COL,Reliever,No,No,No,
Joan Adon,WSN,Starter,No,No,No,
Ethan Small,MIL,Reliever,No,No,No,
Norge Ruiz,OAK,Reliever,No,No,No,
Ronel Blanco,HOU,Reliever,No,No,No,
Tyler Clippard,WSN,Reliever,No,No,No,
Francisco Morales,PHI,Reliever,No,No,No,
Thomas Szapucki,SFG,Reliever,No,Yes,Yes,NYM
Francisco Perez,WSN,Reliever,No,No,No,
Elvis Peguero,LAA,Reliever,No,No,No,
Kolby Allard,TEX,Reliever,No,No,No,
Wil Myers,SDP,Reliever,No,No,No,
Jose Marte,LAA,Reliever,No,No,No,
Heath Hembree,LAD,Reliever,No,Yes,Yes,PIT
Carlos Hernandez,KCR,Reliever,No,No,No,
Spencer Howard,TEX,Reliever,No,No,No,
Anthony Castro,CLE,Reliever,No,No,No,
Casey Lawrence,TOR,Reliever,No,No,No,
Max Meyer,MIA,Reliever,No,No,No,
Sergio Romo,TOR,Reliever,No,Yes,Yes,SEA
Chad Smith,COL,Reliever,No,No,No,
Jhoulys Chacin,COL,Reliever,No,No,No,
Vladimir Gutierrez,CIN,Reliever,No,No,No,
Greg Holland,TEX,Reliever,No,No,No,
Jake Hager,ARI,Reliever,No,No,No,
Aaron Brooks,STL,Reliever,No,No,No,
Carson Kelly,ARI,Reliever,No,No,No,
Kevin Herget,TBR,Reliever,No,No,No,
Raynel Espinal,CIN,Reliever,No,No,No,
Gavin Hollowell,COL,Reliever,No,No,No,
Jake Lemoine,OAK,Reliever,No,No,No,
Sam Coonrod,PHI,Reliever,No,No,No,
Kyle Muller,ATL,Reliever,No,No,No,
Luis Patino,TBR,Reliever,No,No,No,
Ethan Roberts,CHC,Reliever,No,No,No,
Matt Koch,SEA,Reliever,No,No,No,
James Norwood,PHI,Reliever,No,No,No,
Jimmy Yacabonis,TBR,Reliever,No,Yes,Yes,MIA
Bennett Sousa,CHW,Reliever,No,No,No,
Zac Lowther,BAL,Reliever,No,No,No,
Sam Clay,NYM,Reliever,No,Yes,Yes,WSN
Domingo Tapia,OAK,Reliever,No,No,No,
Foster Griffin,TOR,Reliever,No,Yes,Yes,KCR
Chris Devenski,PHI,Reliever,No,Yes,Yes,ARI
Sean Newcomb,CHC,Reliever,No,Yes,Yes,ATL
Miguel Yajure,PIT,Reliever,No,No,No,
Cesar Valdez,LAA,Reliever,No,No,No,
Chris Owings,BAL,Reliever,No,No,No,
Tucker Barnhart,DET,Reliever,No,No,No,
Robbie Erlin,LAD,Reliever,No,No,No,
Michael A. Taylor,KCR,Reliever,No,No,No,
Yolmer Sanchez,BOS,Reliever,No,No,No,
Jackie Bradley Jr.,BOS,Reliever,No,No,No,
Connor Sadzeck,MIL,Reliever,No,No,No,
Jose Castillo,SDP,Reliever,No,No,No,
Luis Gil,NYY,Reliever,No,No,No,
Ray Kerr,SDP,Reliever,No,No,No,
Sam Howard,PIT,Reliever,No,No,No,
Dallas Keuchel,TEX,Starter,No,Yes,Yes,ARI
Kohei Arihara,TEX,Reliever,No,No,No,
Lucas Sims,CIN,Reliever,No,No,No,
Travis Lakins Sr.,BAL,Reliever,No,No,No,
Damon Jones,PHI,Reliever,No,No,No,
Alec Mills,CHC,Reliever,No,No,No,
Jackson Kowar,KCR,Reliever,No,No,No,
Ryan Weathers,SDP,Reliever,No,No,No,
Andrew Nardi,MIA,Reliever,No,No,No,
Daniel Duarte,CIN,Reliever,No,No,No,
Kervin Castro,CHC,Reliever,No,Yes,Yes,SFG
Caleb Kilian,CHC,Reliever,No,No,No,
Chris Ellis,BAL,Reliever,No,No,No,
Cam Vieaux,PIT,Reliever,No,No,No,
Luis Frias,ARI,Reliever,No,No,No,
Elvin Rodriguez,DET,Reliever,No,No,No,
A.J. Ladwig,MIA,Reliever,No,No,No,
Jared Solomon,CIN,Reliever,No,No,No,
Tommy Romero,WSN,Reliever,No,Yes,Yes,TBR
Alcides Escobar,WSN,Reliever,No,No,No,
Bryce Montes de Oca,NYM,Reliever,No,No,No,
Tyson Miller,TEX,Reliever,No,No,No,
Phillip Diehl,CIN,Reliever,No,No,No,
Luke Barker,MIL,Reliever,No,No,No,
Connor Seabold,BOS,Reliever,No,No,No,
Yennier Cano,BAL,Reliever,No,Yes,Yes,MIN
R.J. Alvarez,NYM,Reliever,No,No,No,
A.J. Alexy,TEX,Reliever,No,No,No,
Pedro Baez,HOU,Reliever,No,No,No,
Chris Mazza,TBR,Reliever,No,No,No,
Bryan Hoeing,MIA,Reliever,No,No,No,
Yu Chang,TBR,Reliever,No,No,No,
Austin Wynns,SFG,Reliever,No,No,No,
Locke St. John,CHC,Reliever,No,No,No,
Huascar Ynoa,ATL,Reliever,No,No,No,
Stephen Strasburg,WSN,Reliever,No,No,No,
Ryan McKenna,BAL,Reliever,No,No,No,
Jake Walsh,STL,Reliever,No,No,No,
Tayler Saucedo,TOR,Reliever,No,No,No,
Zack Britton,NYY,Reliever,No,No,No,
Cade Cavalli,WSN,Reliever,No,No,No,
Cody Sedlock,BAL,Reliever,No,No,No,
T.J. Zeuch,CIN,Reliever,No,No,No,
Jose Butto,NYM,Reliever,No,No,No,
Oliver Perez,ARI,Reliever,No,No,No,
Garrett Stubbs,PHI,Reliever,No,No,No,
Yadier Molina,STL,Reliever,No,No,No,
Josh Harrison,CHW,Reliever,No,No,No,
Whit Merrifield,TOR,Reliever,No,No,No,
Brett Phillips,TBR,Reliever,No,No,No,
Matt Dermody,CHC,Reliever,No,No,No,
Hunter Dozier,KCR,Reliever,No,No,No,
Frank Schwindel,CHC,Reliever,No,No,No,
Mike Ford,ATL,Reliever,No,No,No,
Bubby Rossman,PHI,Reliever,No,No,No,
Nicky Lopez,KCR,Reliever,No,No,No,
Shaun Anderson,TOR,Reliever,No,No,No,
Ernie Clement,CLE,Reliever,No,No,No,
Nicklaus Snyder,TEX,Reliever,No,No,No,
Frank German,BOS,Reliever,No,No,No,
Noah Davis,COL,Reliever,No,No,No,
Hunter Gaddis,CLE,Reliever,No,No,No,
Thomas Hatch,TOR,Reliever,No,No,No,
Nick Maton,PHI,Reliever,No,No,No,
Jerad Eickhoff,PIT,Reliever,No,No,No,
Darwinzon Hernandez,BOS,Reliever,No,No,No,
Nick Gordon,MIN,Reliever,No,No,No,
JC Mejia,MIL,Reliever,No,No,No,
Jake Brentz,KCR,Reliever,No,No,No,
Dee Strange-Gordon,WSN,Reliever,No,No,No,
Victor Caratini,MIL,Reliever,No,No,No,
Chad Pinder,OAK,Reliever,No,No,No,
Donovan Walton,SFG,Reliever,No,No,No,
Albert Pujols,STL,Reliever,No,No,No,
Diego Castillo (PIT),PIT,Reliever,No,No,No,
Josh VanMeter,PIT,Reliever,No,No,No,
Brendon Little,CHC,Reliever,No,No,No,
Andrelton Simmons,CHC,Reliever,No,No,No,
Max Schrock,CIN,Reliever,No,No,No,
Brian Moran,LAA,Reliever,No,No,No,
