Name,Team,Type,NewTeamoffSeason21,NewTeamDeadline22,NewTeam,OldTeam
Ryan Weber,NYY,Reliever,No,No,No,
Hunter Brown,HOU,Reliever,No,No,No,
Yency Almonte,LAD,Reliever,No,No,No,
Scott Alexander,SFG,Reliever,No,No,No,
Luis Ortiz (SFG),SFG,Reliever,Yes,No,Yes,
Jose Cisnero,DET,Reliever,No,No,No,
Pete Fairbanks,TBR,Reliever,No,No,No,
Evan Phillips,LAD,Reliever,No,No,No,
Ryne Stanek,HOU,Reliever,No,No,No,
Fernando Cruz,CIN,Reliever,No,No,No,
Ryan Helsley,STL,Reliever,No,No,No,
Edwin Diaz,NYM,Reliever,No,No,No,
Tyler Glasnow,TBR,Reliever,No,No,No,
Matthew Boyd,SEA,Reliever,Yes,No,Yes,
Emmanuel Clase,CLE,Reliever,No,No,No,
Matt Gage,TOR,Reliever,No,No,No,
Cionel Perez,BAL,Reliever,Yes,No,Yes,
Danny Coulombe,MIN,Reliever,No,No,No,
Ryne Nelson,ARI,Reliever,No,No,No,
Drey Jameson,ARI,Reliever,No,No,No,
Anthony Bass,TOR,Reliever,No,Yes,Yes,MIA
Jason Adam,TBR,Reliever,No,No,No,
Marcos Diplan,BAL,Reliever,No,No,No,
Angel Zerpa,KCR,Reliever,No,No,No,
Erik Swanson,SEA,Reliever,No,No,No,
Mark Appel,PHI,Reliever,No,No,No,
Justin Verlander,HOU,Starter,No,No,No,
Daniel Bard,COL,Reliever,No,No,No,
Blake Treinen,LAD,Reliever,No,No,No,
Luke Bard,NYY,Reliever,No,Yes,Yes,TBR
Caleb Ferguson,LAD,Reliever,No,No,No,
Alexis Diaz,CIN,Reliever,No,No,No,
Jhoan Duran,MIN,Reliever,No,No,No,
Andre Jackson,LAD,Reliever,No,No,No,
Devin Williams,MIL,Reliever,No,No,No,
Bryan Abreu,HOU,Reliever,No,No,No,
Matt Moore,TEX,Reliever,Yes,No,Yes,
Brock Burke,TEX,Reliever,No,No,No,
Ron Marinaccio,NYY,Reliever,No,No,No,
Adam Ottavino,NYM,Reliever,No,No,No,
A.J. Minter,ATL,Reliever,No,No,No,
Drew Carlton,DET,Reliever,No,No,No,
James Karinchak,CLE,Reliever,No,No,No,
Zack Thompson,STL,Reliever,No,No,No,
Seth Martinez,HOU,Reliever,No,No,No,
Jordan Romano,TOR,Reliever,No,No,No,
Dylan Lee,ATL,Reliever,No,No,No,
Angel De Jesus,DET,Reliever,No,No,No,
Tony Gonsolin,LAD,Starter,No,No,No,
Alex Vesia,LAD,Reliever,No,No,No,
Julio Urias,LAD,Starter,No,No,No,
Jesus Tinoco,TEX,Reliever,No,No,No,
Scott Barlow,KCR,Reliever,No,No,No,
Hayden Wesneski,CHC,Reliever,No,No,No,
Kyle Nelson,ARI,Reliever,No,No,No,
Felix Bautista,BAL,Reliever,No,No,No,
Dylan Cease,CHW,Starter,No,No,No,
Jovani Moran,MIN,Reliever,No,No,No,
John Schreiber,BOS,Reliever,No,No,No,
Daniel Hudson,LAD,Reliever,No,No,No,
Jake Woodford,STL,Reliever,No,No,No,
Alek Manoah,TOR,Starter,No,No,No,
Christian Bethancourt,TBR,Reliever,No,Yes,Yes,OAK
Michael Kelly,PHI,Reliever,No,No,No,
Matt Wisler,TBR,Reliever,No,No,No,
Nick Sandlin,CLE,Reliever,No,No,No,
Lance McCullers Jr.,HOU,Reliever,No,No,No,
Robert Suarez,SDP,Reliever,No,No,No,
Clayton Kershaw,LAD,Starter,No,No,No,
Cody Morris,CLE,Reliever,No,No,No,
Sandy Alcantara,MIA,Starter,No,No,No,
Max Scherzer,NYM,Starter,Yes,No,Yes,
