Name,Type,Team,CSW%,diff
Scott Effross,Reliever,CHC,0.3102499999999999,-0.0
Scott Effross,Reliever,NYY,0.3065,-0.00374999999999992
Sean Newcomb,Reliever,'- - -,0.24,-0.0
Sean Newcomb,Reliever,CHC,0.266,0.026000000000000023
Sergio Romo,Reliever,SEA,0.2653333333333333,-0.0
Sergio Romo,Reliever,TOR,0.267,0.0016666666666667052
Shane Greene,Reliever,LAD,0.231,-0.0
Shane Greene,Reliever,NYY,0.167,-0.064
Shawn Armstrong,Reliever,MIA,0.211,-0.0
Shawn Armstrong,Reliever,TBR,0.2962,0.08520000000000003
Taylor Rogers,Reliever,MIL,0.374,-0.0
Taylor Rogers,Reliever,SDP,0.33075,-0.04325000000000001
Thomas Szapucki,Reliever,NYM,0.204,-0.0
Thomas Szapucki,Reliever,SFG,0.281,0.07700000000000004
Tommy Romero,Reliever,TBR,0.345,-0.0
Tommy Romero,Reliever,WSN,0.22,-0.12499999999999997
Tucker Davidson,Reliever,ATL,0.268,-0.0
Tucker Davidson,Reliever,LAA,0.2445,-0.02350000000000002
Tyler Beede,Reliever,'- - -,0.275,-0.0
Tyler Beede,Reliever,PIT,0.25125,-0.10200000000000004
Tyler Beede,Reliever,SFG,0.173,-0.07824999999999999
Tyler Cyr,Reliever,OAK,0.279,-0.0
Tyler Cyr,Reliever,PHI,0.0,-0.279
Tyler Mahle,Starter,CIN,0.28425,-0.0
Tyler Mahle,Starter,MIN,0.219,-0.06525
Tyler Thornburg,Reliever,ATL,0.2525,-0.0
Tyler Thornburg,Reliever,MIN,0.208,-0.04450000000000001
Will Smith,Reliever,ATL,0.2895,-0.0
Will Smith,Reliever,HOU,0.3395,0.050000000000000044
Wyatt Mills,Reliever,KCR,0.3086666666666666,-0.0
Wyatt Mills,Reliever,SEA,0.23,-0.07866666666666658
Yennier Cano,Reliever,BAL,0.25,-0.0
Yennier Cano,Reliever,MIN,0.2823333333333333,0.032333333333333325
Yohan Ramirez,Reliever,CLE,0.3,-0.0
Yohan Ramirez,Reliever,PIT,0.2635,0.0040000000000000036
Yohan Ramirez,Reliever,SEA,0.304,0.04049999999999998
Zach Pop,Reliever,MIA,0.259,-0.0
Zach Pop,Reliever,TOR,0.2385,-0.020500000000000018
