Name,Type,NewTeamoffSeason21,NewTeamDeadline22,DateDeadline,NewTeam,LatestTeamName
Beau Sulser,Reliever,No,Yes,9/1/2022,Yes,BAL
Bennett Sousa,Reliever,No,No,6/1/2022,No,CHW
Blake Snell,Starter,No,No,9/1/2022,No,SDP
Blake Taylor,Reliever,No,No,6/1/2022,No,HOU
Blake Treinen,Reliever,No,No,9/1/2022,No,LAD
Bowden Francis,Reliever,No,No,4/1/2022,No,TOR
Brad Boxberger,Reliever,No,No,9/1/2022,No,MIL
Brad Hand,Reliever,No,No,9/1/2022,No,PHI
Brad Keller,Starter,No,No,9/1/2022,No,KCR
Brady Singer,Starter,No,No,9/1/2022,No,KCR
Brandon Bielak,Reliever,No,No,9/1/2022,No,HOU
Brandon Hughes,Reliever,No,No,9/1/2022,No,CHC
Brandon Woodruff,Starter,No,No,9/1/2022,No,MIL
Braxton Garrett,Starter,No,No,9/1/2022,No,MIA
Brayan Bello,Reliever,No,No,9/1/2022,No,BOS
Brendon Little,Reliever,No,No,8/1/2022,No,CHC
Brennan Bernardino,Reliever,No,No,8/1/2022,No,SEA
Brent Suter,Reliever,No,No,9/1/2022,No,MIL
Brett Martin,Reliever,No,No,9/1/2022,No,TEX
Brett Phillips,Reliever,No,No,7/1/2022,No,TBR
Brian Moran,Reliever,No,No,4/1/2022,No,LAA
Brian Serven,Reliever,No,No,7/1/2022,No,COL
Brock Burke,Reliever,No,No,9/1/2022,No,TEX
Brooks Raley,Reliever,No,No,9/1/2022,No,TBR
Bruce Zimmermann,Starter,No,No,9/1/2022,No,BAL
Brusdar Graterol,Reliever,No,No,9/1/2022,No,LAD
Bryan Abreu,Reliever,No,No,9/1/2022,No,HOU
Bryan Baker,Reliever,No,No,9/1/2022,No,BAL
Bryan Garcia,Reliever,No,No,9/1/2022,No,DET
Bryan Hoeing,Reliever,No,No,9/1/2022,No,MIA
Bryan Shaw,Reliever,No,No,9/1/2022,No,CLE
Bryce Elder,Reliever,No,No,9/1/2022,No,ATL
Bryce Montes de Oca,Reliever,No,No,9/1/2022,No,NYM
Bryse Wilson,Starter,No,No,9/1/2022,No,PIT
Bubby Rossman,Reliever,No,No,7/1/2022,No,PHI
Buck Farmer,Reliever,No,No,9/1/2022,No,CIN
Cade Cavalli,Reliever,No,No,8/1/2022,No,WSN
Cal Quantrill,Starter,No,No,9/1/2022,No,CLE
Caleb Ferguson,Reliever,No,No,9/1/2022,No,LAD
