#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,Year,YearDate
891,Max Schrock,CIN,93.3%,63.0, , , , , , , , , , ,6.7%,60.0, ,2021.0,2021-01-01
892,John Nogowski,PIT,71.4%,62.6, , , , ,28.6%,47.9, , , , , , , ,2021.0,2021-01-01
893,Willians Astudillo,MIN,47.1%,61.7, , , , , , ,7.8%,80.8, , ,45.1%,45.5, ,2021.0,2021-01-01
894,Anthony Bemboom,LAA,100.0%,61.2, , , , , , , , , , , , , ,2021.0,2021-01-01
895,Austin Wynns,BAL,100.0%,59.7, , , , , , , , , , , , , ,2021.0,2021-01-01
896,Jack Mayfield,SEA,100.0%,59.7, , , , , , , , , , , , , ,2021.0,2021-01-01
897,Mike Freeman,CIN,100.0%,59.3, , , , , , , , , , , , , ,2021.0,2021-01-01
898,Danny Mendick,CHW,6.7%,59.0, , , , ,20.0%,40.7, , , , ,73.3%,61.0, ,2021.0,2021-01-01
899,Jace Peterson,MIL,100.0%,58.2, , , , , , , , , , , , , ,2021.0,2021-01-01
900,Brock Holt,TEX,100.0%,52.0, , , , , , , , , , , , , ,2021.0,2021-01-01
901,Brett Phillips,TBR,100.0%,50.2, , , , , , , , , , , , , ,2021.0,2021-01-01
902,Wyatt Mathisen,ARI,100.0%,49.1, , , , , , , , , , , , ,20.0%,2021.0,2021-01-01
903,Stevie Wilkerson,BAL,100.0%,45.7, , , , , , , , , , , , , ,2021.0,2021-01-01
904,Jonathan Arauz,BOS,100.0%,39.9, , , , , , , , , , , , , ,2021.0,2021-01-01
905,Will Harris,WSN, , , , ,80.7%,90.1,19.3%,79.8, , , , , , , ,2021.0,2021-01-01
906,Lucas Luetge,NYY, , ,22.6%,81.4,62.1%,88.4,15.2%,74.6, , , , , , ,0.4%,2021.0,2021-01-01
907,Colten Brewer,BOS, , ,23.3%,87.1,56.7%,94.0,20.0%,81.0, , , , , , , ,2021.0,2021-01-01
908,Wander Suero,WSN, , , , ,76.0%,92.1,8.4%,78.8,15.6%,87.2, , , , ,0.5%,2021.0,2021-01-01
909,Andre Scrubb,HOU, , ,4.5%,87.7,54.0%,94.0,41.5%,80.1, , , , , , , ,2021.0,2021-01-01
1,Jhoan Duran,MIN,49.3%,100.9,3.2%,89.7, , ,31.2%,87.8, , ,16.3%,96.5, , ,1.0%,2022.0,2022-01-01
2,Andres Munoz,SEA,35.4%,100.2,64.6%,88.6, , , , , , , , , , ,0.8%,2022.0,2022-01-01
3,Bryce Montes de Oca,NYM,23.8%,100.0,22.6%,86.8,53.6%,95.4, , , , , , , , , ,2022.0,2022-01-01
4,Brusdar Graterol,LAD,53.3%,99.7,17.9%,90.5,28.7%,95.6, , , , , , , , ,0.6%,2022.0,2022-01-01
5,Ryan Helsley,STL,57.0%,99.7, , ,32.0%,89.2,10.4%,80.8,0.6%,89.7, , , , ,0.4%,2022.0,2022-01-01
6,Jose Alvarado,PHI,56.1%,99.6,42.7%,93.8, , ,1.2%,86.5, , , , , , ,1.2%,2022.0,2022-01-01
7,Emmanuel Clase,CLE,62.0%,99.6,38.0%,91.9, , , , , , , , , , ,0.9%,2022.0,2022-01-01
8,Jordan Hicks,STL,65.7%,99.4,31.6%,84.8, , , , , , ,2.7%,92.2, , , ,2022.0,2022-01-01
9,Aneurys Zabala,MIA,51.2%,99.3, , , , ,14.0%,83.7,34.9%,90.8, , , , , ,2022.0,2022-01-01
10,Felix Bautista,BAL,61.3%,99.2,12.3%,85.3, , , , , , ,26.4%,88.5, , ,0.1%,2022.0,2022-01-01
11,Edwin Diaz,NYM,41.9%,99.1,58.1%,90.8, , , , , , , , , , ,0.4%,2022.0,2022-01-01
12,Camilo Doval,SFG,56.4%,99.0,43.6%,87.8, , , , , , , , , , ,0.7%,2022.0,2022-01-01
13,Pete Fairbanks,TBR,61.4%,99.0,38.1%,85.8, , , , ,0.6%,96.0, , , , , ,2022.0,2022-01-01
14,Hunter Greene,CIN,53.8%,99.0,40.9%,88.1, , , , ,5.3%,90.1, , , , , ,2022.0,2022-01-01
15,Jacob deGrom,NYM,47.4%,98.9,39.3%,92.7, , ,5.1%,83.5,8.2%,92.0, , , , , ,2022.0,2022-01-01
16,Gregory Santos,SFG,47.8%,98.9,52.2%,87.9, , , , , , , , , , , ,2022.0,2022-01-01
17,Junior Fernandez,- - -,54.7%,98.8,35.1%,88.9, , , , ,10.2%,90.9, , , , , ,2022.0,2022-01-01
18,Luis Garcia,SDP,54.9%,98.7,32.1%,82.7, , , , , , ,13.0%,88.9, , ,0.1%,2022.0,2022-01-01
19,Luis Ortiz,PIT,57.8%,98.5,37.1%,87.7, , , , ,5.1%,91.0, , , , , ,2022.0,2022-01-01
20,Albert Abreu,- - -,60.7%,98.4,29.3%,88.7, , , , ,10.0%,88.1, , , , , ,2022.0,2022-01-01
21,Gregory Soto,DET,77.4%,98.4,21.6%,89.3, , , , ,1.0%,91.9, , , , ,0.4%,2022.0,2022-01-01
22,Ryne Stanek,HOU,58.4%,98.4,18.3%,87.1, , , , , , ,23.2%,88.6, , ,0.4%,2022.0,2022-01-01
23,Hunter Harvey,WSN,77.9%,98.3,0.5%,86.7, , ,6.7%,82.8, , ,15.0%,89.4, , , ,2022.0,2022-01-01
24,Spencer Strider,ATL,67.0%,98.2,28.2%,86.3, , , , ,4.8%,88.9, , , , ,0.0%,2022.0,2022-01-01
25,Jonathan Loaisiga,NYY,64.8%,98.1,20.2%,87.0, , , , ,15.0%,90.0, , , , ,0.5%,2022.0,2022-01-01
26,Trevor Megill,MIN,55.4%,98.1,13.6%,88.6, , ,31.0%,83.4, , , , , , , ,2022.0,2022-01-01
27,Daniel Bard,COL,55.0%,98.0,42.6%,88.4, , , , ,2.4%,90.2, , , , ,0.4%,2022.0,2022-01-01
28,Jonathan Hernandez,TEX,43.2%,98.0,36.2%,87.3, , , , ,20.5%,90.2, , , , ,2.3%,2022.0,2022-01-01
29,Seranthony Dominguez,PHI,69.7%,98.0,25.5%,89.6, , , , ,4.7%,92.1, , , , ,0.5%,2022.0,2022-01-01
30,Miguel Castro,NYY,36.4%,97.9,44.6%,85.9, , , , ,19.0%,92.5, , , , , ,2022.0,2022-01-01
31,Sandy Alcantara,MIA,50.0%,97.9,22.1%,90.0, , ,0.2%,86.0,27.7%,91.8, , , , ,0.2%,2022.0,2022-01-01
32,Joe Kelly,CHW,39.5%,97.9, , , , ,51.9%,88.1,8.5%,87.2, , , , , ,2022.0,2022-01-01
33,Gerrit Cole,NYY,51.9%,97.8,22.8%,88.8,6.1%,92.2,10.8%,83.0,8.5%,89.8, , , , , ,2022.0,2022-01-01
34,Aroldis Chapman,NYY,60.5%,97.7,24.6%,85.8, , , , , , ,14.9%,88.1, , , ,2022.0,2022-01-01
35,Frank German,BOS,69.0%,97.7,28.6%,87.1, , , , , , ,2.4%,85.0, , , ,2022.0,2022-01-01
36,Anthony Bender,MIA,61.3%,97.7,33.2%,84.9, , , , ,5.5%,90.7, , , , , ,2022.0,2022-01-01
37,Robert Suarez,SDP,65.0%,97.7,1.9%,89.2,7.6%,95.1,4.5%,80.7,21.0%,89.3, , , , , ,2022.0,2022-01-01
38,Dustin May,LAD,51.9%,97.7, , ,21.3%,92.7,21.1%,85.6,5.7%,88.6, , , , , ,2022.0,2022-01-01
39,Jorge Lopez,- - -,55.0%,97.7,10.2%,87.6, , ,19.3%,84.2,15.6%,90.0, , , , ,1.7%,2022.0,2022-01-01
40,Domingo Tapia,OAK,68.3%,97.6,15.4%,88.1, , , , ,16.3%,88.9, , , , ,0.6%,2022.0,2022-01-01
41,Liam Hendriks,CHW,60.5%,97.6,29.0%,89.0, , ,10.4%,85.8, , , , , , ,0.1%,2022.0,2022-01-01
42,Dylan Coleman,KCR,57.5%,97.6,42.5%,83.4, , , , , , , , , , ,0.1%,2022.0,2022-01-01
43,Carlos Estevez,COL,70.5%,97.6,14.9%,87.3, , , , ,14.6%,88.5, , , , ,0.4%,2022.0,2022-01-01
44,Josh Hader,- - -,69.5%,97.5,28.3%,84.0, , , , ,2.2%,88.7, , , , , ,2022.0,2022-01-01
45,Javy Guerra,- - -,70.6%,97.5,29.4%,88.4, , , , , , , , , , ,2.4%,2022.0,2022-01-01
46,Tyler Glasnow,TBR,53.5%,97.4,28.1%,91.1, , ,18.4%,83.8, , , , , , , ,2022.0,2022-01-01
47,Arodys Vizcaino,KCR,59.1%,97.4, , , , ,39.1%,84.3,1.7%,88.5, , , , , ,2022.0,2022-01-01
48,Julian Merryweather,TOR,51.6%,97.3,34.1%,87.8, , ,4.8%,80.4,9.6%,81.6, , , , ,1.0%,2022.0,2022-01-01
49,Yunior Marte,SFG,62.0%,97.3,38.0%,86.0, , , , , , , , , , , ,2022.0,2022-01-01
50,Matt Bush,- - -,49.4%,97.3,15.4%,92.9, , ,35.2%,81.0, , , , , , ,0.9%,2022.0,2022-01-01
51,Shohei Ohtani,LAA,31.3%,97.3,39.0%,85.4,8.6%,90.8,9.1%,78.0, , ,11.9%,89.3, , , ,2022.0,2022-01-01
52,Graham Ashcraft,CIN,21.0%,97.2,27.1%,85.8,51.2%,97.3, , ,0.7%,89.9, , , , ,0.2%,2022.0,2022-01-01
53,Bryan Abreu,HOU,45.5%,97.2,36.5%,88.4, , ,17.8%,86.2,0.2%,89.5, , , , ,0.1%,2022.0,2022-01-01
54,Huascar Brazoban,MIA,33.0%,97.2,41.7%,87.7, , , , ,25.4%,89.1, , , , ,0.6%,2022.0,2022-01-01
55,Nick Duron,PHI,75.0%,97.2,25.0%,88.3, , , , , , , , , , , ,2022.0,2022-01-01
56,Reynaldo Lopez,CHW,55.0%,97.1,32.4%,87.5, , ,7.8%,80.4,4.8%,86.0, , , , ,0.4%,2022.0,2022-01-01
57,Kyle Finnegan,WSN,78.8%,97.1,12.2%,89.1, , , , , , ,9.0%,88.6, , ,0.7%,2022.0,2022-01-01
58,Luis Castillo,- - -,56.7%,97.1,21.1%,86.6, , , , ,22.2%,88.5, , , , , ,2022.0,2022-01-01
59,Clay Holmes,NYY,80.3%,97.1,19.7%,86.1, , , , , , , , , , ,0.5%,2022.0,2022-01-01
60,Josh Sborz,TEX,51.8%,97.0,24.6%,87.7, , ,23.6%,85.5, , , , , , ,1.0%,2022.0,2022-01-01
61,Tanner Rainey,WSN,70.4%,97.0,28.6%,88.4, , , , ,1.0%,88.6, , , , , ,2022.0,2022-01-01
62,Anthony Gose,CLE,65.0%,97.0,35.0%,86.1, , , , , , , , , , ,1.0%,2022.0,2022-01-01
63,Daniel Hudson,LAD,54.7%,97.0,41.9%,88.8, , , , ,3.4%,88.4, , , , , ,2022.0,2022-01-01
64,Luis Frias,ARI,62.4%,97.0,2.5%,87.7, , ,30.1%,85.2,5.1%,89.8, , , , , ,2022.0,2022-01-01
65,Jose Ruiz,CHW,47.8%,96.9, , , , ,29.4%,86.4,22.8%,89.9, , , , , ,2022.0,2022-01-01
66,Tanner Scott,MIA,37.9%,96.9,62.1%,89.2, , , , , , , , , , ,0.3%,2022.0,2022-01-01
67,Matt Brash,SEA,35.9%,96.9,44.6%,86.6, , ,18.6%,84.3,0.9%,85.9, , , , ,0.4%,2022.0,2022-01-01
68,Jordan Romano,TOR,48.2%,96.9,51.8%,87.4, , , , , , , , , , ,1.6%,2022.0,2022-01-01
69,Cionel Perez,BAL,60.6%,96.9,39.3%,84.0, , ,0.1%,81.0, , , , , , ,0.4%,2022.0,2022-01-01
70,Adrian Morejon,SDP,69.1%,96.9,13.7%,87.6, , ,13.0%,80.2, , ,4.3%,84.3, , ,0.7%,2022.0,2022-01-01
71,Robert Stephenson,- - -,47.8%,96.9,50.5%,84.0, , ,1.1%,77.6,0.5%,88.2, , , , ,0.1%,2022.0,2022-01-01
72,Dennis Santana,TEX,46.2%,96.9,40.5%,85.8, , , , ,13.3%,90.0, , , , ,0.4%,2022.0,2022-01-01
73,Jordan Weems,WSN,63.8%,96.9,24.0%,88.2, , ,3.0%,80.1, , ,9.2%,87.3, , ,0.5%,2022.0,2022-01-01
74,Dylan Cease,CHW,40.7%,96.8,42.9%,87.4, , ,13.9%,81.2,2.4%,77.8, , , , ,0.2%,2022.0,2022-01-01
75,Carlos Hernandez,KCR,50.0%,96.8,17.1%,85.9, , ,22.6%,82.1, , ,10.2%,85.0, , ,0.4%,2022.0,2022-01-01
76,Nicklaus Snyder,TEX,63.6%,96.8,36.4%,85.9, , , , , , , , , , , ,2022.0,2022-01-01
77,Jeremiah Estrada,CHC,75.2%,96.8,18.8%,83.6, , ,4.3%,73.0,1.7%,87.0, , , , , ,2022.0,2022-01-01
78,Shane McClanahan,TBR,35.6%,96.8,15.5%,89.4, , ,23.5%,82.0, , ,25.4%,87.7, , ,0.0%,2022.0,2022-01-01
79,Luis Gil,NYY,59.0%,96.8,34.9%,87.2, , , , ,6.0%,93.0, , , , , ,2022.0,2022-01-01
80,Sam Coonrod,PHI,65.7%,96.8,8.1%,85.5,15.7%,92.9, , ,10.6%,89.7, , , , , ,2022.0,2022-01-01
81,Bubby Rossman,PHI,77.8%,96.7,22.2%,88.0, , , , , , , , , , , ,2022.0,2022-01-01
82,A.J. Minter,ATL,49.8%,96.7,32.1%,90.4, , , , ,18.1%,87.6, , , , , ,2022.0,2022-01-01
83,A.J. Puk,OAK,61.8%,96.6,38.1%,86.9, , , , ,0.2%,89.0, , , , ,1.1%,2022.0,2022-01-01
84,Hunter Brown,HOU,53.1%,96.6, , ,13.3%,93.4,31.4%,83.4,2.3%,89.1, , , , , ,2022.0,2022-01-01
85,James Norwood,PHI,49.7%,96.6,9.5%,88.6, , , , , , ,40.8%,90.8, , , ,2022.0,2022-01-01
86,Gerardo Reyes,LAA,76.6%,96.6,23.4%,82.6, , , , , , , , , , , ,2022.0,2022-01-01
87,Brayan Bello,BOS,53.9%,96.6,22.1%,85.0, , ,0.4%,80.0,23.7%,88.3, , , , ,0.4%,2022.0,2022-01-01
88,Nick Mears,PIT,54.8%,96.6,12.9%,85.0, , ,32.3%,81.3, , , , , , , ,2022.0,2022-01-01
89,Trevor Stephan,CLE,47.4%,96.6,24.8%,85.9, , , , , , ,27.7%,88.0, , ,0.7%,2022.0,2022-01-01
90,Zach Pop,- - -,76.9%,96.5,22.9%,85.0, , , , ,0.2%,89.0, , , , , ,2022.0,2022-01-01
91,Kendall Graveman,CHW,55.0%,96.5,27.4%,88.7, , ,4.0%,83.7,13.6%,90.8, , , , ,0.8%,2022.0,2022-01-01
92,Jose Marte,LAA,50.6%,96.5,49.1%,89.4, , , , ,0.4%,90.0, , , , , ,2022.0,2022-01-01
93,Jose Leclerc,TEX,36.6%,96.5,6.9%,88.9, , ,0.4%,80.0,22.0%,89.7,34.1%,83.3, , , ,2022.0,2022-01-01
94,Elvis Peguero,LAA,37.3%,96.5,62.7%,91.1, , , , , , , , , , , ,2022.0,2022-01-01
95,David Bednar,PIT,53.7%,96.5, , , , ,29.5%,77.1, , ,16.9%,89.9, , ,1.0%,2022.0,2022-01-01
96,JT Chargois,TBR,61.7%,96.5,38.3%,87.3, , , , , , , , , , , ,2022.0,2022-01-01
97,Huascar Ynoa,ATL,53.1%,96.4,36.1%,85.1, , , , ,10.9%,88.7, , , , , ,2022.0,2022-01-01
98,Blake Treinen,LAD,43.5%,96.4,27.5%,85.2,29.0%,92.0, , , , , , , , , ,2022.0,2022-01-01
99,Freddy Tarnok,ATL,50.0%,96.4, , , , , , ,50.0%,84.2, , , , , ,2022.0,2022-01-01
100,Josh Staumont,KCR,65.1%,96.4, , , , ,34.9%,82.3, , , , , , , ,2022.0,2022-01-01
101,Kevin Ginkel,ARI,61.7%,96.4,38.1%,85.4, , , , ,0.2%,84.0, , , , ,0.6%,2022.0,2022-01-01
102,Luis Severino,NYY,49.3%,96.3,19.9%,85.0,8.5%,90.2, , ,22.3%,88.8, , , , , ,2022.0,2022-01-01
103,Kaleb Ort,BOS,59.8%,96.3,33.3%,86.0, , , , ,6.8%,89.8, , , , ,1.7%,2022.0,2022-01-01
104,Nick Nelson,PHI,42.9%,96.3,24.2%,89.9, , ,3.6%,82.0,29.3%,88.0, , , , , ,2022.0,2022-01-01
105,Rafael Montero,HOU,68.5%,96.3,12.2%,87.9, , , , ,19.3%,91.1, , , , ,0.3%,2022.0,2022-01-01
106,Jason Foley,DET,69.6%,96.3,23.5%,85.5, , , , ,6.9%,89.5, , , , , ,2022.0,2022-01-01
107,Corbin Burnes,MIL,7.1%,96.3,9.2%,88.4,55.3%,95.1,18.5%,81.7,9.9%,90.3, , , , , ,2022.0,2022-01-01
108,DL Hall,BAL,52.0%,96.3,21.6%,87.4, , ,5.9%,80.7,20.4%,85.1, , , , , ,2022.0,2022-01-01
109,Bryan Baker,BAL,56.1%,96.3,26.4%,87.4, , , , ,17.4%,84.1, , , , ,0.2%,2022.0,2022-01-01
110,Alex Lange,DET,31.7%,96.2, , , , ,48.8%,85.6,19.5%,89.8, , , , ,0.4%,2022.0,2022-01-01
111,Tony Santillan,CIN,49.5%,96.2,50.5%,86.5, , , , , , , , , , ,1.0%,2022.0,2022-01-01
112,Kyle Dowdy,CIN,37.9%,96.2,22.1%,91.1, , ,40.0%,81.4, , , , , , , ,2022.0,2022-01-01
113,Colin Holderman,- - -,50.2%,96.2,42.8%,87.4, , ,5.8%,82.8,1.2%,86.4, , , , ,0.9%,2022.0,2022-01-01
114,Brandon Woodruff,MIL,59.9%,96.2,11.2%,88.1, , ,12.6%,84.1,16.3%,86.2, , , , , ,2022.0,2022-01-01
115,Logan Gilbert,SEA,55.3%,96.2,24.2%,86.9, , ,12.5%,80.9,8.0%,86.2, , , , ,0.3%,2022.0,2022-01-01
116,Evan Phillips,LAD,28.3%,96.1,44.2%,85.4,27.5%,93.4, , , , , , , , ,0.4%,2022.0,2022-01-01
117,Joel Kuhnel,CIN,54.5%,96.1,30.1%,86.9, , , , ,15.4%,90.3, , , , ,0.4%,2022.0,2022-01-01
118,Trevor May,NYM,52.5%,96.1,26.5%,84.9, , , , ,21.1%,87.4, , , , , ,2022.0,2022-01-01
119,Anderson Severino,CHW,64.7%,96.1,15.8%,86.0, , ,9.0%,79.2,10.5%,86.0, , , , , ,2022.0,2022-01-01
120,Jesus Luzardo,MIA,47.4%,96.1,30.1%,83.8, , , , ,22.5%,87.3, , , , , ,2022.0,2022-01-01
121,Ray Kerr,SDP,40.9%,96.1,29.5%,89.0, , ,28.4%,81.5,1.1%,90.0, , , , , ,2022.0,2022-01-01
122,Johan Oviedo,- - -,43.5%,96.1,40.3%,85.7, , ,10.7%,78.4,5.5%,88.8, , , , , ,2022.0,2022-01-01
123,Jesus Tinoco,TEX,48.0%,96.1,43.7%,88.1, , ,7.4%,84.4,0.9%,90.0, , , , , ,2022.0,2022-01-01
124,Genesis Cabrera,STL,51.6%,96.1,1.0%,87.4, , ,29.6%,79.4,17.8%,90.2, , , , ,1.4%,2022.0,2022-01-01
125,Hansel Robles,BOS,50.5%,96.0,32.9%,88.8, , , , , , ,16.6%,90.3, , ,0.9%,2022.0,2022-01-01
126,Cole Waites,SFG,70.2%,96.0,29.8%,83.7, , , , , , , , , , , ,2022.0,2022-01-01
127,Shane Baz,TBR,40.1%,96.0,37.2%,87.7, , ,14.4%,82.4,8.3%,88.5, , , , , ,2022.0,2022-01-01
128,Collin Snider,KCR,48.7%,96.0,49.4%,86.4, , , , ,1.9%,89.6, , , , , ,2022.0,2022-01-01
129,Dauri Moreta,CIN,55.3%,96.0,24.0%,85.7, , , , ,20.7%,87.9, , , , ,0.7%,2022.0,2022-01-01
130,Hirokazu Sawamura,BOS,48.9%,96.0,13.7%,85.8, , , , , , ,37.4%,92.1, , ,1.2%,2022.0,2022-01-01
131,Ryan Brasier,BOS,55.7%,96.0,42.9%,85.6, , , , ,1.3%,88.0, , , , ,0.4%,2022.0,2022-01-01
132,Edward Cabrera,MIA,32.1%,96.0,15.4%,86.9, , ,20.7%,83.8,31.9%,92.5, , , , , ,2022.0,2022-01-01
133,Yoan Lopez,NYM,45.6%,96.0,48.2%,86.3, , , , , , ,6.2%,89.1, , ,1.0%,2022.0,2022-01-01
134,Jandel Gustave,MIL,63.5%,96.0,36.5%,86.3, , , , , , , , , , , ,2022.0,2022-01-01
135,Jon Gray,TEX,50.5%,96.0,36.1%,85.0, , ,4.1%,77.8,9.3%,88.7, , , , , ,2022.0,2022-01-01
136,Frankie Montas,- - -,50.6%,95.9,23.9%,88.1, , , , , , ,25.5%,86.4, , ,0.4%,2022.0,2022-01-01
137,Oliver Ortega,LAA,60.7%,95.9, , , , ,39.3%,82.3, , , , , , , ,2022.0,2022-01-01
138,Michael King,NYY,59.7%,95.9, , , , ,30.7%,82.4,9.7%,88.3, , , , ,1.0%,2022.0,2022-01-01
139,Reed Garrett,WSN,69.9%,95.9,21.9%,88.9, , , , , , ,8.2%,87.6, , ,2.0%,2022.0,2022-01-01
140,Blake Snell,SDP,55.5%,95.9,24.3%,88.9, , ,15.1%,81.5,5.0%,87.1, , , , , ,2022.0,2022-01-01
141,Sean Reid-Foley,NYM,46.9%,95.9,34.2%,86.2, , , , ,18.9%,87.6, , , , , ,2022.0,2022-01-01
142,Ian Gibaut,- - -,44.2%,95.9,22.2%,84.3,22.5%,92.4, , ,11.1%,85.9, , , , , ,2022.0,2022-01-01
143,Mason Thompson,WSN,74.7%,95.9,23.9%,84.5, , , , ,1.4%,88.2, , , , , ,2022.0,2022-01-01
144,Jake Brentz,KCR,61.3%,95.8,33.1%,84.8, , , , ,5.6%,91.1, , , , , ,2022.0,2022-01-01
145,Craig Kimbrel,LAD,68.5%,95.8, , , , ,31.5%,85.8, , , , , , ,0.7%,2022.0,2022-01-01
146,Yency Almonte,LAD,45.5%,95.8,47.9%,84.0, , , , ,6.7%,89.7, , , , ,0.9%,2022.0,2022-01-01
147,Zack Wheeler,PHI,59.5%,95.8,14.1%,89.9,12.7%,91.5,11.9%,81.3, , ,1.7%,89.5, , ,0.2%,2022.0,2022-01-01
148,Jordan Holloway,MIA,23.4%,95.8,61.7%,86.7, , ,14.9%,79.9, , , , , , , ,2022.0,2022-01-01
149,Drew Smith,NYM,52.6%,95.8,35.5%,85.4, , ,6.4%,77.8,5.5%,85.3, , , , , ,2022.0,2022-01-01
150,Jackson Kowar,KCR,46.6%,95.8,10.6%,82.9, , , , ,42.8%,85.8, , , , , ,2022.0,2022-01-01
151,Mike Baumann,BAL,48.3%,95.8,28.6%,91.5, , ,18.6%,84.1,4.5%,88.7, , , , , ,2022.0,2022-01-01
152,Joe Jimenez,DET,63.7%,95.8,30.8%,84.9, , , , ,5.4%,90.7, , , , , ,2022.0,2022-01-01
153,Nathan Eovaldi,BOS,38.4%,95.8,12.1%,86.0,9.9%,90.6,18.7%,78.4, , ,20.9%,87.9, , , ,2022.0,2022-01-01
154,Manuel Rodriguez,CHC,64.0%,95.8, , , , ,34.5%,87.3,1.5%,83.7, , , , , ,2022.0,2022-01-01
155,Garrett Cleavinger,- - -,54.2%,95.8,41.5%,82.8, , ,4.3%,76.9, , , , , , , ,2022.0,2022-01-01
156,Miguel Diaz,DET,55.4%,95.8,3.6%,86.5, , , , ,41.1%,89.1, , , , , ,2022.0,2022-01-01
157,Tylor Megill,NYM,57.0%,95.8,19.5%,85.7,0.1%,88.0,5.1%,81.5,18.3%,89.2, , , , , ,2022.0,2022-01-01
158,Sam Hentges,CLE,62.9%,95.8,15.9%,88.0, , ,21.2%,81.4, , , , , , ,0.4%,2022.0,2022-01-01
159,Lou Trivino,- - -,47.6%,95.7,23.7%,82.0,15.6%,92.4,2.4%,77.0,10.7%,87.4, , , , ,0.6%,2022.0,2022-01-01
160,Tyler Beede,- - -,46.8%,95.7,15.2%,88.0, , ,11.5%,79.1,26.5%,84.8, , , , ,0.6%,2022.0,2022-01-01
161,Patrick Murphy,WSN,69.0%,95.7, , , , ,31.0%,82.8, , , , , , , ,2022.0,2022-01-01
162,Jose Urena,- - -,59.4%,95.7,24.7%,86.8, , , , ,15.9%,90.3, , , , , ,2022.0,2022-01-01
163,Jake Cousins,MIL,43.1%,95.7,56.2%,82.9, , , , ,0.7%,89.5, , , , ,1.5%,2022.0,2022-01-01
164,Tommy Kahnle,LAD,23.0%,95.7,0.6%,87.0, , , , ,76.4%,89.8, , , , , ,2022.0,2022-01-01
165,Alexis Diaz,CIN,64.6%,95.7,35.4%,86.9, , , , , , , , , , ,1.1%,2022.0,2022-01-01
166,Aaron Ashby,MIL,37.3%,95.7,29.2%,83.6, , ,12.7%,79.7,20.8%,89.2, , , , , ,2022.0,2022-01-01
167,JC Mejia,MIL,64.4%,95.7,32.2%,84.1, , ,3.4%,81.5, , , , , , , ,2022.0,2022-01-01
168,Daniel Duarte,CIN,51.9%,95.7,42.9%,84.3, , ,3.9%,82.0,1.3%,90.0, , , , , ,2022.0,2022-01-01
169,Chad Smith,COL,66.2%,95.7,31.8%,85.2, , , , ,2.1%,90.3, , , , , ,2022.0,2022-01-01
170,Corey Knebel,PHI,69.8%,95.7,3.0%,79.7, , ,27.2%,78.7, , , , , , ,1.5%,2022.0,2022-01-01
171,Taylor Clarke,KCR,42.4%,95.7,36.2%,88.5, , , , ,21.4%,89.1, , , , , ,2022.0,2022-01-01
172,Emilio Pagan,MIN,51.7%,95.7,21.1%,85.7, , ,2.5%,80.2, , ,24.7%,88.4, , ,0.7%,2022.0,2022-01-01
173,Roansy Contreras,PIT,48.6%,95.6,34.3%,83.9, , ,14.3%,78.9,2.8%,89.7, , , , ,0.3%,2022.0,2022-01-01
174,Justin Topa,MIL,68.8%,95.6,27.2%,81.6, , , , ,4.0%,86.4, , , , ,3.2%,2022.0,2022-01-01
175,Jake Diekman,- - -,63.7%,95.6,35.1%,81.5, , , , ,1.2%,86.3, , , , ,0.6%,2022.0,2022-01-01
176,Carlos Rodon,SFG,61.2%,95.6,31.0%,85.5, , ,5.8%,79.9,2.0%,84.7, , , , , ,2022.0,2022-01-01
177,Cade Cavalli,WSN,42.4%,95.6,11.1%,89.6, , ,33.3%,84.9,13.1%,87.3, , , , , ,2022.0,2022-01-01
178,Jared Solomon,CIN,48.4%,95.6,50.3%,86.3, , , , ,1.3%,90.0, , , , , ,2022.0,2022-01-01
179,Dominic Leone,SFG,37.3%,95.6,35.7%,85.2,27.0%,91.4, , , , , , , , ,2.2%,2022.0,2022-01-01
180,Rico Garcia,BAL,61.8%,95.5, , , , ,16.2%,83.8,22.1%,86.4, , , , , ,2022.0,2022-01-01
181,Duane Underwood Jr.,PIT,37.1%,95.5, , ,27.7%,92.5,13.3%,82.7,21.9%,89.7, , , , ,0.4%,2022.0,2022-01-01
182,Shawn Armstrong,- - -,64.5%,95.5, , ,28.9%,92.3,6.6%,86.2, , , , , , ,0.8%,2022.0,2022-01-01
183,Wily Peralta,DET,49.4%,95.5,30.0%,83.7, , , , , , ,20.6%,82.6, , , ,2022.0,2022-01-01
184,Griffin Jax,MIN,33.7%,95.5,48.4%,86.5, , ,4.2%,82.7,13.7%,89.9, , , , ,0.9%,2022.0,2022-01-01
185,Drew Rasmussen,TBR,39.4%,95.5,23.6%,84.6,32.6%,90.3,4.4%,79.6, , , , , , ,0.0%,2022.0,2022-01-01
186,Wandy Peralta,NYY,41.9%,95.5,15.8%,87.7, , , , ,42.3%,88.6, , , , ,0.5%,2022.0,2022-01-01
187,Yohan Ramirez,- - -,67.7%,95.4,32.3%,82.7, , , , , , , , , , ,0.6%,2022.0,2022-01-01
188,German Marquez,COL,54.1%,95.4,20.0%,87.8, , ,23.1%,86.6,2.7%,87.7, , , , , ,2022.0,2022-01-01
189,Dinelson Lamet,- - -,46.0%,95.4,54.0%,86.3, , , , , , , , , , , ,2022.0,2022-01-01
