Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Year,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Adam Kolarek,No,25.95,62.85,-4.25,-0.1,-2.85,2021,4.149999999999999,13.449999999999996,-4.255,-0.0,-3.8
Adam Morgan,,31.225,52.875,0.0975,-0.075,14.025,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Oller,No,21.633333333333336,60.23333333333333,-3.0683333333333334,-0.1666666666666666,1.6666666666666667,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Ottavino,No,31.6,55.75,1.096666666666667,0.1,12.883333333333333,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Ottavino,No,32.75,59.91666666666666,1.8016666666666667,0.15,24.2,2022,1.1499999999999986,4.166666666666657,0.7049999999999998,0.04999999999999999,11.316666666666666
Adam Plutko,,21.74,52.34,-3.094,-0.1399999999999999,5.840000000000001,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Wainwright,No,29.883333333333336,63.85,4.608333333333333,0.65,15.116666666666667,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Wainwright,No,27.85,62.48333333333333,2.115,0.5000000000000001,11.066666666666668,2022,-2.033333333333335,-1.3666666666666742,-2.493333333333333,-0.1499999999999999,-4.049999999999999
Adbert Alzolay,No,28.28333333333333,64.38333333333334,0.2533333333333336,0.1666666666666666,17.8,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adbert Alzolay,No,31.6,75.0,0.93,0.5,32.7,2022,3.31666666666667,10.61666666666666,0.6766666666666665,0.33333333333333337,14.900000000000002
Adonis Medina,Yes,23.53333333333333,66.23333333333333,-1.2583333333333335,-0.0166666666666666,20.23333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adonis Medina,Yes,27.7,41.7,0.6,0.1,5.6,2021,4.166666666666668,-24.53333333333333,1.8583333333333334,0.11666666666666661,-14.633333333333331
Adrian Houser,No,23.9,57.86,-2.74,0.2,5.0200000000000005,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Houser,No,23.0,58.85,2.533333333333333,0.25,6.416666666666667,2021,-0.8999999999999986,0.990000000000002,5.273333333333333,0.04999999999999999,1.3966666666666665
Adrian Martinez,No,26.78,61.48,-2.992,-0.04,12.36,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Morejon,No,30.0,55.0,0.15,-0.2,5.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Morejon,No,23.925,60.6,0.5924999999999999,0.075,13.45,2022,-6.074999999999999,5.600000000000001,0.4424999999999999,0.275,8.45
Adrian Sampson,No,22.16,52.16,2.306,0.3,10.42,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adrian Sampson,No,21.9,53.85,1.325,-0.15,13.6,2021,-0.26000000000000156,1.6900000000000048,-0.9810000000000001,-0.44999999999999996,3.1799999999999997
Akeem Bostick,,28.6,75.0,0.44,0.0,-25.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Abreu,No,27.316666666666663,52.93333333333334,-0.7433333333333333,-0.0833333333333333,6.266666666666667,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Abreu,No,26.1,53.93333333333334,-0.5166666666666666,-0.0166666666666666,5.8,2022,-1.2166666666666615,1.0,0.22666666666666668,0.06666666666666671,-0.4666666666666668
Albert Almora Jr.,,17.9,33.3,-3.62,-0.1,-16.7,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Albert Pujols,No,18.5,42.9,-3.54,-0.1,-14.3,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alberto Baldonado,,24.7,61.2,-2.39,-0.2,10.2,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alcides Escobar,No,16.7,50.0,-1.2,0.0,-10.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alec Bettinger,,17.55,58.25,-4.95,-0.1,2.15,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alec Mills,No,19.700000000000003,59.75,-6.07,-0.25,29.25,2022,-0.0,-0.0,-0.0,-0.0,-0.0
