Name,Team,K-BB%
Julian Merryweather,TOR,12.35
Julio Urias,LAD,17.900000000000002
Junior Fernandez,STL,10.433333333333334
Junior Fernandez,PIT,-14.3
Justin Bruihl,LAD,6.575
Justin Dunn,CIN,-1.8500000000000005
Justin Grimm,OAK,10.35
Justin Lawrence,COL,12.74
Justin Steele,CHC,14.580000000000002
Justin Topa,MIL,0.0
Justin Verlander,HOU,24.383333333333336
Justin Wilson,CIN,53.8
Justus Sheffield,SEA,4.766666666666667
Kaleb Ort,BOS,8.6
Keegan Akin,BAL,17.166666666666668
Keegan Thompson,CHC,14.583333333333334
Ken Giles,SEA,8.35
Ken Waldichuk,OAK,15.8
Kendall Graveman,CHW,14.15
Kenley Jansen,ATL,23.933333333333334
Kenny Rosenberg,LAA,6.599999999999999
Kervin Castro,SFG,18.2
Kervin Castro,CHC,4.3
Kevin Gausman,TOR,24.78333333333333
Kevin Ginkel,ARI,15.399999999999999
Kevin Herget,TBR,13.3
Kevin Plawecki,BOS,0.0
Keynan Middleton,ARI,18.5
Kirby Snead,OAK,1.5833333333333333
Kirby Yates,ATL,6.25
Kirk McCarty,CLE,9.419999999999998
Kodi Whitley,STL,-3.2666666666666657
Kody Clemens,DET,-1.9000000000000001
Kohei Arihara,TEX,-0.25
Kolby Allard,TEX,12.86
Konnor Pilkington,CLE,9.02
Kris Bubic,KCR,6.116666666666667
Kutter Crawford,BOS,13.220000000000002
Kyle Barraclough,LAA,13.5
Kyle Bradish,BAL,15.183333333333332
Kyle Crick,CHW,20.099999999999998
Kyle Dowdy,CIN,0.0
Kyle Finnegan,WSN,17.650000000000002
Kyle Freeland,COL,10.35
Kyle Gibson,PHI,13.266666666666666
Kyle Hendricks,CHC,12.675
Kyle Muller,ATL,6.533333333333334
Kyle Nelson,ARI,11.35
Kyle Tyler,SDP,7.1
Kyle Wright,ATL,17.03333333333333
Lance Lynn,CHW,20.45
Lance McCullers Jr.,HOU,12.0
Liam Hendriks,CHW,28.666666666666668
Locke St. John,CHC,44.4
Logan Allen,CLE,10.0
Logan Allen,BAL,-10.0
Logan Gilbert,SEA,16.4
Logan Gillaspie,BAL,11.3
Logan Webb,SFG,14.933333333333332
Lou Trivino,NYY,13.2
Lou Trivino,OAK,18.725
Louie Varland,MIN,14.2
Louis Head,BAL,-3.7
Louis Head,MIA,9.166666666666666
Lucas Gilbreath,COL,10.2
Lucas Giolito,CHW,17.650000000000002
Lucas Luetge,NYY,16.7
Lucas Sims,CIN,-1.6999999999999997
Luis Castillo,CIN,18.03333333333333
