Name,Team,RE24
Jhoan Duran,MIN,2.9766666666666666
Jhon Romero,MIN,-0.76
Jhonathan Diaz,LAA,0.7250000000000001
Jhoulys Chacin,COL,-1.803333333333333
Jimmy Herget,LAA,2.6300000000000003
Jimmy Lambert,CHW,0.6060000000000001
Jimmy Yacabonis,MIA,-1.6149999999999998
Jimmy Yacabonis,TBR,-2.6
JoJo Romero,STL,0.8849999999999999
JoJo Romero,PHI,-2.05
Joan Adon,WSN,-5.15
Joe Barlow,TEX,-0.20999999999999996
Joe Jimenez,DET,-0.0050000000000000044
Joe Kelly,CHW,-1.2280000000000002
Joe Mantiply,ARI,0.6983333333333333
Joe Musgrove,SDP,3.28
Joe Ryan,MIN,1.1983333333333333
Joe Smith,MIN,-0.44200000000000006
Joel Kuhnel,CIN,-2.122
Joel Payamps,- - -,2.73
Joel Payamps,KCR,-0.9374999999999999
Joel Payamps,OAK,-2.29
Joely Rodriguez,NYM,-0.06166666666666668
Joey Krehbiel,BAL,-0.5016666666666667
Joey Wentz,DET,1.31
Johan Oviedo,PIT,4.35
Johan Oviedo,STL,0.525
John Brebbia,SFG,0.6633333333333332
John King,TEX,-0.5650000000000001
John Means,BAL,0.44
John Schreiber,BOS,2.0283333333333338
Johnny Cueto,CHW,1.388
Jon Gray,TEX,-0.37999999999999995
Jon Heasley,KCR,-3.496
Jonathan Hernandez,TEX,-0.59
Jonathan Loaisiga,NYY,0.5159999999999999
Jordan Hicks,STL,1.124
Jordan Holloway,MIA,0.39
Jordan Lyles,BAL,-1.36
Jordan Montgomery,STL,1.6400000000000001
Jordan Montgomery,NYY,1.0899999999999999
Jordan Romano,TOR,1.8516666666666666
Jordan Sheffield,COL,0.545
Jordan Weems,WSN,-1.524
Jorge Alcala,MIN,1.17
Jorge Lopez,MIN,-0.56
Jorge Lopez,BAL,2.1774999999999998
Jose Alvarado,PHI,0.6916666666666665
Jose Alvarez,SFG,-1.9500000000000002
Jose Berrios,TOR,-2.98
Jose Butto,NYM,-4.99
Jose Castillo,SDP,-0.54
Jose Cisnero,DET,2.033333333333333
Jose Cuas,KCR,-0.07599999999999998
Jose Leclerc,TEX,1.0924999999999998
Jose Marte,LAA,-0.5233333333333331
Jose Quijada,LAA,1.0433333333333332
Jose Quintana,STL,6.085
Jose Quintana,PIT,1.565
Jose Ruiz,CHW,-0.6883333333333334
Jose Suarez,LAA,0.07166666666666677
Jose Urena,MIL,-3.11
Jose Urena,COL,-0.93
Jose Urquidy,HOU,0.3716666666666668
Josh Fleming,TBR,-5.1875
Josh Hader,SDP,-3.4699999999999998
Josh Hader,MIL,0.4249999999999998
Josh Harrison,CHW,-1.5333333333333332
Josh Rogers,WSN,-1.04
Josh Sborz,TEX,-1.316
Josh Staumont,KCR,-1.318
Josh VanMeter,PIT,-5.755
Josh Winckowski,BOS,-1.9280000000000002
Josh Winder,MIN,-1.264
Josiah Gray,WSN,-2.0966666666666667
Jovani Moran,MIN,0.9540000000000001
Juan Minaya,MIN,-0.0433333333333333
Julian Merryweather,TOR,-2.6075
Julio Urias,LAD,5.148333333333333
Junior Fernandez,STL,-1.6766666666666667
Junior Fernandez,PIT,2.39
Justin Bruihl,LAD,0.02500000000000005
Justin Dunn,CIN,-2.73
Justin Grimm,OAK,-0.86
Justin Lawrence,COL,-0.2859999999999998
Justin Steele,CHC,1.4579999999999997
Justin Topa,MIL,-1.04
Justin Verlander,HOU,6.156666666666666
Justin Wilson,CIN,1.9
Justus Sheffield,SEA,0.19333333333333336
Kaleb Ort,BOS,-3.66
Keegan Akin,BAL,0.7133333333333335
Keegan Thompson,CHC,0.695
Ken Giles,SEA,0.875
Ken Waldichuk,OAK,-3.79
Kendall Graveman,CHW,-0.06999999999999999
Kenley Jansen,ATL,0.7933333333333333
Kenny Rosenberg,LAA,-0.06666666666666665
Kervin Castro,SFG,-3.41
Kervin Castro,CHC,-2.63
Kevin Gausman,TOR,2.2199999999999998
Kevin Ginkel,ARI,0.5650000000000002
Kevin Herget,TBR,-2.46
Kevin Plawecki,BOS,0.47
Keynan Middleton,ARI,-1.17
Kirby Snead,OAK,-1.8783333333333332
Kirby Yates,ATL,-0.7450000000000001
Kirk McCarty,CLE,-0.998
Kodi Whitley,STL,-1.2033333333333334
Kody Clemens,DET,0.08
Kohei Arihara,TEX,-6.575
Kolby Allard,TEX,-1.4
Konnor Pilkington,CLE,-0.442
Kris Bubic,KCR,-3.6033333333333335
Kutter Crawford,BOS,-1.7579999999999998
Kyle Barraclough,LAA,3.9
Kyle Bradish,BAL,-1.4583333333333333
Kyle Crick,CHW,0.5666666666666667
Kyle Dowdy,CIN,3.05
Kyle Finnegan,WSN,0.6666666666666666
Kyle Freeland,COL,0.46333333333333343
Kyle Gibson,PHI,-2.638333333333333
Kyle Hendricks,CHC,-1.2825
Kyle Muller,ATL,-0.91
Kyle Nelson,ARI,0.6283333333333333
Kyle Tyler,SDP,2.39
Kyle Wright,ATL,4.2749999999999995
Lance Lynn,CHW,-1.3375000000000006
Lance McCullers Jr.,HOU,5.07
Liam Hendriks,CHW,0.4216666666666667
Locke St. John,CHC,-2.02
Logan Allen,CLE,-1.99
Logan Allen,BAL,-1.73
Logan Gilbert,SEA,1.8299999999999998
Logan Gillaspie,BAL,-0.2649999999999999
Logan Webb,SFG,3.47
Lou Trivino,OAK,-2.9524999999999997
Lou Trivino,NYY,1.865
Louie Varland,MIN,2.04
Louis Head,BAL,-1.23
Louis Head,MIA,-3.043333333333333
Lucas Gilbreath,COL,-0.9959999999999998
Lucas Giolito,CHW,-1.9533333333333331
Lucas Luetge,NYY,0.6033333333333334
Lucas Sims,CIN,-0.175
Luis Castillo,CIN,4.64
Luis Castillo,SEA,1.855
Luis Castillo (DET),DET,1.415
Luis Cessa,CIN,-0.7783333333333334
Luis Frias,ARI,-1.785
Luis Garcia,HOU,0.47666666666666657
Luis Garcia (SDP),SDP,0.07666666666666659
Luis Gil,NYY,-2.12
Luis Gonzalez,SFG,-0.48666666666666664
Luis Ortiz,PIT,0.03
Luis Ortiz (SFG),SFG,2.54
Luis Patino,TBR,-1.9324999999999999
Luis Perdomo,MIL,2.115
Luis Severino,NYY,2.664
Luis Torrens,SEA,-0.56
Luke Bard,NYY,0.42
Luke Bard,TBR,1.6749999999999998
Luke Barker,MIL,-2.93
Luke Farrell,CHC,-0.33
Luke Farrell,- - -,-2.04
Luke Weaver,ARI,-1.7899999999999998
Luke Weaver,KCR,-3.11
MacKenzie Gore,SDP,0.06750000000000012
Madison Bumgarner,ARI,-2.8349999999999995
Manny Banuelos,NYY,0.56
Manny Banuelos,PIT,-0.63
Manuel Rodriguez,CHC,-0.6000000000000001
Marco Gonzales,SEA,-2.606666666666667
Marcos Diplan,BAL,-0.52
Marcus Stroman,CHC,1.6033333333333333
Mark Appel,PHI,1.07
Mark Leiter,CHC,-0.18000000000000002
Mark Melancon,ARI,-1.6433333333333335
Martin Perez,TEX,3.5683333333333334
Marwin Gonzalez,NYY,0.72
Mason Thompson,WSN,1.355
Matt Barnes,BOS,-0.20250000000000012
Matt Batten,SDP,-0.03500000000000003
Matt Brash,SEA,0.5840000000000002
Matt Bush,MIL,-1.625
Matt Bush,TEX,0.57
Matt Dermody,CHC,-1.55
Matt Foster,CHW,-0.4566666666666666
Matt Gage,TOR,1.7850000000000001
Matt Koch,SEA,-2.1
Matt Manning,DET,1.4866666666666666
Matt Moore,TEX,1.55
Matt Peacock,ARI,-1.6
Matt Peacock,KCR,-0.8099999999999999
Matt Reynolds,CIN,-2.67
Matt Strahm,BOS,0.013333333333333253
Matt Swarmer,CHC,-2.783333333333333
Matt Wisler,TBR,-0.136
Matthew Boyd,SEA,4.46
Matthew Festa,SEA,-0.49
Matthew Liberatore,STL,-1.1139999999999999
Mauricio Llovera,SFG,0.535
Max Castillo,KCR,-4.5
Max Castillo,TOR,0.755
Max Fried,ATL,6.868333333333333
Max Kranick,PIT,2.9
Max Meyer,MIA,-1.36
Max Scherzer,NYM,6.037999999999999
Max Schrock,CIN,-4.49
Merrill Kelly,ARI,3.9716666666666662
Michael A. Taylor,KCR,-1.01
Michael Feliz,BOS,-0.21
Michael Fulmer,MIN,-0.46
Michael Fulmer,DET,1.3725
Michael Fulmer,- - -,-1.93
Michael Grove,LAD,-1.81
Michael Kelly,PHI,0.5
Michael King,NYY,2.76
Michael Kopech,CHW,0.645
Michael Lorenzen,LAA,-0.028000000000000115
Michael Pineda,DET,-1.8250000000000002
Michael Plassmeyer,PHI,0.545
Michael Rucker,CHC,0.30666666666666664
Michael Wacha,BOS,2.416
Michel Baez,SDP,0.46
Miguel Castro,NYY,-0.29400000000000004
Miguel Diaz,DET,1.08
Miguel Sanchez,MIL,-0.9649999999999999
Miguel Yajure,PIT,-2.548
Mike Baumann,BAL,-0.4125
Mike Brosseau,MIL,0.9199999999999999
Mike Clevinger,SDP,0.5840000000000002
Mike Ford,ATL,-1.49
Mike Mayers,LAA,-2.8625
Mike Minor,CIN,-5.285
Miles Mikolas,STL,2.5866666666666664
Mitch Keller,PIT,0.3183333333333332
Mitch White,TOR,-8.15
Mitch White,LAD,0.765
Mychal Givens,NYM,-1.02
Mychal Givens,CHC,1.6300000000000001
Nabil Crismatt,SDP,0.2800000000000001
Nash Walters,LAA,-0.41
Nate Fisher,NYM,1.51
Nathan Eovaldi,BOS,0.16166666666666676
Nestor Cortes,NYY,5.253333333333333
Nicholas Padilla,CHC,-1.6
Nick Duron,PHI,0.51
Nick Gordon,MIN,-2.4766666666666666
Nick Lodolo,CIN,2.7375
Nick Martinez,SDP,0.39833333333333326
Nick Maton,PHI,-1.195
Nick Mears,PIT,0.85
Nick Neidert,MIA,0.32
Nick Nelson,PHI,-0.24
Nick Pivetta,BOS,-0.11833333333333333
Nick Sandlin,CLE,0.9383333333333335
Nick Vespi,BAL,-0.06800000000000002
Nick Wittgren,STL,-0.15666666666666673
Nicklaus Snyder,TEX,-1.38
Nicky Lopez,KCR,-1.5
Noah Davis,COL,-1.53
Noah Syndergaard,LAA,0.43749999999999994
Noah Syndergaard,PHI,0.565
Noe Ramirez,ARI,-1.0719999999999998
Norge Ruiz,OAK,-5.1850000000000005
Oliver Ortega,LAA,-0.6420000000000001
Oliver Perez,ARI,-6.01
Orlando Arcia,ATL,0.5
Pablo Lopez,MIA,1.795
Pablo Reyes,MIL,0.47
Packy Naughton,STL,-0.5566666666666665
Paolo Espino,WSN,-1.1483333333333332
Parker Markel,OAK,0.16999999999999998
Parker Mushinski,HOU,0.36
Patrick Corbin,WSN,-6.68
Patrick Murphy,WSN,-3.73
Patrick Sandoval,LAA,2.006666666666667
Paul Blackburn,OAK,-0.8719999999999999
