Name,PreviousF-Strike%,ActualF-Strike%,Difference,DifferenceRate
Daniel Duarte,,78.6,78.6,0
Daniel Hudson,,53.23333333,53.23333333,0
Daniel Lynch,,58.28333333,58.28333333,0
Daniel Mengden,,74.6,74.6,0
Danny Coulombe,,61.25,61.25,0
Dany Jimenez,,62.85,62.85,0
Darick Hall,,50,50,0
Darin Ruf,,85.7,85.7,0
Darren O'Day,,64.6,64.6,0
Darwinzon Hernandez,,48.6,48.6,0
Daulton Jefferies,,58.55,58.55,0
Dauri Moreta,,59.28333333,59.28333333,0
David Bednar,,59.88,59.88,0
David Peterson,,51.35,51.35,0
David Phelps,,60.55,60.55,0
David Price,,63.18333333,63.18333333,0
Davis Martin,,65.92,65.92,0
Dean Kremer,,65.225,65.225,0
Dee Strange-Gordon,,50,50,0
Dennis Santana,,51.56666667,51.56666667,0
Denyi Reyes,,61.9,61.9,0
Dereck Rodriguez,,56.85,56.85,0
Devin Smeltzer,,60.25,60.25,0
Devin Williams,,58.16666667,58.16666667,0
Diego Castillo,,55.58333333,55.58333333,0
Diego Castillo (PIT),,28.6,28.6,0
Dillon Peters,,60.98,60.98,0
Dillon Tate,,64.53333333,64.53333333,0
Domingo Acevedo,,58.55,58.55,0
Domingo German,,64.63333333,64.63333333,0
Domingo Tapia,,51.28,51.28,0
Dominic Leone,,60.06666667,60.06666667,0
Donovan Walton,,42.9,42.9,0
Drew Carlton,,55.75,55.75,0
Drew Hutchison,,62.5,62.5,0
Drew Rasmussen,,63.43333333,63.43333333,0
Drew Smith,,56.66,56.66,0
Drew Smyly,,67.82,67.82,0
Drew Steckenrider,,51.15,51.15,0
Drew VerHagen,,59.15,59.15,0
Drey Jameson,,58.2,58.2,0
Duane Underwood Jr.,,63.98333333,63.98333333,0
Dusten Knight,,60.3,60.3,0
Dustin May,,58.9,58.9,0
Dylan Bundy,,67.63333333,67.63333333,0
Dylan Cease,,58.13333333,58.13333333,0
Dylan Coleman,,54.13333333,54.13333333,0
Dylan Floro,,63.36,63.36,0
Dylan Lee,,61.42,61.42,0
Easton McGee,,57.1,57.1,0
Eduard Bazardo,,55.4,55.4,0
Eduardo Rodriguez,,63.725,63.725,0
Edward Cabrera,,55.86666667,55.86666667,0
Edwin Diaz,,71.48333333,71.48333333,0
Edwin Uceta,,57.42,57.42,0
Ehire Adrianza,,25,25,0
Eli Morgan,,69.55,69.55,0
Elieser Hernandez,,69.11666667,69.11666667,0
Elvin Rodriguez,,51.34,51.34,0
Elvis Peguero,,48.46666667,48.46666667,0
Emilio Pagan,,61.88333333,61.88333333,0
Emmanuel Clase,,63.2,63.2,0
Enoli Paredes,,64.25,64.25,0
Enyel De Los Santos,,68.51666667,68.51666667,0
Erasmo Ramirez,,65.73333333,65.73333333,0
Eric Lauer,,61.36666667,61.36666667,0
Erich Uelmen,,59.7,59.7,0
Erick Fedde,,61.41666667,61.41666667,0
Erik Swanson,,63.63333333,63.63333333,0
Ernie Clement,,55,55,0
Ethan Roberts,,50,50,0
Ethan Small,,46.1,46.1,0
Evan Lee,,55.8,55.8,0
Evan Phillips,,67.51666667,67.51666667,0
Felix Bautista,,60.33333333,60.33333333,0
Fernando Cruz,,56.3,56.3,0
Framber Valdez,,58.68333333,58.68333333,0
Francisco Morales,,66.8,66.8,0
Francisco Perez,,61.46666667,61.46666667,0
Frank German,,60.9,60.9,0
Frank Schwindel,,72.2,72.2,0
Franmil Reyes,,66.7,66.7,0
Freddy Peralta,,57.85,57.85,0
Freddy Tarnok,,100,100,0
Gabe Speier,,43.53333333,43.53333333,0
Garrett Hill,,60.5,60.5,0
Garrett Richards,,58.64,58.64,0
Garrett Stubbs,,59.73333333,59.73333333,0
Garrett Whitlock,,65.93333333,65.93333333,0
Gavin Hollowell,,46.9,46.9,0
Genesis Cabrera,,65.16,65.16,0
George Kirby,,67.6,67.6,0
Gerardo Reyes,,58.3,58.3,0
German Marquez,,64.96666667,64.96666667,0
Gerrit Cole,,60.96666667,60.96666667,0
Giovanny Gallegos,,67.4,67.4,0
Glenn Otto,,52.21666667,52.21666667,0
Graham Ashcraft,,58.28,58.28,0
Greg Holland,,60,60,0
Greg Weissert,,52,52,0
Gregory Santos,,77.5,77.5,0
Gregory Soto,,56.08333333,56.08333333,0
Griffin Jax,,64.41666667,64.41666667,0
Hansel Robles,,50.975,50.975,0
Hanser Alberto,,48.975,48.975,0
Harold Castro,,66.25,66.25,0
Hayden Wesneski,,62.9,62.9,0
Hector Neris,,59.3,59.3,0
Hirokazu Sawamura,,54.32,54.32,0
Hoby Milner,,55.75,55.75,0
Huascar Brazoban,,59.03333333,59.03333333,0
Huascar Ynoa,,54.1,54.1,0
Humberto Castellanos,,58.6,58.6,0
Hunter Brown,,63.8,63.8,0
Hunter Dozier,,83.3,83.3,0
Hunter Gaddis,,49.6,49.6,0
Hunter Greene,,63.8,63.8,0
Hunter Harvey,,58.475,58.475,0
Hunter Strickland,,61.13333333,61.13333333,0
Hyun-Jin Ryu,,59.1,59.1,0
Ian Anderson,,56.32,56.32,0
Ian Hamilton,,54.5,54.5,0
Ian Kennedy,,68.73333333,68.73333333,0
Ildemaro Vargas,,100,100,0
J.B. Wendelken,,48.025,48.025,0
J.P. Feyereisen,,66.63333333,66.63333333,0
JC Mejia,,56.3,56.3,0
JT Brubaker,,63.85,63.85,0
JT Chargois,,75.7,75.7,0
Jace Peterson,,100,100,0
Jack Flaherty,,55.35,55.35,0
Jack Mayfield,,75,75,0
Jackie Bradley Jr.,,42.9,42.9,0
Jackson Kowar,,55.96666667,55.96666667,0
Jackson Stephens,,59.08333333,59.08333333,0
Jackson Tetreault,,60.95,60.95,0
Jacob deGrom,,69.75,69.75,0
Jaime Barria,,68.3,68.3,0
Jake Bird,,54.375,54.375,0
Jake Brentz,,44.7,44.7,0
Jake Cousins,,58.6,58.6,0
Jake Fishman,,61.9,61.9,0
Jake Hager,,79.15,79.15,0
Jake Lemoine,,63.6,63.6,0
Jake Walsh,,46.7,46.7,0
Jake Woodford,,59.94,59.94,0
