Name,PreviousRE24,ActualRE24,Difference,DifferenceRate
Wade Miley,18.94,-2.29,-21.23,-1.120908131
Wandy Peralta,0.08,9.39,9.31,116.375
Will Vest,-4.77,-0.52,4.25,0.890985325
Willians Astudillo,1.17,1.02,-0.15,-0.128205128
Yency Almonte,-11.51,12.28,23.79,2.066898349
Yimi Garcia,-0.93,6.25,7.18,7.720430108
Yoan Lopez,-3.37,-2.73,0.64,0.189910979
Yusei Kikuchi,-2.47,-19.71,-17.24,-6.979757085
Zach Davies,-21.51,1.65,23.16,1.076708508
Zach Thompson,0.85,-15.63,-16.48,-19.38823529
Zack Greinke,3.74,2.21,-1.53,-0.409090909
