Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22
Camilo Doval,SFG,29.73333333333333,53.7,0.8066666666666666,0.2166666666666666,17.3,Reliever,No
Carl Edwards Jr.,WSN,26.860000000000003,61.74,1.964,0.02,11.98,Reliever,No
Carlos Carrasco,NYM,27.383333333333336,67.43333333333334,0.58,0.4166666666666667,17.666666666666668,Starter,No
Carlos Estevez,COL,21.066666666666663,60.86666666666667,0.53,0.0833333333333333,12.0,Reliever,No
Carlos Hernandez,KCR,24.72,58.56,-3.9820000000000007,-0.04,3.7,Reliever,No
Carlos Rodon,SFG,30.53333333333333,61.56666666666666,4.548333333333333,1.0666666666666669,26.683333333333334,Starter,No
Carson Kelly,ARI,15.175,57.725,-0.7925,-0.025,-6.35,Reliever,No
Casey Lawrence,TOR,22.7,75.225,-1.7625,-0.1,7.225,Reliever,No
Casey Mize,DET,21.9,57.8,-1.11,0.1,4.4,Reliever,No
Cesar Valdez,LAA,6.3,60.0,-2.72,0.0,0.0,Reliever,No
Chad Green,NYY,26.8,68.75,0.455,0.15,21.55,Reliever,No
Chad Kuhl,COL,25.766666666666666,60.48333333333333,-2.93,0.1333333333333333,8.35,Starter,No
Chad Pinder,OAK,15.4,42.9,-2.56,0.0,-28.6,Reliever,No
Chad Smith,COL,32.2,45.175,-2.715,-0.025,13.975,Reliever,No
Charlie Culberson,TEX,17.9,56.65,0.495,0.0,-10.0,Reliever,No
Charlie Morton,ATL,30.25,58.833333333333336,0.0283333333333332,0.2333333333333333,18.883333333333333,Starter,No
Chase Anderson,CIN,22.65,61.0,-2.055,0.0,4.5,Reliever,No
Chase De Jong,PIT,26.766666666666666,61.16666666666666,2.083333333333333,-0.0166666666666666,10.183333333333334,Reliever,No
Chase Silseth,LAA,27.866666666666664,63.1,-2.6933333333333334,-0.1,11.0,Reliever,No
Chasen Shreve,NYM,36.475,77.475,-2.1750000000000003,-0.05,38.25,Reliever,No
Chi Chi Gonzalez,- - -,26.5,68.8,-4.78,-0.2,9.4,Reliever,Yes
Chi Chi Gonzalez,MIL,29.3,53.3,-1.16,-0.1,13.3,Reliever,Yes
Chi Chi Gonzalez,NYY,24.7,75.0,0.85,0.1,0.0,Reliever,Yes
Chris Archer,MIN,25.21666666666667,56.083333333333336,-0.7200000000000001,0.0833333333333333,6.25,Starter,No
Chris Bassitt,NYM,29.416666666666668,61.46666666666667,2.25,0.4666666666666666,16.216666666666665,Starter,No
Chris Devenski,ARI,29.6,75.0,-0.855,0.0,20.45,Reliever,Yes
Chris Devenski,PHI,29.9,78.9,-2.02,0.0,15.8,Reliever,Yes
Chris Ellis,BAL,20.5,56.0,-2.77,-0.1,-16.0,Reliever,No
Chris Flexen,SEA,22.71666666666667,58.7,0.4299999999999999,0.1333333333333333,7.666666666666667,Starter,No
Chris Martin,LAD,31.35,84.6,5.195,0.6,35.7,Reliever,Yes
Chris Martin,CHC,26.675,72.0,0.2475,0.125,25.9,Reliever,Yes
Chris Mazza,TBR,20.7,57.1,-9.28,-0.5,-2.9,Reliever,No
Chris Owings,BAL,20.0,80.0,-0.52,0.0,0.0,Reliever,No
Chris Paddack,MIN,26.65,67.2,0.2749999999999999,0.4499999999999999,19.1,Reliever,No
Chris Sale,BOS,32.4,60.0,-0.61,0.2,16.0,Reliever,No
Chris Stratton,PIT,28.2,63.925,-2.565,0.1,13.2,Reliever,Yes
Chris Stratton,STL,26.05,55.35,1.965,0.1,11.3,Reliever,Yes
Christian Bethancourt,TBR,30.95,85.0,0.2049999999999999,0.0,5.0,Reliever,Yes
Christian Bethancourt,OAK,8.3,50.0,0.53,0.0,-25.0,Reliever,Yes
Cionel Perez,BAL,28.05,60.866666666666674,2.231666666666667,0.1333333333333333,14.516666666666666,Reliever,No
Clarke Schmidt,NYY,29.53333333333333,56.13333333333333,0.7583333333333333,0.0333333333333333,13.2,Reliever,No
Clay Holmes,NYY,30.366666666666664,54.6,1.3416666666666668,0.1833333333333333,16.933333333333334,Reliever,No
Clayton Kershaw,LAD,29.516666666666666,66.36666666666666,4.376666666666667,0.6666666666666666,19.98333333333333,Starter,No
Cody Morris,CLE,25.2,63.0,3.31,0.1,11.0,Reliever,No
Cody Poteet,MIA,26.166666666666668,56.0,-0.6633333333333332,0.0,9.0,Reliever,No
Cody Sedlock,BAL,28.2,62.5,-2.96,0.0,12.5,Reliever,No
Cody Stashak,MIN,30.35,63.1,-1.155,0.2,24.0,Reliever,No
Cole Irvin,OAK,25.45,66.01666666666667,-0.555,0.2666666666666666,12.3,Starter,No
Cole Ragans,TEX,22.25,60.05,-2.29,0.15,5.9,Reliever,No
Cole Sands,MIN,25.5,56.575,-1.53,-0.025,11.6,Reliever,No
Cole Sulser,MIA,28.7,63.28,-0.408,0.0,15.24,Reliever,No
Cole Waites,SFG,22.1,72.0,0.18,-0.1,0.0,Reliever,No
Colin Holderman,PIT,17.8,60.8,-2.13,-0.1,-2.0,Reliever,Yes
Colin Holderman,NYM,28.46666666666667,60.833333333333336,1.1266666666666667,0.1333333333333333,11.4,Reliever,Yes
Colin Poche,TBR,25.23333333333333,54.75,-0.5199999999999999,-0.0666666666666666,15.5,Reliever,No
Collin McHugh,ATL,28.9,64.91666666666667,3.0033333333333334,0.2333333333333333,23.0,Reliever,No
Collin Snider,KCR,25.16,50.7,-0.324,-0.02,4.339999999999999,Reliever,No
Collin Wiles,OAK,27.9,58.5,-0.9,0.0,17.1,Reliever,No
Conner Menez,CHC,20.8,20.0,0.25,0.0,20.0,Reliever,No
Connor Brogdon,PHI,29.83333333333333,64.88333333333333,0.5933333333333334,0.0999999999999999,20.58333333333333,Reliever,No
Connor Overton,CIN,24.9,63.86666666666667,2.84,0.2333333333333333,2.7999999999999994,Reliever,No
Connor Sadzeck,MIL,22.9,69.2,-1.55,-0.1,7.7,Reliever,No
Connor Seabold,BOS,26.133333333333336,61.26666666666667,-4.786666666666666,-0.0666666666666666,12.633333333333333,Reliever,No
Cooper Criswell,TBR,37.8,84.6,0.01,0.1,23.1,Reliever,No
Corbin Burnes,MIL,32.31666666666667,57.41666666666666,4.621666666666666,0.75,24.383333333333336,Starter,No
Corbin Martin,ARI,24.933333333333334,58.7,-0.5366666666666667,-0.0333333333333333,5.666666666666667,Reliever,No
Corey Dickerson,STL,11.1,66.7,0.47,0.0,-16.7,Reliever,No
Corey Kluber,TBR,29.666666666666668,67.68333333333334,-1.54,0.5166666666666667,17.216666666666665,Starter,No
Corey Knebel,PHI,26.68,56.620000000000005,-0.1139999999999998,-0.02,6.42,Reliever,No
Cory Abbott,WSN,27.175,52.475,-1.295,-0.1,19.75,Reliever,No
Craig Kimbrel,LAD,29.933333333333334,63.63333333333333,-0.7816666666666667,0.1333333333333333,18.066666666666663,Reliever,No
Craig Stammen,SDP,28.18,59.260000000000005,-1.406,-0.06,16.080000000000002,Reliever,No
Cristian Javier,HOU,28.2,55.13333333333333,3.9583333333333335,0.5833333333333334,24.5,Starter,No
Cristofer Ogando,TBR,28.25,64.6,-0.015,0.0,5.55,Reliever,No
Cristopher Sanchez,PHI,25.75,56.26666666666666,-0.6333333333333332,-0.0166666666666666,12.433333333333332,Reliever,No
DL Hall,BAL,29.450000000000003,52.6,-2.83,0.2,19.0,Reliever,No
Dakota Hudson,STL,22.933333333333334,59.3,-0.3683333333333334,0.15,2.8666666666666667,Starter,No
Dallas Keuchel,ARI,25.35,48.8,-5.68,0.0,14.3,Starter,Yes
Dallas Keuchel,CHW,23.1,57.2,-9.49,-0.15,0.3999999999999999,Starter,Yes
Dallas Keuchel,TEX,26.75,67.15,-4.195,0.05,6.5,Starter,Yes
