Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Brendon Little,,-16.7,-16.7,0
Brennan Bernardino,,-21.65,-21.65,0
Brent Suter,,11.2,11.2,0
Brett Martin,,9.183333333,9.183333333,0
Brett Phillips,,-6.666666667,-6.666666667,0
Brian Moran,,-20,-20,0
Brian Serven,,-33.3,-33.3,0
Brock Burke,,20.23333333,20.23333333,0
Brooks Raley,,20.6,20.6,0
Bruce Zimmermann,,8.82,8.82,0
Brusdar Graterol,,18.55,18.55,0
Bryan Abreu,,25.9,25.9,0
Bryan Baker,,17.76666667,17.76666667,0
Bryan Garcia,,8.666666667,8.666666667,0
Bryan Hoeing,,2,2,0
Bryan Shaw,,9.466666667,9.466666667,0
Bryce Elder,,12.4,12.4,0
Bryce Montes de Oca,,21.1,21.1,0
Bryse Wilson,,8.783333333,8.783333333,0
Bubby Rossman,,0,0,0
Buck Farmer,,13.58,13.58,0
Cade Cavalli,,17.4,17.4,0
Cal Quantrill,,9.766666667,9.766666667,0
Caleb Ferguson,,10.58,10.58,0
Caleb Kilian,,-5.4,-5.4,0
Caleb Smith,,7.466666667,7.466666667,0
Caleb Thielbar,,24.71666667,24.71666667,0
Calvin Faucher,,6.15,6.15,0
Cam Alldred,,25,25,0
Cam Vieaux,,17.73333333,17.73333333,0
Camilo Doval,,17.3,17.3,0
Carl Edwards Jr.,,11.98,11.98,0
Carlos Carrasco,,17.66666667,17.66666667,0
Carlos Estevez,,12,12,0
Carlos Hernandez,,3.7,3.7,0
Carlos Rodon,,26.68333333,26.68333333,0
Carson Kelly,,-6.35,-6.35,0
Casey Lawrence,,7.225,7.225,0
Casey Mize,,4.4,4.4,0
Cesar Valdez,,0,0,0
Chad Green,,21.55,21.55,0
Chad Kuhl,,8.35,8.35,0
Chad Pinder,,-28.6,-28.6,0
Chad Smith,,13.975,13.975,0
Charlie Culberson,,-10,-10,0
Charlie Morton,,18.88333333,18.88333333,0
Chase Anderson,,4.5,4.5,0
Chase De Jong,,10.18333333,10.18333333,0
Chase Silseth,,11,11,0
Chasen Shreve,,38.25,38.25,0
Chris Archer,,6.25,6.25,0
Chris Bassitt,,16.21666667,16.21666667,0
Chris Ellis,,-16,-16,0
Chris Flexen,,7.666666667,7.666666667,0
Chris Mazza,,-2.9,-2.9,0
