Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Joe Ryan,2022,MIN,27.30%,64.40%,7.18,17.20%,2.1,Starter,No
Joe Smith,2021,- - -,27.20%,65.30%,-9.42,15.00%,0.4,Reliever,No
Joe Smith,2022,MIN,22.90%,65.60%,-2.22,6.60%,-0.9,Reliever,No
Joel Payamps,2021,- - -,25.50%,57.10%,4.36,11.70%,0.4,Reliever,No
Joel Payamps,2022,- - -,24.70%,52.70%,-3.31,10.40%,0.2,Reliever,No
Joely Rodriguez,2021,- - -,30.10%,57.00%,-3.03,14.00%,0.6,Reliever,No
Joely Rodriguez,2022,NYM,31.80%,64.80%,-0.36,14.40%,0.4,Reliever,No
Joey Krehbiel,2021,- - -,22.60%,52.90%,0.42,5.90%,0,Reliever,No
Joey Krehbiel,2022,BAL,25.80%,53.70%,-3.01,11.10%,-0.3,Reliever,No
Johan Oviedo,2021,STL,26.70%,57.60%,-10.55,4.90%,-0.1,Reliever,No
Johan Oviedo,2022,- - -,27.70%,59.90%,5.4,12.80%,0.7,Reliever,No
John Brebbia,2021,SFG,26.50%,71.30%,-7.54,20.70%,-0.1,Reliever,No
John Brebbia,2022,SFG,26.10%,68.80%,3.98,12.50%,0.9,Reliever,No
John King,2021,TEX,28.30%,61.10%,2.18,14.50%,0.6,Reliever,No
John King,2022,TEX,25.00%,59.50%,-3.4,7.20%,0,Reliever,No
John Means,2021,BAL,26.80%,69.30%,12.58,18.30%,2.5,Reliever,No
John Means,2022,BAL,22.20%,52.90%,0.44,14.70%,0.3,Reliever,No
John Schreiber,2021,BOS,28.60%,61.50%,-0.52,30.80%,0.1,Reliever,No
John Schreiber,2022,BOS,30.30%,55.60%,12.16,21.40%,1.7,Reliever,No
Johnny Cueto,2021,SFG,24.30%,65.50%,-5.85,13.90%,1.5,Starter,Yes
Johnny Cueto,2022,CHW,23.30%,66.70%,6.94,10.60%,2.4,Starter,Yes
Jon Gray,2021,COL,28.80%,64.30%,5.82,15.40%,2.3,Starter,Yes
Jon Gray,2022,TEX,29.30%,67.40%,-2.29,18.20%,1.8,Starter,Yes
Jon Heasley,2021,KCR,20.00%,64.40%,0.43,5.10%,0,Starter,No
Jon Heasley,2022,KCR,22.50%,55.70%,-17.49,4.90%,-0.5,Starter,No
Jonathan Loaisiga,2021,NYY,28.80%,61.10%,21.33,18.70%,2.4,Reliever,No
Jonathan Loaisiga,2022,NYY,26.80%,61.60%,2.58,8.90%,0.4,Reliever,No
Jordan Hicks,2021,STL,23.70%,43.20%,0.2,0.00%,0,Reliever,No
Jordan Hicks,2022,STL,27.20%,58.20%,5.61,10.60%,0.3,Reliever,No
Jordan Holloway,2021,MIA,29.50%,57.00%,-1.17,6.30%,0.1,Reliever,No
Jordan Holloway,2022,MIA,29.80%,72.70%,0.39,9.10%,0,Reliever,No
Jordan Lyles,2021,TEX,26.30%,59.30%,-10.97,11.70%,0.1,Starter,Yes
Jordan Lyles,2022,BAL,26.40%,61.40%,-8.17,11.90%,1.4,Starter,Yes
Jordan Montgomery,2021,NYY,28.40%,66.90%,6.91,16.80%,3.2,Starter,No
Jordan Montgomery,2022,- - -,28.60%,65.70%,7.64,16.90%,2.7,Starter,No
Jordan Romano,2021,TOR,29.90%,66.80%,15.76,23.70%,1.2,Reliever,No
Jordan Romano,2022,TOR,30.60%,69.00%,11.11,20.20%,1.6,Reliever,No
Jordan Sheffield,2021,COL,25.00%,56.00%,6.87,6.00%,0.2,Reliever,No
Jordan Sheffield,2022,COL,18.90%,12.50%,1.09,-12.50%,0,Reliever,No
Jordan Weems,2021,- - -,21.60%,46.70%,-6.53,3.30%,-0.2,Reliever,No
Jordan Weems,2022,WSN,24.50%,55.40%,-7.61,17.50%,0.1,Reliever,No
Jorge Alcala,2021,MIN,28.70%,64.60%,4.96,21.00%,0.2,Reliever,No
Jorge Alcala,2022,MIN,30.00%,60.00%,1.17,0.00%,0,Reliever,No
Jorge Lopez,2021,BAL,26.40%,56.60%,-16.66,10.10%,0.8,Reliever,No
Jorge Lopez,2022,- - -,29.70%,62.10%,7.6,13.80%,0.8,Reliever,No
Jose Alvarado,2021,PHI,31.60%,51.00%,2.95,8.40%,-0.3,Reliever,No
Jose Alvarado,2022,PHI,32.30%,60.70%,4.16,26.60%,1.7,Reliever,No
Jose Alvarez,2021,SFG,27.70%,69.20%,7.56,8.60%,1,Reliever,No
Jose Alvarez,2022,SFG,25.60%,51.30%,-5.85,7.90%,-0.4,Reliever,No
Jose Berrios,2021,- - -,29.00%,64.50%,21.99,20.40%,4,Starter,No
Jose Berrios,2022,TOR,27.70%,66.00%,-17.87,13.80%,1.1,Starter,No
Jose Cisnero,2021,DET,26.60%,52.50%,-1.99,11.70%,0.5,Reliever,No
Jose Cisnero,2022,DET,27.40%,53.30%,6.1,3.80%,0.1,Reliever,No
Jose Marte,2021,LAA,22.60%,16.70%,-3.42,11.10%,0,Reliever,No
Jose Marte,2022,LAA,24.90%,53.40%,-1.57,-5.20%,-0.3,Reliever,No
Jose Quijada,2021,LAA,29.70%,57.30%,5.96,20.90%,0.5,Reliever,No
Jose Quijada,2022,LAA,28.20%,61.50%,6.26,18.30%,0.5,Reliever,No
Jose Quintana,2021,- - -,27.40%,59.90%,-14.33,16.80%,0.4,Starter,No
Jose Quintana,2022,- - -,25.30%,61.40%,18.43,13.30%,4,Starter,No
Jose Ruiz,2021,CHW,27.70%,59.80%,-2.82,14.00%,0.5,Reliever,No
Jose Ruiz,2022,CHW,26.70%,56.20%,-4.13,13.20%,-0.1,Reliever,No
Jose Suarez,2021,LAA,27.60%,60.00%,6.17,11.90%,1.3,Starter,No
Jose Suarez,2022,LAA,27.00%,64.50%,0.43,15.20%,1.6,Starter,No
Jose Urena,2021,DET,23.80%,55.50%,-18.39,5.50%,0.3,Starter,No
Jose Urena,2022,- - -,22.60%,58.30%,-5.9,4.60%,0.8,Starter,No
Jose Urquidy,2021,HOU,28.40%,64.30%,11.71,16.80%,1.8,Starter,No
Jose Urquidy,2022,HOU,25.80%,65.30%,2.23,14.10%,1.1,Starter,No
Josh Fleming,2021,TBR,23.80%,61.60%,-8.43,7.60%,0.6,Reliever,No
Josh Fleming,2022,TBR,27.30%,65.70%,-20.76,10.10%,-0.1,Reliever,No
Josh Hader,2021,MIL,35.70%,60.30%,21.82,34.80%,2.6,Reliever,No
Josh Hader,2022,- - -,31.90%,52.50%,-5.25,27.40%,0.8,Reliever,No
Josh Rogers,2021,WSN,24.40%,63.60%,4.72,5.30%,0,Reliever,No
Josh Rogers,2022,WSN,21.20%,60.20%,-3.13,0.90%,-0.3,Reliever,No
Josh Sborz,2021,TEX,28.10%,58.40%,0.37,14.40%,0.3,Reliever,No
Josh Sborz,2022,TEX,31.30%,60.00%,-6.58,21.00%,0.1,Reliever,No
Josh Staumont,2021,KCR,28.80%,58.00%,14.26,17.00%,1,Reliever,No
Josh Staumont,2022,KCR,25.90%,54.00%,-6.59,8.00%,0.1,Reliever,No
Josiah Gray,2021,- - -,28.50%,63.50%,-7.53,14.00%,0,Starter,No
Josiah Gray,2022,WSN,27.90%,57.80%,-12.58,13.60%,-0.6,Starter,No
Jovani Moran,2021,MIN,25.90%,63.20%,-3.55,7.90%,0.1,Reliever,No
Jovani Moran,2022,MIN,32.00%,56.10%,4.75,22.00%,0.9,Reliever,No
Juan Minaya,2021,MIN,23.80%,54.50%,7.86,13.80%,0.2,Reliever,No
Juan Minaya,2022,MIN,29.90%,62.20%,-0.13,13.30%,0.1,Reliever,No
Julian Merryweather,2021,TOR,30.00%,63.60%,-1.36,14.50%,-0.3,Reliever,No
Julian Merryweather,2022,TOR,27.60%,68.10%,-10.44,13.40%,0.1,Reliever,No
Julio Urias,2021,LAD,29.80%,70.70%,25.59,21.10%,5,Starter,No
Julio Urias,2022,LAD,28.20%,66.60%,30.89,18.10%,3.2,Starter,No
Junior Fernandez,2021,STL,24.70%,60.80%,-3.54,0.00%,-0.1,Reliever,No
Junior Fernandez,2022,- - -,25.80%,65.50%,-2.64,2.40%,-0.3,Reliever,No
Justin Bruihl,2021,LAD,23.50%,74.00%,4.34,5.50%,0.2,Reliever,No
Justin Bruihl,2022,LAD,23.20%,62.00%,0.09,7.00%,-0.3,Reliever,No
Justin Dunn,2021,SEA,25.40%,55.50%,3.94,9.20%,0.5,Reliever,No
Justin Dunn,2022,CIN,26.50%,56.50%,-5.46,2.90%,-0.7,Reliever,No
Justin Lawrence,2021,COL,27.30%,55.80%,-8.95,-2.30%,0,Reliever,No
Justin Lawrence,2022,COL,29.20%,61.30%,-1.42,13.60%,0.6,Reliever,No
Justin Steele,2021,CHC,28.60%,57.70%,3.34,12.90%,-0.2,Starter,No
Justin Steele,2022,CHC,26.00%,59.80%,7.28,14.80%,2.6,Starter,No
Justin Topa,2021,MIL,27.30%,91.30%,-8.32,0.00%,-0.2,Reliever,No
Justin Topa,2022,MIL,24.80%,60.00%,-1.04,0.00%,0,Reliever,No
Justin Wilson,2021,- - -,25.50%,55.70%,-3.72,8.70%,-0.2,Reliever,No
Justin Wilson,2022,CIN,40.70%,61.50%,1.9,53.80%,0.2,Reliever,No
Justus Sheffield,2021,SEA,25.20%,62.30%,-29.27,5.20%,-0.3,Reliever,No
Justus Sheffield,2022,SEA,22.30%,54.90%,0.58,2.00%,-0.1,Reliever,No
Kaleb Ort,2021,BOS,16.70%,33.30%,-0.4,-33.30%,0,Reliever,No
Kaleb Ort,2022,BOS,28.00%,60.40%,-10.98,9.00%,-0.1,Reliever,No
Keegan Akin,2021,BAL,26.00%,63.00%,-14.39,9.80%,0.6,Reliever,No
Keegan Akin,2022,BAL,29.00%,63.20%,4.28,17.30%,0.5,Reliever,No
Keegan Thompson,2021,CHC,25.90%,58.40%,1.73,9.90%,-0.3,Starter,No
Keegan Thompson,2022,CHC,26.80%,57.30%,4.18,13.40%,0.8,Starter,No
Kendall Graveman,2021,- - -,28.60%,59.00%,11.55,18.50%,1.1,Reliever,No
Kendall Graveman,2022,CHW,29.30%,60.00%,-0.41,14.00%,0.7,Reliever,No
Kenley Jansen,2021,LAD,31.70%,61.90%,14.74,18.00%,1.8,Reliever,No
Kenley Jansen,2022,ATL,29.90%,68.50%,4.76,24.20%,1.1,Reliever,No
Kervin Castro,2021,SFG,32.80%,50.00%,6.09,16.10%,0.4,Reliever,No
Kervin Castro,2022,- - -,26.80%,59.60%,-6.04,7.00%,-0.2,Reliever,No
Kevin Gausman,2021,SFG,31.00%,63.50%,29.37,22.80%,4.8,Starter,Yes
Kevin Gausman,2022,TOR,29.80%,68.00%,13.31,24.40%,5.7,Starter,Yes
Kevin Ginkel,2021,ARI,25.40%,51.90%,-10.19,13.20%,-0.4,Reliever,No
Kevin Ginkel,2022,ARI,31.10%,66.90%,1.13,15.30%,0.5,Reliever,No
Kevin Plawecki,2021,BOS,11.10%,66.70%,0.57,0.00%,0,Reliever,No
Kevin Plawecki,2022,BOS,11.10%,50.00%,0.47,0.00%,0,Reliever,No
Keynan Middleton,2021,SEA,25.80%,61.40%,-5.94,3.60%,0,Reliever,No
Keynan Middleton,2022,ARI,33.20%,63.80%,-3.51,17.40%,-0.3,Reliever,No
Kirby Snead,2021,TOR,31.50%,73.30%,3.18,16.70%,0.1,Reliever,No
Kirby Snead,2022,OAK,27.30%,62.90%,-11.27,6.20%,-0.3,Reliever,No
Kodi Whitley,2021,STL,25.90%,60.40%,5.72,14.90%,0.4,Reliever,No
Kodi Whitley,2022,STL,27.20%,61.00%,-3.61,5.10%,-0.2,Reliever,No
Kohei Arihara,2021,TEX,25.30%,52.20%,-12.37,6.20%,-0.6,Reliever,No
Kohei Arihara,2022,TEX,22.30%,57.40%,-13.15,2.80%,-0.3,Reliever,No
Kolby Allard,2021,TEX,25.70%,60.50%,-18.2,13.70%,-0.2,Reliever,No
Kolby Allard,2022,TEX,29.10%,64.40%,-7,14.90%,-0.7,Reliever,No
Kris Bubic,2021,KCR,26.90%,55.40%,1.68,9.90%,0.3,Starter,No
Kris Bubic,2022,KCR,24.90%,59.10%,-21.62,8.00%,0.5,Starter,No
Kutter Crawford,2021,BOS,29.80%,69.20%,-3.26,0.00%,-0.1,Starter,No
Kutter Crawford,2022,BOS,27.50%,61.40%,-8.79,14.40%,0.5,Starter,No
Kyle Barraclough,2021,MIN,29.50%,55.00%,-1.84,16.70%,-0.3,Reliever,No
Kyle Barraclough,2022,LAA,30.90%,59.50%,3.9,13.50%,0.2,Reliever,No
Kyle Crick,2021,PIT,26.70%,60.70%,2.24,1.90%,0,Reliever,No
Kyle Crick,2022,CHW,31.50%,56.10%,1.7,12.10%,0.1,Reliever,No
Kyle Finnegan,2021,WSN,27.60%,63.90%,-13.13,11.60%,0.1,Reliever,No
Kyle Finnegan,2022,WSN,28.70%,61.60%,4.01,17.90%,0.6,Reliever,No
Kyle Freeland,2021,COL,26.60%,60.40%,10.67,13.00%,1.5,Starter,No
Kyle Freeland,2022,COL,24.90%,61.90%,2.79,10.20%,2.6,Starter,No
Kyle Gibson,2021,- - -,27.00%,59.30%,16.57,12.10%,3,Starter,No
Kyle Gibson,2022,PHI,26.20%,58.90%,-15.84,13.40%,1.8,Starter,No
Kyle Hendricks,2021,CHC,27.50%,67.80%,-4.29,11.10%,1.1,Starter,No
Kyle Hendricks,2022,CHC,28.30%,62.90%,-5.13,11.80%,0.4,Starter,No
Kyle Muller,2021,ATL,29.00%,48.40%,3.24,11.00%,0.7,Reliever,No
Kyle Muller,2022,ATL,27.90%,62.70%,-2.73,6.80%,0,Reliever,No
Kyle Nelson,2021,CLE,31.30%,61.20%,-6.33,0.00%,0,Reliever,No
Kyle Nelson,2022,ARI,26.00%,57.60%,3.77,10.60%,0.4,Reliever,No
Kyle Tyler,2021,LAA,21.10%,42.30%,1.46,0.00%,-0.1,Reliever,No
Kyle Tyler,2022,SDP,25.00%,57.10%,2.39,7.10%,0,Reliever,No
Kyle Wright,2021,ATL,27.80%,54.30%,-4.06,2.90%,-0.3,Starter,No
Kyle Wright,2022,ATL,29.70%,64.60%,25.65,16.40%,2.9,Starter,No
Lance Lynn,2021,CHW,25.70%,58.50%,28.97,20.40%,4.2,Starter,No
Lance Lynn,2022,CHW,26.70%,65.40%,-5.34,20.50%,1.9,Starter,No
Lance McCullers Jr.,2021,HOU,31.40%,55.60%,28,15.90%,3.2,Reliever,No
Lance McCullers Jr.,2022,HOU,29.00%,53.80%,10.14,14.40%,0.8,Reliever,No
Liam Hendriks,2021,CHW,29.50%,70.80%,17.41,39.70%,2.7,Reliever,No
Liam Hendriks,2022,CHW,32.80%,63.40%,2.54,29.40%,1.6,Reliever,No
Logan Allen,2021,CLE,24.50%,55.90%,-10.3,9.00%,-0.4,Reliever,No
Logan Allen,2022,- - -,26.80%,50.00%,-3.72,5.00%,0.1,Reliever,No
Logan Gilbert,2021,SEA,25.90%,62.20%,-1.47,19.90%,2.2,Starter,No
Logan Gilbert,2022,SEA,25.10%,63.70%,10.97,16.30%,3.2,Starter,No
Logan Webb,2021,SFG,30.90%,66.60%,22.04,20.50%,4.1,Starter,No
Logan Webb,2022,SFG,29.30%,65.30%,20.82,14.50%,4.2,Starter,No
Lou Trivino,2021,OAK,26.00%,59.00%,10.05,10.60%,0.6,Reliever,No
Lou Trivino,2022,- - -,27.60%,56.00%,-8.08,17.20%,0.2,Reliever,No
Louis Head,2021,TBR,25.60%,59.00%,8.99,17.20%,0.5,Reliever,No
Louis Head,2022,- - -,23.80%,53.60%,-10.37,8.00%,-0.2,Reliever,No
Lucas Gilbreath,2021,COL,28.50%,54.10%,6.31,11.40%,0.2,Reliever,No
Lucas Gilbreath,2022,COL,28.10%,59.40%,-4.98,12.30%,0.6,Reliever,No
Lucas Giolito,2021,CHW,29.80%,59.90%,18.59,20.70%,4.1,Starter,No
Lucas Giolito,2022,CHW,29.10%,61.30%,-11.72,16.60%,1.8,Starter,No
Lucas Luetge,2021,NYY,25.10%,58.10%,1.23,20.90%,1.4,Reliever,No
Lucas Luetge,2022,NYY,28.50%,58.20%,3.63,17.10%,0.9,Reliever,No
Lucas Sims,2021,CIN,34.60%,57.40%,1.95,29.70%,1.3,Reliever,No
Lucas Sims,2022,CIN,25.60%,61.30%,-0.35,-3.20%,0,Reliever,No
Luis Castillo,2021,CIN,27.60%,59.50%,8.19,14.60%,3.8,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,17.63,28.60%,3.7,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,17.63,28.60%,0.1,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,17.63,19.80%,3.7,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,17.63,19.80%,0.1,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,2.83,28.60%,3.7,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,2.83,28.60%,0.1,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,2.83,19.80%,3.7,Starter,No
Luis Castillo,2022,- - -,28.40%,61.00%,2.83,19.80%,0.1,Starter,No
Luis Castillo (DET),2022,DET,23.30%,50.00%,17.63,28.60%,3.7,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,17.63,28.60%,0.1,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,17.63,19.80%,3.7,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,17.63,19.80%,0.1,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,2.83,28.60%,3.7,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,2.83,28.60%,0.1,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,2.83,19.80%,3.7,Reliever,Yes
Luis Castillo (DET),2022,DET,23.30%,50.00%,2.83,19.80%,0.1,Reliever,Yes
Luis Cessa,2021,- - -,29.50%,61.30%,9.6,13.40%,0.9,Reliever,No
Luis Cessa,2022,CIN,26.50%,61.90%,-4.67,9.20%,0,Reliever,No
Luis Frias,2021,ARI,26.50%,75.00%,-0.2,-12.50%,-0.1,Reliever,No
Luis Frias,2022,ARI,23.00%,61.10%,-7.14,-3.30%,-0.2,Reliever,No
Luis Garcia,2021,HOU,29.70%,59.90%,18.16,19.30%,3.1,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,18.16,19.30%,0.7,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,18.16,18.50%,3.1,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,18.16,18.50%,0.7,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,5.89,19.30%,3.1,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,5.89,19.30%,0.7,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,5.89,18.50%,3.1,Starter,No
Luis Garcia,2021,HOU,29.70%,59.90%,5.89,18.50%,0.7,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,18.16,19.30%,3.1,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,18.16,19.30%,0.7,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,18.16,18.50%,3.1,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,18.16,18.50%,0.7,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,5.89,19.30%,3.1,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,5.89,19.30%,0.7,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,5.89,18.50%,3.1,Starter,No
Luis Garcia,2021,STL,32.10%,62.20%,5.89,18.50%,0.7,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,2.86,19.70%,2.1,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,2.86,19.70%,1.6,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,2.86,17.10%,2.1,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,2.86,17.10%,1.6,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,0.46,19.70%,2.1,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,0.46,19.70%,1.6,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,0.46,17.10%,2.1,Starter,No
Luis Garcia,2022,HOU,28.70%,58.20%,0.46,17.10%,1.6,Starter,No
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,2.86,19.70%,2.1,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,2.86,19.70%,1.6,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,2.86,17.10%,2.1,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,2.86,17.10%,1.6,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,0.46,19.70%,2.1,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,0.46,19.70%,1.6,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,0.46,17.10%,2.1,Reliever,Yes
Luis Garcia (SDP),2022,SDP,29.80%,59.80%,0.46,17.10%,1.6,Reliever,Yes
Luis Gil,2021,NYY,27.60%,55.00%,6.72,14.70%,0.4,Reliever,No
Luis Gil,2022,NYY,28.90%,68.40%,-2.12,15.80%,0.2,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,0.03,9.10%,0.3,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,0.03,9.10%,0.1,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,0.03,10.10%,0.3,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,0.03,10.10%,0.1,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,2.54,9.10%,0.3,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,2.54,9.10%,0.1,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,2.54,10.10%,0.3,Reliever,No
Luis Ortiz,2022,PIT,31.60%,63.80%,2.54,10.10%,0.1,Reliever,No
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,0.03,9.10%,0.3,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,0.03,9.10%,0.1,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,0.03,10.10%,0.3,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,0.03,10.10%,0.1,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,2.54,9.10%,0.3,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,2.54,9.10%,0.1,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,2.54,10.10%,0.3,Reliever,Yes
Luis Ortiz (SFG),2022,SFG,28.00%,60.60%,2.54,10.10%,0.1,Reliever,Yes
Luis Patino,2021,TBR,24.70%,59.20%,-2.37,13.50%,0.7,Reliever,No
Luis Patino,2022,TBR,23.50%,65.30%,-7.73,-2.00%,-0.6,Reliever,No
Luis Severino,2021,NYY,28.60%,63.60%,3.3,31.80%,0.2,Starter,No
Luis Severino,2022,NYY,28.10%,64.00%,13.32,20.20%,1.4,Starter,No
Luke Farrell,2021,MIN,28.30%,51.30%,0.71,10.60%,-0.1,Reliever,No
Luke Farrell,2022,- - -,26.30%,58.60%,-2.37,10.00%,0,Reliever,No
Luke Weaver,2021,ARI,27.20%,63.60%,0.15,15.30%,0.6,Reliever,No
Luke Weaver,2022,- - -,22.70%,55.70%,-11.59,14.40%,0.5,Reliever,No
Madison Bumgarner,2021,ARI,28.10%,64.10%,-6.01,13.90%,1.5,Starter,No
Madison Bumgarner,2022,ARI,23.90%,61.60%,-17.01,9.00%,0.5,Starter,No
Manuel Rodriguez,2021,CHC,26.30%,61.40%,-9.6,4.80%,-0.3,Reliever,No
Manuel Rodriguez,2022,CHC,21.70%,56.10%,-1.21,-1.80%,-0.2,Reliever,No
Marco Gonzales,2021,SEA,25.70%,62.70%,6.41,11.30%,0.5,Starter,No
Marco Gonzales,2022,SEA,23.50%,63.10%,-15.64,6.80%,0.1,Starter,No
Marcos Diplan,2021,BAL,26.00%,60.20%,-1.76,7.30%,-0.2,Reliever,No
Marcos Diplan,2022,BAL,23.00%,48.10%,-1.04,11.10%,0.1,Reliever,No
Marcus Stroman,2021,NYM,28.50%,62.10%,15.4,15.60%,3.4,Starter,Yes
Marcus Stroman,2022,CHC,28.00%,66.80%,9.6,14.60%,2,Starter,Yes
Mark Melancon,2021,SDP,27.40%,64.20%,8.13,12.80%,1.1,Reliever,No
Mark Melancon,2022,ARI,25.10%,62.30%,-9.87,5.70%,0.1,Reliever,No
Martin Perez,2021,BOS,26.50%,62.50%,-10.32,12.00%,0.6,Starter,No
Martin Perez,2022,TEX,27.20%,62.60%,21.4,12.20%,3.8,Starter,No
Marwin Gonzalez,2021,BOS,9.10%,33.30%,0.57,0.00%,0,Reliever,No
Marwin Gonzalez,2022,NYY,25.00%,100.00%,0.72,0.00%,0,Reliever,No
Mason Thompson,2021,- - -,24.50%,52.10%,-4.39,6.60%,-0.2,Reliever,No
Mason Thompson,2022,WSN,24.50%,58.40%,5.42,5.90%,0.1,Reliever,No
Matt Barnes,2021,BOS,33.60%,68.50%,2.01,28.80%,1.3,Reliever,No
Matt Barnes,2022,BOS,28.70%,62.50%,-0.82,7.40%,0.1,Reliever,No
Matt Bush,2021,TEX,30.40%,52.90%,-0.92,23.50%,-0.2,Reliever,No
Matt Bush,2022,- - -,33.70%,64.30%,-0.96,23.00%,0.1,Reliever,No
Matt Foster,2021,CHW,25.20%,52.30%,-5.79,15.50%,-0.1,Reliever,No
Matt Foster,2022,CHW,23.40%,64.20%,-2.74,13.00%,0.2,Reliever,No
Matt Manning,2021,DET,24.20%,63.90%,-12.08,6.20%,0.8,Starter,No
Matt Manning,2022,DET,24.70%,57.40%,4.46,11.00%,1,Starter,No
Matt Moore,2021,PHI,24.70%,62.00%,-16.13,7.50%,-0.2,Reliever,Yes
Matt Moore,2022,TEX,29.30%,59.20%,9.29,14.80%,1.3,Reliever,Yes
Matt Peacock,2021,ARI,24.00%,56.20%,-11.23,5.70%,-0.2,Reliever,No
Matt Peacock,2022,- - -,26.80%,65.20%,-3.22,4.30%,0,Reliever,No
Matt Strahm,2021,SDP,25.00%,61.10%,-3.48,8.30%,0.1,Reliever,No
Matt Strahm,2022,BOS,28.70%,61.70%,0.09,18.10%,0.3,Reliever,No
Matt Wisler,2021,- - -,35.10%,64.60%,-3.57,26.20%,1.1,Reliever,No
Matt Wisler,2022,TBR,27.50%,64.20%,-0.67,11.90%,0.2,Reliever,No
Matthew Boyd,2021,DET,27.30%,71.80%,2.66,13.10%,1.3,Reliever,Yes
Matthew Boyd,2022,SEA,31.80%,64.20%,4.46,9.40%,0.1,Reliever,Yes
Mauricio Llovera,2021,PHI,27.60%,60.00%,-2.27,8.60%,-0.3,Reliever,No
Mauricio Llovera,2022,SFG,29.70%,56.90%,2.14,16.70%,0.1,Reliever,No
Max Fried,2021,ATL,27.90%,64.30%,24.6,17.50%,3.8,Starter,No
Max Fried,2022,ATL,27.50%,61.50%,41.21,18.80%,5,Starter,No
Max Kranick,2021,PIT,24.20%,56.60%,-9.47,7.10%,0.5,Reliever,No
Max Kranick,2022,PIT,21.10%,52.60%,2.9,5.30%,0.2,Reliever,No
Max Scherzer,2021,- - -,31.60%,64.10%,38.94,28.90%,5.4,Starter,Yes
Max Scherzer,2022,NYM,30.80%,66.40%,30.19,26.40%,4.4,Starter,Yes
Max Schrock,2021,CIN,20.00%,66.70%,0.53,16.70%,0,Reliever,No
Max Schrock,2022,CIN,3.80%,70.00%,-4.49,0.00%,-0.1,Reliever,No
