Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Carlos Estevez,2022,COL,21.30%,60.00%,3.18,13.20%,0.4,Reliever,No
Carlos Hernandez,2021,KCR,24.50%,53.60%,7.17,9.20%,1,Reliever,No
Carlos Hernandez,2022,KCR,24.50%,57.90%,-19.92,1.50%,-0.2,Reliever,No
Carlos Rodon,2021,CHW,30.30%,58.60%,29.4,27.90%,4.9,Starter,No
Carlos Rodon,2022,SFG,30.60%,61.50%,27.28,26.10%,6.2,Starter,No
Casey Mize,2021,DET,26.90%,62.10%,14.14,12.60%,1.2,Reliever,No
Casey Mize,2022,DET,21.90%,57.80%,-1.11,4.40%,0.1,Reliever,No
Cesar Valdez,2021,BAL,30.60%,61.00%,-11.36,14.80%,0.2,Reliever,No
Cesar Valdez,2022,LAA,6.30%,60.00%,-2.72,0.00%,0,Reliever,No
Chad Green,2021,NYY,30.00%,64.10%,12.8,26.00%,1.6,Reliever,No
Chad Green,2022,NYY,26.60%,71.00%,0.9,17.70%,0.3,Reliever,No
Chad Kuhl,2021,PIT,27.60%,51.60%,-8.15,9.50%,-0.1,Starter,Yes
Chad Kuhl,2022,COL,25.90%,59.60%,-17.58,8.40%,0.5,Starter,Yes
Charlie Culberson,2021,TEX,20.00%,71.40%,0.99,0.00%,0,Reliever,No
Charlie Culberson,2022,TEX,17.90%,62.50%,0.99,-12.50%,0,Reliever,No
Charlie Morton,2021,ATL,31.00%,58.20%,19.98,20.90%,4.5,Starter,No
Charlie Morton,2022,ATL,30.60%,58.70%,0.18,19.50%,1.5,Starter,No
Chase Anderson,2021,PHI,25.80%,59.10%,-5.38,7.00%,-0.3,Reliever,Yes
Chase Anderson,2022,CIN,23.30%,53.40%,-4.11,7.80%,0.1,Reliever,Yes
Chase De Jong,2021,PIT,25.50%,59.70%,-5.93,10.20%,-0.3,Reliever,No
Chase De Jong,2022,PIT,26.90%,59.70%,12.49,9.90%,-0.2,Reliever,No
Chasen Shreve,2021,PIT,24.80%,63.40%,7.69,7.20%,-0.1,Reliever,No
Chasen Shreve,2022,NYM,28.70%,70.20%,-8.7,16.70%,-0.3,Reliever,No
Chi Chi Gonzalez,2021,COL,23.50%,60.50%,-18.49,6.30%,0.3,Reliever,No
