Name,Team,F-Strike%
Jose Cuas,KCR,55.32000000000001
Jose Leclerc,TEX,66.825
Jose Marte,LAA,46.36666666666667
Jose Quijada,LAA,60.3
Jose Quintana,STL,62.0
Jose Quintana,PIT,60.625
Jose Ruiz,CHW,56.31666666666666
Jose Suarez,LAA,62.9
Jose Urena,COL,57.4
Jose Urena,MIL,69.4
Jose Urquidy,HOU,65.38333333333333
Josh Fleming,TBR,67.05
Josh Hader,SDP,52.55
Josh Hader,MIL,54.525
Josh Harrison,CHW,63.53333333333333
Josh Rogers,WSN,53.4
Josh Sborz,TEX,62.919999999999995
Josh Staumont,KCR,53.46
Josh VanMeter,PIT,50.0
Josh Winckowski,BOS,58.86
Josh Winder,MIN,62.04
Josiah Gray,WSN,57.800000000000004
Jovani Moran,MIN,54.7
Juan Minaya,MIN,63.699999999999996
Julian Merryweather,TOR,66.725
Julio Urias,LAD,65.75
Junior Fernandez,STL,66.89999999999999
Junior Fernandez,PIT,50.0
Justin Bruihl,LAD,61.599999999999994
Justin Dunn,CIN,58.8
Justin Grimm,OAK,69.45
Justin Lawrence,COL,60.279999999999994
Justin Steele,CHC,59.379999999999995
Justin Topa,MIL,60.0
Justin Verlander,HOU,61.93333333333334
Justin Wilson,CIN,61.5
Justus Sheffield,SEA,54.73333333333333
Kaleb Ort,BOS,60.1
Keegan Akin,BAL,64.0
Keegan Thompson,CHC,56.76666666666667
Ken Giles,SEA,62.5
Ken Waldichuk,OAK,61.6
Kendall Graveman,CHW,60.51666666666667
Kenley Jansen,ATL,67.56666666666666
Kenny Rosenberg,LAA,63.0
Kervin Castro,CHC,63.0
Kervin Castro,SFG,45.5
Kevin Gausman,TOR,68.31666666666666
Kevin Ginkel,ARI,66.5
Kevin Herget,TBR,46.7
Kevin Plawecki,BOS,50.0
Keynan Middleton,ARI,61.86666666666667
Kirby Snead,OAK,64.26666666666667
Kirby Yates,ATL,48.75
Kirk McCarty,CLE,68.66
Kodi Whitley,STL,55.5
Kody Clemens,DET,53.425
Kohei Arihara,TEX,56.3
Kolby Allard,TEX,65.24
Konnor Pilkington,CLE,54.760000000000005
Kris Bubic,KCR,57.81666666666666
Kutter Crawford,BOS,55.2
Kyle Barraclough,LAA,59.5
Kyle Bradish,BAL,55.21666666666667
Kyle Crick,CHW,56.46666666666667
Kyle Dowdy,CIN,51.9
Kyle Finnegan,WSN,62.06666666666666
Kyle Freeland,COL,61.666666666666664
Kyle Gibson,PHI,58.800000000000004
Kyle Hendricks,CHC,57.425
Kyle Muller,ATL,62.1
Kyle Nelson,ARI,55.43333333333334
Kyle Tyler,SDP,57.1
Kyle Wright,ATL,64.93333333333334
Lance Lynn,CHW,64.5
Lance McCullers Jr.,HOU,53.1
Liam Hendriks,CHW,63.06666666666666
Locke St. John,CHC,66.7
Logan Allen,CLE,53.3
Logan Allen,BAL,40.0
Logan Gilbert,SEA,63.06666666666666
Logan Gillaspie,BAL,59.225
Logan Webb,SFG,65.58333333333333
Lou Trivino,NYY,57.2
Lou Trivino,OAK,55.025
Louie Varland,MIN,64.2
Louis Head,BAL,40.7
Louis Head,MIA,53.333333333333336
Lucas Gilbreath,COL,58.760000000000005
Lucas Giolito,CHW,61.51666666666667
Lucas Luetge,NYY,57.333333333333336
Lucas Sims,CIN,60.25
Luis Castillo,CIN,59.76666666666667
Luis Castillo,DET,47.8
Luis Castillo,SEA,62.65
Luis Cessa,CIN,59.050000000000004
Luis Frias,ARI,64.05
Luis Garcia,HOU,58.28333333333333
Luis Garcia,SDP,59.61666666666667
Luis Gil,NYY,68.4
Luis Gonzalez,SFG,53.333333333333336
Luis Ortiz,SFG,60.6
Luis Ortiz,PIT,63.8
Luis Patino,TBR,74.45
Luis Perdomo,MIL,63.2
Luis Severino,NYY,66.02000000000001
Luis Torrens,SEA,60.0
Luke Bard,NYY,100.0
Luke Bard,TBR,61.05
Luke Barker,MIL,63.2
Luke Farrell,- - -,70.0
Luke Farrell,CHC,50.0
Luke Weaver,ARI,65.7
Luke Weaver,KCR,53.0
MacKenzie Gore,SDP,59.675
Madison Bumgarner,ARI,61.36666666666667
Manny Banuelos,PIT,65.7
Manny Banuelos,NYY,65.7
Manuel Rodriguez,CHC,56.0
Marco Gonzales,SEA,62.300000000000004
Marcos Diplan,BAL,38.6
Marcus Stroman,CHC,65.39999999999999
Mark Appel,PHI,48.333333333333336
Mark Leiter,CHC,60.76666666666667
Mark Melancon,ARI,62.26666666666667
Martin Perez,TEX,62.916666666666664
Marwin Gonzalez,NYY,100.0
Mason Thompson,WSN,56.7
Matt Barnes,BOS,62.75
Matt Batten,SDP,75.0
Matt Brash,SEA,58.379999999999995
Matt Bush,TEX,67.5
