Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Anthony Bass,TOR,Reliever,32.75,64.05,3.2750000000000004,-0.05,17.6,0.9499999999999993,-3.375,-0.05249999999999977
Anthony Bender,MIA,Reliever,32.7,61.73333333333333,0.2766666666666666,-0.0666666666666666,10.9,-0.0,-0.0,-0.0
Anthony Castro,CLE,Reliever,26.975,55.925,-2.4075,-0.125,6.125,-0.0,-0.0,-0.0
Anthony DeSclafani,SFG,Reliever,27.45,60.85,-5.985,0.0,12.0,-0.0,-0.0,-0.0
Anthony Gose,CLE,Reliever,31.175,61.325,-0.3349999999999999,-0.025,8.95,-0.0,-0.0,-0.0
Anthony Kay,TOR,Reliever,30.8,60.0,-0.07,0.0,20.0,-0.0,-0.0,-0.0
Anthony Misiewicz,SEA,Reliever,18.133333333333333,57.76666666666667,-0.4366666666666667,0.0,-5.233333333333332,-0.0,-0.0,-0.0
Anthony Misiewicz,KCR,Reliever,32.3,61.35,-1.285,0.05,3.5500000000000007,14.166666666666664,3.5833333333333286,-0.8483333333333332
Antonio Senzatela,COL,Starter,21.7,59.2,-0.5,0.3,6.659999999999999,-0.0,-0.0,-0.0
Archie Bradley,LAA,Reliever,27.73333333333333,58.93333333333334,-0.2166666666666666,0.0666666666666666,10.833333333333334,-0.0,-0.0,-0.0
Arodys Vizcaino,KCR,Reliever,34.8,60.25,-0.7999999999999999,-0.1,7.049999999999999,-0.0,-0.0,-0.0
Aroldis Chapman,NYY,Reliever,30.94,54.32000000000001,-1.018,-0.06,8.940000000000001,-0.0,-0.0,-0.0
Art Warren,CIN,Reliever,28.416666666666668,60.16666666666666,-2.276666666666667,-0.05,4.566666666666666,-0.0,-0.0,-0.0
Ashton Goudeau,COL,Reliever,23.85,57.2,-2.085,0.0,6.65,-0.0,-0.0,-0.0
Austin Adams,SDP,Reliever,31.3,55.6,1.19,0.0,-11.1,-0.0,-0.0,-0.0
Austin Brice,PIT,Reliever,30.566666666666663,65.56666666666666,0.1199999999999999,0.0,12.766666666666666,-0.0,-0.0,-0.0
Austin Davis,BOS,Reliever,27.62,56.5,-2.4240000000000004,0.06,12.56,-0.0,-0.0,-0.0
Austin Davis,MIN,Reliever,27.8,40.0,-2.29,0.0,-10.0,0.17999999999999972,-16.5,0.13400000000000034
Austin Gomber,COL,Starter,25.28333333333333,59.78333333333334,-1.4183333333333337,0.1833333333333333,12.033333333333331,-0.0,-0.0,-0.0
Austin Pruitt,OAK,Reliever,25.64,65.78,-1.276,-0.06,10.58,-0.0,-0.0,-0.0
Austin Voth,WSN,Starter,25.55,62.8,-5.605,-0.05,12.95,-0.0,-0.0,-0.0
Austin Voth,BAL,Starter,26.45,61.25,2.3725,0.275,13.75,0.8999999999999986,-1.5499999999999972,7.977500000000001
Austin Warren,LAA,Reliever,22.866666666666664,55.333333333333336,-2.5866666666666664,-0.0666666666666666,8.733333333333333,-0.0,-0.0,-0.0
Austin Wynns,SFG,Reliever,11.25,37.5,-1.035,-0.05,-8.35,-0.0,-0.0,-0.0
Bailey Falter,PHI,Starter,29.266666666666666,67.0,0.0616666666666666,0.0999999999999999,14.1,-0.0,-0.0,-0.0
Bailey Ober,MIN,Reliever,26.65,68.3,1.1574999999999998,0.375,17.775,-0.0,-0.0,-0.0
Beau Brieske,DET,Starter,21.325000000000003,57.675,0.0649999999999999,0.0499999999999999,8.0,-0.0,-0.0,-0.0
Beau Sulser,- - -,Reliever,26.6,71.8,-5.51,0.0,7.7,-0.0,-0.0,-0.0
Beau Sulser,BAL,Reliever,17.099999999999998,70.0,-0.05,0.0,13.333333333333334,-2.200000000000003,-26.299999999999997,6.199999999999999
Beau Sulser,PIT,Reliever,24.4,45.5,0.69,0.0,4.5,7.300000000000001,-24.5,0.74
Bennett Sousa,CHW,Reliever,25.23333333333333,59.86666666666667,-3.473333333333334,-0.0999999999999999,1.9666666666666668,-0.0,-0.0,-0.0
Blake Snell,SDP,Starter,28.76,63.46,1.9983333333333333,0.6166666666666666,17.55,-0.0,-0.0,-0.0
