Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Andrew Heaney,2022.0,LAD,32.5,67.7,0.42,29.4,1.1,Starter,Yes,4.0,0.7000000000000028,14.18,-0.0,9.899999999999999
Andrew Kittredge,2021.0,TBR,31.8,69.1,10.24,22.0,1.5,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Kittredge,2022.0,TBR,26.6,70.7,2.65,16.0,-0.2,Reliever,No,-5.199999999999999,1.6000000000000085,-7.59,-1.7,-6.0
Andrew Knapp,2021.0,PHI,0.0,,0.11,0.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Knizner,2022.0,STL,9.1,,-0.65,0.0,0.0,Reliever,No,-0.0,,-0.0,-0.0,-0.0
Andrew Miller,2021.0,STL,31.9,59.8,-5.91,14.6,-0.1,,,-0.0,,-0.0,-0.0,-0.0
Andrew Nardi,2022.0,MIA,27.8,57.8,-12.49,12.0,-0.4,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Romine,2021.0,CHC,40.0,20.0,-0.48,20.0,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Vasquez,2021.0,LAD,33.3,83.3,-0.4,50.0,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Vasquez,2022.0,- - -,37.9,59.0,-0.16,15.4,0.0,Reliever,No,4.600000000000001,-24.299999999999997,0.24000000000000002,-0.1,-34.6
Andrew Wantz,2021.0,LAA,30.0,64.2,-6.44,22.5,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Wantz,2022.0,LAA,28.8,55.9,8.06,15.2,0.0,Reliever,No,-1.1999999999999993,-8.300000000000004,14.5,-0.2,-7.300000000000001
Andy Burns,2021.0,LAD,29.2,50.0,-1.52,16.7,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Aneurys Zabala,2022.0,MIA,27.9,36.4,0.4,9.1,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Angel De Jesus,2022.0,DET,25.0,68.5,2.07,5.6,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Perdomo,2021.0,MIL,30.8,53.2,-1.76,15.2,-0.2,,,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Rondon,2021.0,STL,17.2,42.9,0.99,0.0,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Rondon,2022.0,STL,19.8,50.0,2.5,5.0,0.1,Reliever,No,2.6000000000000014,7.100000000000001,1.51,0.1,5.0
Angel Zerpa,2021.0,KCR,25.0,55.0,0.72,15.0,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Zerpa,2022.0,KCR,23.9,59.1,1.97,0.0,-0.1,Reliever,No,-1.1000000000000014,4.100000000000001,1.25,-0.30000000000000004,-15.0
Anibal Sanchez,2022.0,WSN,22.6,57.2,0.87,5.1,-0.2,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Banda,2021.0,- - -,26.6,54.9,-3.02,12.4,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Banda,2022.0,- - -,25.2,54.8,-11.81,12.6,0.0,Reliever,No,-1.4000000000000021,-0.10000000000000142,-8.790000000000001,0.1,0.1999999999999993
Anthony Bass,2021.0,MIA,31.5,63.5,-2.77,13.1,-0.4,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bass,2022.0,- - -,32.2,66.5,19.87,19.3,1.3,Reliever,No,0.7000000000000028,3.0,22.64,1.7000000000000002,6.200000000000001
Anthony Bemboom,2021.0,LAA,19.0,42.9,-1.88,0.0,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bender,2021.0,MIA,35.4,61.5,5.29,20.6,1.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bender,2022.0,MIA,32.8,62.8,0.83,11.5,-0.1,Reliever,No,-2.6000000000000014,1.2999999999999972,-4.46,-1.1,-9.100000000000001
Anthony Castro,2021.0,TOR,29.2,52.3,-0.36,22.0,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Castro,2022.0,CLE,26.2,55.4,-9.62,3.1,-0.5,Reliever,No,-3.0,3.1000000000000014,-9.26,-0.7,-18.9
Anthony DeSclafani,2021.0,SFG,27.6,67.0,22.17,16.3,3.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony DeSclafani,2022.0,SFG,27.1,58.5,-11.97,13.8,0.0,Reliever,No,-0.5,-8.5,-34.14,-3.0,-2.5
Anthony Gose,2021.0,CLE,27.8,54.2,2.45,29.2,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Gose,2022.0,CLE,30.1,60.9,-1.33,15.2,-0.2,Reliever,No,2.3000000000000007,6.699999999999996,-3.7800000000000002,-0.4,-14.0
Anthony Kay,2021.0,TOR,24.3,59.0,-4.0,13.5,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Kay,2022.0,TOR,30.8,60.0,-0.07,20.0,0.0,Reliever,No,6.5,1.0,3.93,-0.0,6.5
Anthony Misiewicz,2021.0,SEA,27.0,66.9,-1.73,16.1,0.4,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Misiewicz,2022.0,- - -,26.9,59.5,-3.88,14.0,0.0,Reliever,No,-0.10000000000000142,-7.400000000000006,-2.15,-0.4,-2.1000000000000014
Anthony Rizzo,2021.0,CHC,33.3,,0.29,0.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Swarzak,2021.0,- - -,26.6,57.1,-6.27,14.3,-0.1,,,-0.0,,-0.0,-0.0,-0.0
Antonio Santos,2021.0,COL,25.0,41.3,0.51,10.9,0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Antonio Senzatela,2021.0,COL,25.0,64.2,8.76,10.9,3.5,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Antonio Senzatela,2022.0,COL,21.9,58.8,-2.5,7.5,1.4,Starter,No,-3.1000000000000014,-5.400000000000006,-11.26,-2.1,-3.4000000000000004
Archie Bradley,2021.0,PHI,23.0,61.6,-0.34,8.0,0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Archie Bradley,2022.0,LAA,26.2,57.7,-0.65,10.3,0.2,Reliever,No,3.1999999999999993,-3.8999999999999986,-0.31,-0.0,2.3000000000000007
Arodys Vizcaino,2022.0,KCR,21.7,55.2,-1.6,-13.8,-0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aroldis Chapman,2021.0,NYY,33.4,58.4,5.6,24.3,0.6,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aroldis Chapman,2022.0,NYY,30.9,55.0,-5.09,9.4,-0.2,Reliever,No,-2.5,-3.3999999999999986,-10.69,-0.8,-14.9
Art Warren,2021.0,CIN,31.1,61.0,9.04,31.7,0.6,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Art Warren,2022.0,CIN,29.3,58.8,-13.66,10.9,-0.3,Reliever,No,-1.8000000000000007,-2.200000000000003,-22.7,-0.8999999999999999,-20.799999999999997
Asdrubal Cabrera,2021.0,ARI,17.6,50.0,0.83,0.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Asher Wojciechowski,2021.0,NYY,24.1,52.6,0.07,5.3,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Ashton Goudeau,2021.0,- - -,22.0,56.0,4.76,3.5,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Ashton Goudeau,2022.0,COL,24.0,57.4,-4.17,6.4,0.0,Reliever,No,2.0,1.3999999999999986,-8.93,-0.0,2.9000000000000004
Austin Adams,2021.0,SDP,32.5,51.5,-0.37,17.0,0.3,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Adams,2022.0,SDP,31.3,55.6,1.19,-11.1,0.0,Reliever,No,-1.1999999999999993,4.100000000000001,1.56,-0.3,-28.1
Austin Brice,2021.0,BOS,24.8,48.4,-4.92,7.8,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Brice,2022.0,PIT,30.2,66.7,0.36,7.4,0.1,Reliever,No,5.399999999999999,18.300000000000004,5.28,0.2,-0.39999999999999947
Austin Davis,2021.0,- - -,26.6,51.3,-3.1,13.7,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Davis,2022.0,- - -,27.2,56.4,-14.41,11.7,0.2,Reliever,No,0.5999999999999979,5.100000000000001,-11.31,0.1,-2.0
Austin Gomber,2021.0,COL,30.4,65.4,3.17,14.8,1.3,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Gomber,2022.0,COL,25.1,59.2,-8.5,11.5,0.9,Starter,No,-5.299999999999997,-6.200000000000003,-11.67,-0.4,-3.3000000000000007
Austin Pruitt,2021.0,- - -,20.0,62.1,0.85,17.2,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Pruitt,2022.0,OAK,27.2,67.9,-6.37,12.9,-0.3,Reliever,No,7.199999999999999,5.800000000000004,-7.22,-0.19999999999999998,-4.299999999999999
Austin Slater,2021.0,SFG,16.7,50.0,0.11,-50.0,0.0,,,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Voth,2021.0,WSN,25.7,57.7,-4.65,12.5,-0.1,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Voth,2022.0,- - -,26.4,62.0,-1.72,13.3,1.0,Starter,No,0.6999999999999993,4.299999999999997,2.9300000000000006,1.1,0.8000000000000007
Austin Warren,2021.0,LAA,29.4,54.8,4.2,17.9,0.8,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Warren,2022.0,LAA,22.6,55.7,-7.75,5.7,-0.2,Reliever,No,-6.799999999999997,0.9000000000000057,-11.95,-1.0,-12.2
Austin Wynns,2021.0,BAL,22.2,75.0,-0.43,0.0,0.0,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Wynns,2022.0,SFG,11.5,40.0,-2.08,-10.0,-0.1,Reliever,No,-10.7,-35.0,-1.6500000000000001,-0.1,-10.0
Bailey Falter,2021.0,PHI,27.9,61.9,-1.85,20.1,0.3,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Bailey Falter,2022.0,PHI,30.3,66.2,0.38,16.3,0.6,Starter,No,2.400000000000002,4.300000000000004,2.23,0.3,-3.8000000000000007
Bailey Ober,2021.0,MIN,28.2,67.3,4.3,20.3,0.9,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Bailey Ober,2022.0,MIN,27.3,67.8,4.62,17.6,1.4,Reliever,No,-0.8999999999999986,0.5,0.3200000000000003,0.4999999999999999,-2.6999999999999993
Beau Brieske,2022.0,DET,22.1,59.9,0.26,8.6,0.1,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Beau Burrows,2021.0,- - -,20.2,56.9,-11.02,-3.4,-0.5,,,-0.0,-0.0,-0.0,-0.0,-0.0
