Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Wandy Peralta,0.1,0.14,0.04,0.4
Will Vest,0.06,0.15,0.09,1.5
Willians Astudillo,-0.13,-0.29,-0.16,-1.230769231
Yency Almonte,0.08,0.17,0.09,1.125
Yimi Garcia,0.18,0.17,-0.01,-0.055555556
Yoan Lopez,0.12,0.1,-0.02,-0.166666667
Yusei Kikuchi,0.15,0.15,0,0
Zach Davies,0.06,0.09,0.03,0.5
Zach Thompson,0.12,0.08,-0.04,-0.333333333
Zack Greinke,0.12,0.08,-0.04,-0.333333333
