Name,Team,CSW%
Devin Williams,MIL,33.96666666666666
Diego Castillo,SEA,27.8
Diego Castillo (PIT),PIT,22.049999999999997
Dillon Peters,PIT,25.419999999999998
Dillon Tate,BAL,29.650000000000002
Dinelson Lamet,COL,32.9
Dinelson Lamet,SDP,30.833333333333332
Domingo Acevedo,OAK,28.116666666666664
Domingo German,NYY,27.900000000000002
Domingo Tapia,OAK,22.2
Dominic Leone,SFG,28.45
Donovan Walton,SFG,23.8
Drew Carlton,DET,25.4
Drew Hutchison,DET,23.183333333333334
Drew Rasmussen,TBR,25.983333333333334
Drew Smith,NYM,28.96
Drew Smyly,CHC,27.28
Drew Steckenrider,SEA,21.25
Drew VerHagen,STL,26.3
Drey Jameson,ARI,27.6
Duane Underwood Jr.,PIT,23.983333333333334
Dusten Knight,TBR,27.475
Dustin May,LAD,29.299999999999997
Dylan Bundy,MIN,26.633333333333336
Dylan Cease,CHW,29.883333333333336
Dylan Coleman,KCR,28.616666666666664
Dylan Floro,MIA,27.54
Dylan Lee,ATL,31.52
Easton McGee,TBR,21.7
Eduard Bazardo,BOS,26.7
Eduardo Rodriguez,DET,23.3
Edward Cabrera,MIA,30.566666666666666
Edwin Diaz,NYM,42.96666666666667
Edwin Uceta,ARI,24.380000000000003
Ehire Adrianza,WSN,25.0
Eli Morgan,CLE,27.96666666666667
Elieser Hernandez,MIA,26.400000000000002
Elvin Rodriguez,DET,22.660000000000004
Elvis Peguero,LAA,24.166666666666668
Emilio Pagan,MIN,28.383333333333336
Emmanuel Clase,CLE,30.5
Enoli Paredes,HOU,24.25
Enyel De Los Santos,CLE,29.766666666666666
Erasmo Ramirez,WSN,26.28333333333333
Eric Lauer,MIL,27.599999999999998
Eric Stout,PIT,30.0
Eric Stout,CHC,30.5
Erich Uelmen,CHC,28.099999999999998
Erick Fedde,WSN,24.733333333333334
Erik Swanson,SEA,30.0
Ernie Clement,CLE,17.05
Ethan Roberts,CHC,19.2
Ethan Small,MIL,27.2
Evan Lee,WSN,21.2
Evan Phillips,LAD,33.15
Felix Bautista,BAL,30.016666666666666
Fernando Cruz,CIN,30.0
Foster Griffin,KCR,29.85
Foster Griffin,TOR,29.6
Framber Valdez,HOU,28.849999999999998
Francisco Morales,PHI,25.75
Francisco Perez,WSN,23.099999999999998
Frank German,BOS,19.0
Frank Schwindel,CHC,14.3
Frankie Montas,NYY,25.299999999999997
Frankie Montas,OAK,24.8
Franmil Reyes,CHC,40.0
Freddy Peralta,MIL,29.25
Freddy Tarnok,ATL,60.0
Gabe Speier,KCR,20.733333333333334
Garrett Cleavinger,LAD,31.866666666666664
Garrett Cleavinger,TBR,36.95
Garrett Hill,DET,25.03333333333333
Garrett Richards,TEX,26.26
Garrett Stubbs,PHI,18.766666666666666
Garrett Whitlock,BOS,30.983333333333334
Gavin Hollowell,COL,27.3
Genesis Cabrera,STL,25.56
George Kirby,SEA,26.139999999999997
Gerardo Reyes,LAA,31.9
German Marquez,COL,25.683333333333334
Gerrit Cole,NYY,31.816666666666663
Giovanny Gallegos,STL,31.883333333333336
Glenn Otto,TEX,25.983333333333334
Graham Ashcraft,CIN,22.78
Greg Holland,TEX,30.0
Greg Weissert,NYY,29.049999999999997
Gregory Santos,SFG,25.15
Gregory Soto,DET,26.45
Griffin Jax,MIN,31.8
Hansel Robles,BOS,23.15
Hanser Alberto,LAD,16.0
Harold Castro,DET,18.85
Hayden Wesneski,CHC,27.2
Heath Hembree,LAD,26.4
Heath Hembree,PIT,27.0
Hector Neris,HOU,31.066666666666666
Hirokazu Sawamura,BOS,25.32
Hoby Milner,MIL,30.5
Huascar Brazoban,MIA,31.933333333333334
Huascar Ynoa,ATL,21.1
Humberto Castellanos,ARI,25.6
Hunter Brown,HOU,31.4
Hunter Dozier,KCR,21.7
Hunter Gaddis,CLE,21.75
Hunter Greene,CIN,29.016666666666666
Hunter Harvey,WSN,28.95
Hunter Strickland,CIN,26.083333333333332
Hyun-Jin Ryu,TOR,26.266666666666666
Ian Anderson,ATL,25.839999999999996
Ian Gibaut,CIN,28.833333333333332
Ian Gibaut,CLE,28.6
Ian Hamilton,MIN,19.0
Ian Kennedy,ARI,24.833333333333332
Ildemaro Vargas,WSN,0.0
J.B. Wendelken,ARI,21.1
J.P. Feyereisen,TBR,29.03333333333333
JC Mejia,MIL,25.4
JP Sears,NYY,30.9
JP Sears,OAK,25.5
JT Brubaker,PIT,29.78333333333333
JT Chargois,TBR,32.63333333333333
Jace Peterson,MIL,25.0
Jack Flaherty,STL,24.8
Jack Mayfield,LAA,30.8
Jackie Bradley Jr.,BOS,13.3
Jackson Kowar,KCR,29.866666666666664
Jackson Stephens,ATL,25.833333333333332
Jackson Tetreault,WSN,21.9
Jacob Barnes,DET,19.900000000000002
Jacob Barnes,NYY,32.0
Jacob deGrom,NYM,35.4
Jaime Barria,LAA,26.349999999999998
Jake Bird,COL,27.925
Jake Brentz,KCR,29.4
Jake Cousins,MIL,32.4
Jake Diekman,CHW,30.4
Jake Diekman,BOS,30.275
Jake Fishman,MIA,29.166666666666668
Jake Hager,ARI,20.85
Jake Lemoine,OAK,27.15
Jake McGee,- - -,21.95
Jake McGee,SFG,22.2
Jake McGee,WSN,16.1
Jake Odorizzi,ATL,23.85
Jake Odorizzi,HOU,23.03333333333333
Jake Reed,- - -,34.7
Jake Reed,BAL,30.1
Jake Reed,LAD,14.3
Jake Reed,NYM,27.9
Jake Walsh,STL,24.6
Jake Woodford,STL,23.36
Jakob Junis,SFG,30.366666666666664
Jalen Beeks,TBR,28.400000000000002
James Kaprielian,OAK,25.0
James Karinchak,CLE,33.266666666666666
James Naile,STL,32.575
James Norwood,PHI,22.366666666666664
Jameson Taillon,NYY,26.266666666666666
Jandel Gustave,MIL,27.875
Janson Junk,LAA,25.666666666666668
Jared Koenig,OAK,23.925
Jared Solomon,CIN,31.633333333333336
Jarlin Garcia,SFG,27.700000000000003
Jason Adam,TBR,35.25
Jason Alexander,MIL,26.425
Jason Foley,DET,24.633333333333336
Javier Assad,CHC,23.75
Javy Guerra,- - -,21.7
Javy Guerra,TBR,25.65
Jay Jackson,ATL,25.0
Jeff Brigham,MIA,29.766666666666666
Jeff Hoffman,CIN,25.975
Jeffrey Springs,TBR,29.816666666666666
Jerad Eickhoff,PIT,22.9
Jeremiah Estrada,CHC,26.15
Jeremy Beasley,TOR,27.65
Jermaine Palacios,MIN,25.0
Jesse Chavez,- - -,29.2
Jesse Chavez,ATL,32.275
Jesse Chavez,LAA,26.3
Jesus Cruz,ATL,23.049999999999997
Jesus Luzardo,MIA,31.35
Jesus Tinoco,TEX,29.55
Jeurys Familia,BOS,22.75
Jeurys Familia,PHI,29.275
Jharel Cotton,MIN,29.119999999999997
Jharel Cotton,SFG,26.4
Jhoan Duran,MIN,32.699999999999996
Jhon Romero,MIN,27.8
Jhonathan Diaz,LAA,22.25
Jhoulys Chacin,COL,26.366666666666664
Jimmy Herget,LAA,30.5
Jimmy Lambert,CHW,26.860000000000003
Jimmy Yacabonis,MIA,36.75
Jimmy Yacabonis,TBR,28.700000000000003
JoJo Romero,STL,33.8
JoJo Romero,PHI,20.6
Joan Adon,WSN,23.174999999999997
Joe Barlow,TEX,28.849999999999998
Joe Jimenez,DET,30.916666666666668
Joe Kelly,CHW,34.08
Joe Mantiply,ARI,32.583333333333336
Joe Musgrove,SDP,30.933333333333334
Joe Ryan,MIN,27.133333333333336
Joe Smith,MIN,26.660000000000004
Joel Kuhnel,CIN,27.48
Joel Payamps,- - -,19.6
Joel Payamps,KCR,24.55
Joel Payamps,OAK,24.6
Joely Rodriguez,NYM,31.933333333333334
Joey Krehbiel,BAL,26.833333333333332
Joey Wentz,DET,23.65
Johan Oviedo,PIT,24.9
Johan Oviedo,STL,31.0
John Brebbia,SFG,26.233333333333334
John King,TEX,25.083333333333332
John Means,BAL,22.2
John Schreiber,BOS,29.983333333333334
Johnny Cueto,CHW,23.240000000000002
Jon Gray,TEX,28.733333333333334
Jon Heasley,KCR,22.56
Jonathan Hernandez,TEX,27.5
Jonathan Loaisiga,NYY,26.98
Jordan Hicks,STL,27.579999999999995
Jordan Holloway,MIA,29.8
Jordan Lyles,BAL,26.400000000000002
Jordan Montgomery,STL,26.15
Jordan Montgomery,NYY,29.825
Jordan Romano,TOR,30.399999999999995
Jordan Sheffield,COL,18.8
Jordan Weems,WSN,24.080000000000002
Jorge Alcala,MIN,30.0
Jorge Lopez,BAL,30.125
Jorge Lopez,MIN,29.049999999999997
Jose Alvarado,PHI,32.266666666666666
Jose Alvarez,SFG,27.5
Jose Berrios,TOR,27.683333333333334
Jose Butto,NYM,24.5
Jose Castillo,SDP,25.0
Jose Cisnero,DET,25.900000000000002
Jose Cuas,KCR,29.46
Jose Leclerc,TEX,29.2
Jose Marte,LAA,25.433333333333334
Jose Quijada,LAA,23.433333333333334
Jose Quintana,PIT,25.975
Jose Quintana,STL,24.1
Jose Ruiz,CHW,27.633333333333336
Jose Suarez,LAA,28.0
Jose Urena,COL,22.03333333333333
Jose Urena,MIL,28.1
Jose Urquidy,HOU,25.7
Josh Fleming,TBR,27.325000000000003
Josh Hader,MIL,34.225
Josh Hader,SDP,29.15
Josh Harrison,CHW,20.833333333333332
Josh Rogers,WSN,20.400000000000002
Josh Sborz,TEX,30.0
Josh Staumont,KCR,24.8
Josh VanMeter,PIT,15.25
Josh Winckowski,BOS,26.04
Josh Winder,MIN,26.580000000000002
Josiah Gray,WSN,28.133333333333336
Jovani Moran,MIN,32.88
Juan Minaya,MIN,29.633333333333336
Julian Merryweather,TOR,26.45
Julio Urias,LAD,28.21666666666667
Junior Fernandez,PIT,18.1
Junior Fernandez,STL,28.2
Justin Bruihl,LAD,23.05
Justin Dunn,CIN,26.05
Justin Grimm,OAK,26.549999999999997
Justin Lawrence,COL,29.76
Justin Steele,CHC,25.78
Justin Topa,MIL,24.8
Justin Verlander,HOU,26.583333333333332
Justin Wilson,CIN,40.7
Justus Sheffield,SEA,24.733333333333334
Kaleb Ort,BOS,28.099999999999998
Keegan Akin,BAL,29.016666666666666
Keegan Thompson,CHC,27.53333333333333
Ken Giles,SEA,33.45
Ken Waldichuk,OAK,25.1
Kendall Graveman,CHW,29.21666666666667
Kenley Jansen,ATL,29.46666666666667
Kenny Rosenberg,LAA,26.366666666666664
Kervin Castro,CHC,27.1
Kervin Castro,SFG,25.5
Kevin Gausman,TOR,30.03333333333333
Kevin Ginkel,ARI,31.1
Kevin Herget,TBR,27.9
Kevin Plawecki,BOS,11.1
Keynan Middleton,ARI,33.13333333333333
Kirby Snead,OAK,26.5
Kirby Yates,ATL,30.8
Kirk McCarty,CLE,26.119999999999997
Kodi Whitley,STL,26.399999999999995
Kody Clemens,DET,6.675000000000001
Kohei Arihara,TEX,20.55
Kolby Allard,TEX,27.52
Konnor Pilkington,CLE,24.46
Kris Bubic,KCR,24.21666666666667
Kutter Crawford,BOS,25.880000000000003
Kyle Barraclough,LAA,30.9
Kyle Bradish,BAL,27.166666666666668
Kyle Crick,CHW,33.4
Kyle Dowdy,CIN,17.9
Kyle Finnegan,WSN,28.7
Kyle Freeland,COL,25.0
Kyle Gibson,PHI,26.183333333333334
Kyle Hendricks,CHC,28.75
Kyle Muller,ATL,27.866666666666664
Kyle Nelson,ARI,26.650000000000002
Kyle Tyler,SDP,25.0
Kyle Wright,ATL,29.933333333333334
Lance Lynn,CHW,26.825
Lance McCullers Jr.,HOU,28.3
Liam Hendriks,CHW,32.65
Locke St. John,CHC,34.5
Logan Allen,CLE,29.6
Logan Allen,BAL,17.9
Logan Gilbert,SEA,25.03333333333333
Logan Gillaspie,BAL,26.85
Logan Webb,SFG,29.5
Lou Trivino,NYY,28.299999999999997
Lou Trivino,OAK,26.675
Louie Varland,MIN,26.3
Louis Head,BAL,23.2
Louis Head,MIA,23.900000000000002
Lucas Gilbreath,COL,27.660000000000004
Lucas Giolito,CHW,29.666666666666668
Lucas Luetge,NYY,27.866666666666664
Lucas Sims,CIN,25.65
Luis Castillo,CIN,27.633333333333336
Luis Castillo,SEA,29.299999999999997
Luis Castillo (DET),DET,24.65
Luis Cessa,CIN,24.933333333333334
Luis Frias,ARI,23.75
Luis Garcia,HOU,28.599999999999998
Luis Garcia (SDP),SDP,29.650000000000002
Luis Gil,NYY,28.9
Luis Gonzalez,SFG,13.9
Luis Ortiz,PIT,31.6
