Name,Team,WAR
Brusdar Graterol,LAD,0.13333333333333333
Bryan Abreu,HOU,0.2333333333333333
Bryan Baker,BAL,0.25
Bryan Garcia,DET,-0.03333333333333333
Bryan Hoeing,MIA,-0.2
Bryan Shaw,CLE,-0.06666666666666667
Bryce Elder,ATL,0.26666666666666666
Bryce Montes de Oca,NYM,0.1
Bryse Wilson,PIT,0.016666666666666663
Bubby Rossman,PHI,-0.1
Buck Farmer,CIN,0.22000000000000003
Cade Cavalli,WSN,0.1
Cal Quantrill,CLE,0.3833333333333333
Caleb Ferguson,LAD,0.08
Caleb Kilian,CHC,0.0
Caleb Smith,ARI,-0.11666666666666668
Caleb Thielbar,MIN,0.26666666666666666
Calvin Faucher,TBR,-0.025
Cam Alldred,PIT,0.0
Cam Vieaux,PIT,0.03333333333333333
Camilo Doval,SFG,0.21666666666666667
Carl Edwards Jr.,WSN,0.02
Carlos Carrasco,NYM,0.4166666666666667
Carlos Estevez,COL,0.08333333333333333
Carlos Hernandez,KCR,-0.04
Carlos Rodon,SFG,1.0666666666666667
Carson Kelly,ARI,-0.025
Casey Lawrence,TOR,-0.1
Casey Mize,DET,0.1
Cesar Valdez,LAA,0.0
Chad Green,NYY,0.15
Chad Kuhl,COL,0.13333333333333333
Chad Pinder,OAK,0.0
Chad Smith,COL,-0.025
Charlie Culberson,TEX,0.0
Charlie Morton,ATL,0.2333333333333333
Chase Anderson,CIN,0.0
Chase De Jong,PIT,-0.016666666666666663
Chase Silseth,LAA,-0.10000000000000002
Chasen Shreve,NYM,-0.05
Chi Chi Gonzalez,- - -,-0.2
Chi Chi Gonzalez,NYY,0.1
Chi Chi Gonzalez,MIL,-0.1
Chris Archer,MIN,0.08333333333333333
Chris Bassitt,NYM,0.4666666666666666
Chris Devenski,PHI,0.0
Chris Devenski,ARI,0.0
Chris Ellis,BAL,-0.1
Chris Flexen,SEA,0.13333333333333333
Chris Martin,CHC,0.125
Chris Martin,LAD,0.6
Chris Mazza,TBR,-0.5
Chris Owings,BAL,0.0
Chris Paddack,MIN,0.44999999999999996
Chris Sale,BOS,0.2
Chris Stratton,PIT,0.1
Chris Stratton,STL,0.1
Christian Bethancourt,TBR,0.0
Christian Bethancourt,OAK,0.0
Cionel Perez,BAL,0.13333333333333333
Clarke Schmidt,NYY,0.03333333333333333
Clay Holmes,NYY,0.18333333333333335
Clayton Kershaw,LAD,0.6666666666666666
Cody Morris,CLE,0.1
Cody Poteet,MIA,0.0
Cody Sedlock,BAL,0.0
Cody Stashak,MIN,0.2
Cole Irvin,OAK,0.26666666666666666
Cole Ragans,TEX,0.15
Cole Sands,MIN,-0.025
Cole Sulser,MIA,0.0
Cole Waites,SFG,-0.1
Colin Holderman,PIT,-0.1
Colin Holderman,NYM,0.13333333333333333
Colin Poche,TBR,-0.06666666666666667
Collin McHugh,ATL,0.2333333333333333
Collin Snider,KCR,-0.02
Collin Wiles,OAK,0.0
Conner Menez,CHC,0.0
Connor Brogdon,PHI,0.09999999999999999
Connor Overton,CIN,0.2333333333333333
Connor Sadzeck,MIL,-0.1
Connor Seabold,BOS,-0.06666666666666667
Cooper Criswell,TBR,0.1
Corbin Burnes,MIL,0.75
Corbin Martin,ARI,-0.033333333333333326
Corey Dickerson,STL,0.0
Corey Kluber,TBR,0.5166666666666667
Corey Knebel,PHI,-0.02
Cory Abbott,WSN,-0.1
Craig Kimbrel,LAD,0.13333333333333333
Craig Stammen,SDP,-0.06000000000000001
Cristian Javier,HOU,0.5833333333333334
Cristofer Ogando,TBR,0.0
Cristopher Sanchez,PHI,-0.016666666666666666
DL Hall,BAL,0.2
Dakota Hudson,STL,0.15
Dallas Keuchel,CHW,-0.15000000000000002
Dallas Keuchel,ARI,0.0
Dallas Keuchel,TEX,0.05
Damon Jones,PHI,0.0
Dane Dunning,TEX,0.16666666666666666
Daniel Bard,COL,0.31666666666666665
Daniel Castano,MIA,0.0
Daniel Duarte,CIN,-0.1
Daniel Hudson,LAD,0.26666666666666666
Daniel Lynch,KCR,0.13333333333333333
Daniel Mengden,KCR,0.05
Daniel Norris,DET,0.0
Daniel Norris,CHC,-0.1
Danny Coulombe,MIN,0.05
Danny Young,ATL,0.0
Danny Young,SEA,0.0
Dany Jimenez,OAK,0.125
Darick Hall,PHI,0.0
