#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
126,Jose Quintana,- - -,165.2,492,86.5,114.9,9.9,27,5.5%,176,35.8%,2.93,3.86,2022.0,2022-01-01
127,Joe Mantiply,ARI,60.0,173,86.5,110.9,5.4,7,4.0%,64,37.0%,2.85,3.22,2022.0,2022-01-01
128,Junior Fernandez,- - -,18.2,57,86.5,108.8,1.7,2,3.5%,20,35.1%,2.41,3.97,2022.0,2022-01-01
129,Austin Davis,- - -,56.0,162,86.5,108.8,16.9,12,7.4%,50,30.9%,5.79,4.59,2022.0,2022-01-01
130,Nick Sandlin,CLE,44.0,112,86.5,110.2,8.0,5,4.5%,42,37.5%,2.25,3.36,2022.0,2022-01-01
131,Yimi Garcia,TOR,61.0,169,86.5,114.0,18.9,11,6.5%,56,33.1%,3.10,2.90,2022.0,2022-01-01
132,Nick Martinez,SDP,106.1,308,86.5,111.4,11.5,25,8.1%,114,37.0%,3.47,3.83,2022.0,2022-01-01
133,Jose Leclerc,TEX,47.2,120,86.6,110.3,24.2,8,6.7%,39,32.5%,2.83,3.17,2022.0,2022-01-01
134,Jimmy Lambert,CHW,47.0,134,86.6,114.0,18.1,6,4.5%,43,32.1%,3.26,3.05,2022.0,2022-01-01
135,Ian Gibaut,- - -,36.0,93,86.6,109.1,14.9,4,4.3%,36,38.7%,4.50,3.27,2022.0,2022-01-01
136,Tyler Holton,ARI,9.0,30,86.6,108.7,21.5,1,3.3%,11,36.7%,3.00,3.54,2022.0,2022-01-01
137,Collin McHugh,ATL,69.1,178,86.6,108.9,15.3,9,5.1%,55,30.9%,2.60,3.05,2022.0,2022-01-01
138,Cesar Valdez,LAA,1.0,5,86.6,99.2,-4.5,0,0.0%,2,40.0%,9.00,5.04,2022.0,2022-01-01
139,Stephen Strasburg,WSN,4.2,15,86.6,108.1,16.2,1,6.7%,5,33.3%,13.50,4.78,2022.0,2022-01-01
140,Bryan Abreu,HOU,60.1,130,86.6,109.6,12.8,5,3.8%,42,32.3%,1.94,2.96,2022.0,2022-01-01
141,Dustin May,LAD,30.0,79,86.6,110.5,4.7,4,5.1%,26,32.9%,4.50,3.67,2022.0,2022-01-01
142,Seth Martinez,HOU,38.2,102,86.6,112.0,15.4,6,5.9%,33,32.4%,2.09,2.76,2022.0,2022-01-01
143,Beau Sulser,- - -,22.1,70,86.6,108.5,9.0,4,5.7%,26,37.1%,3.63,3.22,2022.0,2022-01-01
144,Dennis Santana,TEX,58.2,169,86.6,112.6,9.7,8,4.7%,56,33.1%,5.22,3.89,2022.0,2022-01-01
145,Wade Miley,CHC,37.0,115,86.7,115.0,10.3,6,5.2%,41,35.7%,3.16,3.86,2022.0,2022-01-01
146,Edward Cabrera,MIA,71.2,174,86.7,115.6,12.7,15,8.6%,58,33.3%,3.01,4.05,2022.0,2022-01-01
147,Alexis Diaz,CIN,63.2,134,86.7,109.8,21.0,10,7.5%,44,32.8%,1.84,2.76,2022.0,2022-01-01
148,Austin Adams,SDP,2.1,4,86.7,98.4,-8.9,0,0.0%,2,50.0%,0.00,3.78,2022.0,2022-01-01
149,Jalen Beeks,TBR,61.0,156,86.7,112.4,9.6,13,8.3%,58,37.2%,2.80,3.70,2022.0,2022-01-01
150,Domingo Acevedo,OAK,67.2,188,86.7,111.4,14.0,14,7.4%,61,32.4%,3.33,3.46,2022.0,2022-01-01
151,Marco Gonzales,SEA,183.0,623,86.7,111.2,14.5,45,7.2%,215,34.5%,4.13,4.59,2022.0,2022-01-01
152,Julio Urias,LAD,175.0,477,86.7,113.0,17.2,32,6.7%,144,30.2%,2.16,2.81,2022.0,2022-01-01
153,Trevor Gott,MIL,45.2,127,86.7,111.8,13.3,10,7.9%,40,31.5%,4.14,2.94,2022.0,2022-01-01
154,Drew Smyly,CHC,106.1,325,86.7,114.3,16.3,28,8.6%,112,34.5%,3.47,4.17,2022.0,2022-01-01
155,Brooks Raley,TBR,53.2,137,86.7,109.2,12.3,3,2.2%,39,28.5%,2.68,2.79,2022.0,2022-01-01
156,Joey Krehbiel,BAL,57.2,178,86.8,112.2,13.4,13,7.3%,60,33.7%,3.90,4.08,2022.0,2022-01-01
157,Felix Bautista,BAL,65.2,141,86.8,115.7,14.7,12,8.5%,51,36.2%,2.19,2.66,2022.0,2022-01-01
158,Steven Okert,MIA,51.1,125,86.8,111.8,19.9,7,5.6%,37,29.6%,2.81,3.22,2022.0,2022-01-01
159,Pierce Johnson,SDP,14.1,35,86.8,105.7,9.9,0,0.0%,14,40.0%,5.02,2.64,2022.0,2022-01-01
160,Yunior Marte,SFG,48.0,142,86.8,109.7,9.5,5,3.5%,53,37.3%,5.44,3.83,2022.0,2022-01-01
