#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
411,Erasmo Ramirez,WSN,86.1,266,88.7,115.2,11.9,13,4.9%,95,35.7%,2.92,3.49,2022.0,2022-01-01
412,Chi Chi Gonzalez,- - -,23.0,77,88.7,114.4,12.6,7,9.1%,31,40.3%,5.87,5.67,2022.0,2022-01-01
413,Tyler Kinley,COL,24.0,66,88.7,108.7,13.8,1,1.5%,28,42.4%,0.75,2.57,2022.0,2022-01-01
414,Ken Waldichuk,OAK,34.2,99,88.7,112.9,16.9,12,12.1%,37,37.4%,4.93,4.59,2022.0,2022-01-01
415,Louie Varland,MIN,26.0,78,88.7,112.6,14.8,5,6.4%,32,41.0%,3.81,4.56,2022.0,2022-01-01
416,Lou Trivino,- - -,53.2,155,88.7,112.4,6.8,11,7.1%,73,47.1%,4.53,4.37,2022.0,2022-01-01
417,Nick Lodolo,CIN,103.1,252,88.7,111.9,11.9,23,9.1%,97,38.5%,3.66,3.97,2022.0,2022-01-01
418,Luke Bard,- - -,15.0,42,88.7,105.9,14.5,2,4.8%,14,33.3%,1.80,5.60,2022.0,2022-01-01
419,Brendon Little,CHC,0.2,4,88.7,102.6,-3.5,1,25.0%,2,50.0%,40.50,9.59,2022.0,2022-01-01
420,Juan Minaya,MIN,9.2,26,88.7,111.4,4.5,0,0.0%,9,34.6%,5.59,3.17,2022.0,2022-01-01
421,Tyler Mahle,- - -,120.2,332,88.7,113.0,17.9,25,7.5%,127,38.3%,4.40,3.49,2022.0,2022-01-01
422,Tyler Beede,- - -,61.1,212,88.7,112.5,9.1,11,5.2%,90,42.5%,5.14,4.84,2022.0,2022-01-01
423,Craig Stammen,SDP,40.2,130,88.7,111.3,6.9,9,6.9%,47,36.2%,4.43,4.08,2022.0,2022-01-01
424,Carlos Hernandez,KCR,56.0,199,88.7,110.9,14.5,16,8.0%,76,38.2%,7.39,5.28,2022.0,2022-01-01
425,Luis Patino,TBR,20.0,73,88.7,109.5,17.0,7,9.6%,23,31.5%,8.10,5.21,2022.0,2022-01-01
426,Logan Gillaspie,BAL,17.1,59,88.7,110.0,10.3,2,3.4%,26,44.1%,3.12,5.53,2022.0,2022-01-01
427,Jose Suarez,LAA,109.0,322,88.7,114.2,12.0,27,8.4%,123,38.2%,3.96,3.67,2022.0,2022-01-01
428,Bennett Sousa,CHW,20.1,73,88.7,111.0,6.2,5,6.8%,31,42.5%,8.41,4.23,2022.0,2022-01-01
429,Nicholas Padilla,CHC,1.2,6,88.8,102.5,11.0,0,0.0%,3,50.0%,5.40,6.09,2022.0,2022-01-01
430,Eric Lauer,MIL,158.2,443,88.8,116.0,17.7,35,7.9%,167,37.7%,3.69,4.02,2022.0,2022-01-01
431,Drew Steckenrider,SEA,14.1,53,88.8,110.5,16.5,6,11.3%,20,37.7%,5.65,8.33,2022.0,2022-01-01
432,Yerry De Los Santos,PIT,25.2,74,88.8,109.4,9.3,9,12.2%,29,39.2%,4.91,4.68,2022.0,2022-01-01
433,Matt Brash,SEA,50.2,125,88.8,117.6,6.7,6,4.8%,48,38.4%,4.44,4.53,2022.0,2022-01-01
434,Dillon Peters,PIT,39.1,122,88.8,110.8,13.8,8,6.6%,44,36.1%,4.58,4.49,2022.0,2022-01-01
435,Dallas Keuchel,- - -,60.2,227,88.8,113.7,5.5,20,8.8%,88,38.8%,9.20,5.49,2022.0,2022-01-01
436,Wily Peralta,DET,38.1,111,88.8,111.9,11.1,5,4.5%,43,38.7%,2.58,4.14,2022.0,2022-01-01
437,Joey Wentz,DET,32.2,94,88.8,109.4,12.9,7,7.4%,33,35.1%,3.03,3.62,2022.0,2022-01-01
438,Lucas Giolito,CHW,161.2,456,88.8,117.4,12.6,34,7.5%,178,39.0%,4.90,4.23,2022.0,2022-01-01
439,Devin Smeltzer,MIN,70.1,227,88.8,112.3,16.2,16,7.0%,88,38.8%,3.71,4.34,2022.0,2022-01-01
440,Garrett Whitlock,BOS,78.1,213,88.8,113.0,15.3,17,8.0%,83,39.0%,3.45,3.17,2022.0,2022-01-01
441,Ryan Helsley,STL,64.2,125,88.8,112.0,22.2,11,8.8%,49,39.2%,1.25,2.04,2022.0,2022-01-01
442,Jarlin Garcia,SFG,65.0,195,88.8,111.9,16.7,21,10.8%,81,41.5%,3.74,4.28,2022.0,2022-01-01
443,Ryan Hendrix,CIN,8.1,21,88.8,98.9,9.1,0,0.0%,7,33.3%,5.40,2.66,2022.0,2022-01-01
444,Phil Bickford,LAD,61.0,164,88.8,113.0,18.4,19,11.6%,57,34.8%,4.72,3.46,2022.0,2022-01-01
445,Oliver Perez,ARI,4.0,21,88.8,106.4,16.0,2,9.5%,6,28.6%,15.75,6.21,2022.0,2022-01-01
446,Sam Hentges,CLE,62.0,151,88.8,113.2,-0.2,8,5.3%,53,35.1%,2.32,2.79,2022.0,2022-01-01
447,Garrett Hill,DET,60.1,190,88.8,113.5,18.7,18,9.5%,73,38.4%,4.03,5.75,2022.0,2022-01-01
448,Tayler Scott,SDP,12.0,40,88.8,111.9,11.8,2,5.0%,16,40.0%,6.75,4.87,2022.0,2022-01-01
449,Bryan Garcia,DET,20.1,54,88.8,110.1,15.2,7,13.0%,20,37.0%,3.54,5.31,2022.0,2022-01-01
450,Connor Sadzeck,MIL,3.0,10,88.8,107.6,35.9,2,20.0%,4,40.0%,9.00,8.28,2022.0,2022-01-01
451,Brandon Hughes,CHC,57.2,144,88.8,112.4,19.0,16,11.1%,54,37.5%,3.12,3.86,2022.0,2022-01-01
452,Ryne Stanek,HOU,54.2,131,88.9,109.5,15.0,5,3.8%,54,41.2%,1.15,3.19,2022.0,2022-01-01
453,Tyler Alexander,DET,101.0,340,88.9,113.4,16.9,38,11.2%,128,37.6%,4.81,5.42,2022.0,2022-01-01
454,Ross Stripling,TOR,134.1,403,88.9,115.8,12.2,37,9.2%,150,37.2%,3.01,3.57,2022.0,2022-01-01
455,Elvis Peguero,LAA,17.1,60,88.9,110.0,8.0,5,8.3%,20,33.3%,7.27,5.11,2022.0,2022-01-01
456,Tyler Gilbert,ARI,34.1,115,88.9,111.6,19.1,13,11.3%,48,41.7%,5.24,6.74,2022.0,2022-01-01
457,Daniel Duarte,CIN,2.2,9,88.9,103.6,36.7,1,11.1%,5,55.6%,10.13,6.53,2022.0,2022-01-01
458,Zack Greinke,KCR,137.0,482,88.9,111.7,12.6,33,6.8%,191,39.6%,3.68,4.78,2022.0,2022-01-01
459,Dylan Bundy,MIN,140.0,470,88.9,116.0,18.6,42,8.9%,180,38.3%,4.89,4.34,2022.0,2022-01-01
460,Tyler Matzek,ATL,43.2,117,88.9,113.0,20.5,9,7.7%,45,38.5%,3.50,4.25,2022.0,2022-01-01
461,William Woods,ATL,2.0,5,88.9,97.7,24.2,0,0.0%,1,20.0%,0.00,2.41,2022.0,2022-01-01
462,Drey Jameson,ARI,24.1,66,88.9,107.9,3.2,5,7.6%,32,48.5%,1.48,4.49,2022.0,2022-01-01
463,Logan Webb,SFG,192.1,568,88.9,112.3,3.1,31,5.5%,221,38.9%,2.90,3.59,2022.0,2022-01-01
464,Easton McGee,TBR,3.0,13,88.9,104.6,22.2,0,0.0%,5,38.5%,0.00,3.19,2022.0,2022-01-01
465,Hirokazu Sawamura,BOS,50.2,154,88.9,111.6,8.8,11,7.1%,69,44.8%,3.73,4.31,2022.0,2022-01-01
466,Will Smith,- - -,59.0,169,88.9,112.8,17.5,10,5.9%,70,41.4%,3.97,3.57,2022.0,2022-01-01
467,Alex Young,- - -,26.2,83,88.9,109.8,7.3,2,2.4%,32,38.6%,2.36,3.64,2022.0,2022-01-01
468,Drew Rasmussen,TBR,146.0,425,88.9,114.8,10.1,28,6.6%,161,37.9%,2.84,3.46,2022.0,2022-01-01
469,Jakob Junis,SFG,112.0,351,88.9,111.6,12.1,26,7.4%,133,37.9%,4.42,4.17,2022.0,2022-01-01
470,Christian Bethancourt,- - -,4.0,17,88.9,105.2,25.9,1,5.9%,7,41.2%,2.25,6.57,2022.0,2022-01-01
471,Aneurys Zabala,MIA,2.2,8,88.9,100.9,17.8,0,0.0%,4,50.0%,0.00,10.69,2022.0,2022-01-01
472,Tyler Danish,BOS,40.1,125,89.0,115.2,10.1,13,10.4%,51,40.8%,5.13,6.29,2022.0,2022-01-01
473,Tony Gonsolin,LAD,130.1,340,89.0,114.4,13.8,19,5.6%,117,34.4%,2.14,3.12,2022.0,2022-01-01
474,Joel Payamps,- - -,55.2,182,89.0,113.0,6.5,14,7.7%,79,43.4%,3.23,3.86,2022.0,2022-01-01
475,Keegan Thompson,CHC,115.0,325,89.0,111.3,13.2,28,8.6%,126,38.8%,3.76,4.46,2022.0,2022-01-01
476,Austin Wynns,SFG,2.0,9,89.0,103.3,28.5,1,11.1%,3,33.3%,13.50,4.02,2022.0,2022-01-01
477,Alejo Lopez,CIN,2.2,10,89.0,104.9,37.6,2,20.0%,3,30.0%,6.75,5.60,2022.0,2022-01-01
478,Matt Koch,SEA,4.1,15,89.0,104.8,25.5,2,13.3%,7,46.7%,8.31,5.97,2022.0,2022-01-01
479,Ryan Pressly,HOU,48.1,104,89.0,108.8,9.1,6,5.8%,39,37.5%,2.98,2.62,2022.0,2022-01-01
480,Kevin Ginkel,ARI,29.1,82,89.0,109.7,8.6,4,4.9%,27,32.9%,3.38,2.90,2022.0,2022-01-01
481,Zac Lowther,BAL,5.1,24,89.0,109.8,18.9,1,4.2%,11,45.8%,8.44,6.09,2022.0,2022-01-01
482,Dakota Hudson,STL,139.2,448,89.0,116.9,6.3,27,6.0%,181,40.4%,4.45,5.01,2022.0,2022-01-01
483,Jesus Luzardo,MIA,100.1,243,89.0,111.6,13.2,16,6.6%,95,39.1%,3.32,3.39,2022.0,2022-01-01
484,Luis Garcia,SDP,61.0,169,89.0,114.0,6.6,7,4.1%,65,38.5%,3.39,2.83,2022.0,2022-01-01
485,Kevin Gausman,TOR,174.2,491,89.0,116.6,12.2,40,8.1%,189,38.5%,3.35,3.34,2022.0,2022-01-01
486,Nick Wittgren,STL,29.0,103,89.0,109.2,14.2,1,1.0%,35,34.0%,5.90,4.20,2022.0,2022-01-01
487,Jose Butto,NYM,4.0,16,89.0,107.8,24.8,3,18.8%,7,43.8%,15.75,6.37,2022.0,2022-01-01
488,Carlos Rodon,SFG,178.0,418,89.0,112.5,19.4,27,6.5%,166,39.7%,2.88,2.64,2022.0,2022-01-01
489,Erich Uelmen,CHC,27.0,83,89.0,108.8,6.7,7,8.4%,33,39.8%,4.67,4.05,2022.0,2022-01-01
490,Ryan Pepiot,LAD,36.1,88,89.0,112.4,24.2,9,10.2%,36,40.9%,3.47,4.31,2022.0,2022-01-01
491,Glenn Otto,TEX,135.2,405,89.0,113.0,13.2,36,8.9%,152,37.5%,4.64,5.01,2022.0,2022-01-01
492,Marcus Stroman,CHC,138.2,410,89.0,113.0,7.0,27,6.6%,167,40.7%,3.50,3.94,2022.0,2022-01-01
493,Evan Lee,WSN,8.2,28,89.0,108.5,16.9,1,3.6%,12,42.9%,4.15,6.33,2022.0,2022-01-01
494,Anderson Espinoza,CHC,18.1,46,89.0,108.0,8.1,5,10.9%,15,32.6%,5.40,5.49,2022.0,2022-01-01
495,Clay Holmes,NYY,63.2,166,89.0,112.2,-8.1,3,1.8%,71,42.8%,2.54,2.41,2022.0,2022-01-01
496,Bailey Falter,PHI,84.0,252,89.0,115.9,17.6,21,8.3%,97,38.5%,3.86,4.62,2022.0,2022-01-01
497,Kyle Wright,ATL,180.1,502,89.0,122.4,4.4,34,6.8%,206,41.0%,3.19,3.89,2022.0,2022-01-01
498,Luis Castillo,- - -,150.1,395,89.0,112.4,10.4,27,6.8%,147,37.2%,2.99,3.31,2022.0,2022-01-01
499,Ethan Roberts,CHC,7.2,22,89.1,109.6,13.8,4,18.2%,12,54.5%,8.22,8.91,2022.0,2022-01-01
500,Cade Cavalli,WSN,4.1,12,89.1,101.4,13.3,2,16.7%,4,33.3%,14.54,3.86,2022.0,2022-01-01
501,Daulton Jefferies,OAK,39.1,134,89.1,112.7,11.0,11,8.2%,51,38.1%,5.72,3.75,2022.0,2022-01-01
502,Josh Winder,MIN,67.0,217,89.1,114.1,17.1,22,10.1%,83,38.2%,4.70,5.21,2022.0,2022-01-01
503,Adrian Martinez,OAK,57.2,184,89.1,117.2,14.0,19,10.3%,69,37.5%,6.24,5.38,2022.0,2022-01-01
504,Cionel Perez,BAL,57.2,157,89.1,110.9,5.1,10,6.4%,61,38.9%,1.40,3.62,2022.0,2022-01-01
505,Chris Flexen,SEA,137.2,442,89.1,114.7,18.4,40,9.0%,175,39.6%,3.73,4.62,2022.0,2022-01-01
506,Sean Poppen,ARI,28.2,85,89.1,108.3,16.6,6,7.1%,31,36.5%,4.40,3.57,2022.0,2022-01-01
507,Matt Manning,DET,63.0,195,89.1,112.4,14.8,12,6.2%,72,36.9%,3.43,4.00,2022.0,2022-01-01
508,Davis Martin,CHW,63.1,199,89.1,111.5,17.1,14,7.0%,74,37.2%,4.83,4.71,2022.0,2022-01-01
509,Ronel Blanco,HOU,6.1,20,89.1,107.8,15.8,3,15.0%,8,40.0%,7.11,7.88,2022.0,2022-01-01
510,Clarke Schmidt,NYY,57.2,155,89.1,117.3,13.5,15,9.7%,58,37.4%,3.12,3.51,2022.0,2022-01-01
511,Kyle Dowdy,CIN,6.1,20,89.1,112.9,14.2,1,5.0%,7,35.0%,0.00,4.00,2022.0,2022-01-01
512,Adam Cimber,TOR,70.2,214,89.1,119.8,12.1,11,5.1%,83,38.8%,2.80,3.64,2022.0,2022-01-01
513,Jose Ruiz,CHW,60.2,164,89.1,111.0,12.8,14,8.5%,76,46.3%,4.60,4.31,2022.0,2022-01-01
514,Daniel Norris,- - -,58.2,148,89.1,116.8,12.0,16,10.8%,59,39.9%,5.22,4.49,2022.0,2022-01-01
515,Jake Fishman,MIA,11.0,39,89.2,111.9,7.5,2,5.1%,15,38.5%,4.09,4.17,2022.0,2022-01-01
516,Nick Duron,PHI,1.0,3,89.2,95.6,-4.3,0,0.0%,1,33.3%,0.00,1.89,2022.0,2022-01-01
517,Beau Brieske,DET,81.2,259,89.2,113.2,17.2,27,10.4%,107,41.3%,4.19,5.60,2022.0,2022-01-01
518,Jake Reed,- - -,16.2,53,89.2,107.3,14.3,3,5.7%,25,47.2%,7.02,4.74,2022.0,2022-01-01
519,Yolmer Sanchez,BOS,1.0,6,89.2,106.6,23.2,1,16.7%,2,33.3%,9.00,6.96,2022.0,2022-01-01
520,Ian Anderson,ATL,111.2,341,89.2,113.4,8.4,21,6.2%,138,40.5%,5.00,4.37,2022.0,2022-01-01
521,Tylor Megill,NYM,47.1,135,89.2,110.8,13.5,14,10.4%,47,34.8%,5.13,4.31,2022.0,2022-01-01
522,Konnor Pilkington,CLE,58.0,174,89.2,113.4,13.2,21,12.1%,77,44.3%,3.88,4.81,2022.0,2022-01-01
523,Joe Smith,MIN,27.1,95,89.3,111.4,4.0,10,10.5%,40,42.1%,4.61,5.28,2022.0,2022-01-01
524,Alex Cobb,SFG,149.2,434,89.3,112.9,1.8,16,3.7%,177,40.8%,3.73,3.15,2022.0,2022-01-01
525,Brad Keller,KCR,139.2,456,89.3,112.9,6.7,30,6.6%,189,41.4%,5.09,4.37,2022.0,2022-01-01
526,Brady Singer,KCR,153.1,425,89.3,113.2,8.6,35,8.2%,174,40.9%,3.23,3.97,2022.0,2022-01-01
527,Taijuan Walker,NYM,157.1,466,89.3,115.9,11.3,34,7.3%,186,39.9%,3.49,3.94,2022.0,2022-01-01
528,Reid Detmers,LAA,129.0,363,89.3,114.8,16.7,29,8.0%,139,38.3%,3.77,4.05,2022.0,2022-01-01
529,Paolo Espino,WSN,113.1,369,89.3,113.5,14.4,29,7.9%,152,41.2%,4.84,4.78,2022.0,2022-01-01
530,Joan Adon,WSN,64.2,210,89.3,112.5,7.5,21,10.0%,77,36.7%,7.10,6.01,2022.0,2022-01-01
531,Charlie Morton,ATL,172.0,442,89.3,115.8,13.6,42,9.5%,186,42.1%,4.34,4.11,2022.0,2022-01-01
532,Vladimir Gutierrez,CIN,36.2,120,89.3,111.6,18.6,11,9.2%,51,42.5%,7.61,5.75,2022.0,2022-01-01
533,George Kirby,SEA,130.0,382,89.3,111.5,11.3,33,8.6%,145,38.0%,3.39,3.31,2022.0,2022-01-01
534,Raynel Espinal,CIN,4.2,15,89.3,106.3,12.2,2,13.3%,7,46.7%,7.71,6.66,2022.0,2022-01-01
535,Jacob deGrom,NYM,64.1,129,89.3,111.6,15.2,12,9.3%,41,31.8%,3.08,2.24,2022.0,2022-01-01
536,Tarik Skubal,DET,117.2,327,89.3,113.1,11.3,18,5.5%,129,39.4%,3.52,3.34,2022.0,2022-01-01
537,Jeff Hoffman,CIN,44.2,126,89.3,112.0,22.4,11,8.7%,49,38.9%,3.83,4.20,2022.0,2022-01-01
538,Garrett Richards,TEX,42.2,133,89.3,110.5,8.7,10,7.5%,51,38.3%,5.27,4.40,2022.0,2022-01-01
539,Cole Sands,MIN,30.2,99,89.3,111.8,14.1,7,7.1%,39,39.4%,5.87,4.43,2022.0,2022-01-01
540,Denyi Reyes,BAL,7.2,27,89.3,110.4,12.6,0,0.0%,14,51.9%,2.35,2.24,2022.0,2022-01-01
541,Zach Jackson,OAK,48.0,100,89.4,110.1,21.6,10,10.0%,39,39.0%,3.00,3.59,2022.0,2022-01-01
542,Trevor Richards,TOR,64.0,163,89.4,110.6,17.0,18,11.0%,64,39.3%,5.34,4.62,2022.0,2022-01-01
543,Kevin Plawecki,BOS,1.0,4,89.4,101.1,27.3,1,25.0%,2,50.0%,0.00,11.22,2022.0,2022-01-01
544,Reese McGuire,BOS,1.0,3,89.4,97.1,17.6,0,0.0%,1,33.3%,0.00,2.37,2022.0,2022-01-01
545,Tanner Rainey,WSN,30.0,79,89.4,113.1,22.5,8,10.1%,34,43.0%,3.30,3.97,2022.0,2022-01-01
546,J.P. Feyereisen,TBR,24.1,56,89.4,110.1,24.9,4,7.1%,22,39.3%,0.00,2.43,2022.0,2022-01-01
547,Elieser Hernandez,MIA,62.1,192,89.4,112.8,24.1,25,13.0%,69,35.9%,6.35,4.81,2022.0,2022-01-01
548,Andre Pallante,STL,108.0,343,89.4,113.7,-3.3,11,3.2%,144,42.0%,3.17,3.78,2022.0,2022-01-01
549,Angel Rondon,STL,5.0,13,89.4,103.1,26.4,0,0.0%,3,23.1%,0.00,3.46,2022.0,2022-01-01
550,Domingo German,NYY,72.1,217,89.4,110.3,16.7,15,6.9%,88,40.6%,3.61,3.78,2022.0,2022-01-01
551,Cole Irvin,OAK,181.0,570,89.4,113.8,15.5,55,9.6%,225,39.5%,3.98,4.40,2022.0,2022-01-01
552,Dany Jimenez,OAK,34.1,93,89.4,109.8,16.2,4,4.3%,40,43.0%,3.41,2.81,2022.0,2022-01-01
553,Trevor May,NYM,25.0,72,89.4,111.0,19.5,7,9.7%,32,44.4%,5.04,3.64,2022.0,2022-01-01
554,Gerrit Cole,NYY,200.2,484,89.4,112.4,12.6,46,9.5%,193,39.9%,3.50,3.31,2022.0,2022-01-01
555,Luis Severino,NYY,102.0,259,89.4,113.8,11.0,18,6.9%,107,41.3%,3.18,2.94,2022.0,2022-01-01
556,Reynaldo Lopez,CHW,65.1,179,89.4,119.1,15.3,9,5.0%,69,38.5%,2.76,2.92,2022.0,2022-01-01
557,Jake Brentz,KCR,5.1,18,89.4,114.1,18.2,1,5.6%,7,38.9%,23.63,10.88,2022.0,2022-01-01
558,Andrew Vasquez,- - -,8.2,22,89.4,111.3,6.2,1,4.5%,9,40.9%,6.23,4.74,2022.0,2022-01-01
559,Erick Fedde,WSN,127.0,421,89.4,112.2,13.3,33,7.8%,182,43.2%,5.81,5.45,2022.0,2022-01-01
560,Max Meyer,MIA,6.0,18,89.4,109.0,13.1,3,16.7%,8,44.4%,7.50,5.45,2022.0,2022-01-01
561,Touki Toussaint,LAA,25.1,59,89.4,113.5,9.9,2,3.4%,22,37.3%,4.62,4.02,2022.0,2022-01-01
562,Braxton Garrett,MIA,88.0,249,89.4,112.8,9.0,18,7.2%,96,38.6%,3.58,4.05,2022.0,2022-01-01
563,Sean Hjelle,SFG,25.0,78,89.5,109.6,3.2,5,6.4%,35,44.9%,5.76,4.23,2022.0,2022-01-01
564,Nate Fisher,NYM,3.0,8,89.5,102.0,30.8,0,0.0%,2,25.0%,0.00,2.85,2022.0,2022-01-01
565,Zach Plesac,CLE,131.2,425,89.5,114.4,13.0,41,9.6%,174,40.9%,4.31,5.28,2022.0,2022-01-01
566,Chasen Shreve,NYM,26.1,75,89.5,114.0,14.9,9,12.0%,30,40.0%,6.49,4.91,2022.0,2022-01-01
567,Andres Machado,WSN,59.1,187,89.5,115.8,9.9,16,8.6%,79,42.2%,3.34,5.31,2022.0,2022-01-01
568,JoJo Romero,- - -,16.1,40,89.5,110.9,2.7,4,10.0%,16,40.0%,4.96,4.84,2022.0,2022-01-01
569,Taylor Clarke,KCR,49.0,146,89.5,109.2,19.1,9,6.2%,57,39.0%,4.04,3.15,2022.0,2022-01-01
570,Zach Logue,OAK,57.0,193,89.5,111.1,19.4,24,12.4%,80,41.5%,6.79,5.97,2022.0,2022-01-01
571,Chris Archer,MIN,102.2,302,89.5,111.6,11.0,26,8.6%,133,44.0%,4.56,4.81,2022.0,2022-01-01
572,Humberto Castellanos,ARI,44.1,146,89.5,113.0,16.0,10,6.8%,55,37.7%,5.68,5.35,2022.0,2022-01-01
573,Willians Astudillo,MIA,2.0,5,89.5,98.7,15.2,0,0.0%,1,20.0%,0.00,13.67,2022.0,2022-01-01
574,Brett Martin,TEX,50.0,154,89.5,111.2,6.4,8,5.2%,61,39.6%,4.14,3.83,2022.0,2022-01-01
575,Luis Perdomo,MIL,23.2,80,89.5,112.1,2.2,7,8.8%,41,51.3%,3.80,4.91,2022.0,2022-01-01
576,Jeff Brigham,MIA,24.0,63,89.5,110.1,23.4,4,6.3%,21,33.3%,3.38,3.94,2022.0,2022-01-01
577,David Price,LAD,40.1,121,89.5,112.8,6.8,9,7.4%,46,38.0%,2.45,3.83,2022.0,2022-01-01
578,Kirk McCarty,CLE,37.2,119,89.5,108.1,17.0,13,10.9%,45,37.8%,4.54,5.31,2022.0,2022-01-01
579,Stephen Nogosek,NYM,22.0,66,89.5,112.1,19.4,5,7.6%,25,37.9%,2.45,3.89,2022.0,2022-01-01
580,Taylor Hearn,TEX,100.0,306,89.5,111.9,15.1,30,9.8%,123,40.2%,5.13,4.81,2022.0,2022-01-01
581,Josh Winckowski,BOS,70.1,243,89.5,112.4,5.3,24,9.9%,112,46.1%,5.89,4.84,2022.0,2022-01-01
582,Kody Clemens,DET,7.0,31,89.6,105.9,17.5,1,3.2%,11,35.5%,3.86,6.05,2022.0,2022-01-01
583,Ryne Nelson,ARI,18.1,47,89.6,109.4,25.8,3,6.4%,17,36.2%,1.47,2.24,2022.0,2022-01-01
584,Carlos Estevez,COL,57.0,157,89.6,110.2,17.6,12,7.6%,61,38.9%,3.47,4.17,2022.0,2022-01-01
585,Emilio Pagan,MIN,63.0,163,89.6,113.8,12.7,16,9.8%,72,44.2%,4.43,3.91,2022.0,2022-01-01
586,Richard Bleier,MIA,50.2,179,89.6,111.9,4.3,8,4.5%,73,40.8%,3.55,3.78,2022.0,2022-01-01
587,Tucker Davidson,- - -,52.0,172,89.6,114.4,10.8,9,5.2%,68,39.5%,6.75,4.84,2022.0,2022-01-01
588,Collin Snider,KCR,34.1,112,89.6,113.0,6.9,8,7.1%,49,43.8%,6.55,6.01,2022.0,2022-01-01
589,JT Brubaker,PIT,144.0,436,89.6,116.9,10.8,33,7.6%,179,41.1%,4.69,4.56,2022.0,2022-01-01
590,Jose Urquidy,HOU,164.1,502,89.7,119.1,17.2,47,9.4%,205,40.8%,3.94,4.56,2022.0,2022-01-01
591,R.J. Alvarez,NYM,2.1,8,89.7,109.3,17.9,2,25.0%,2,25.0%,11.57,21.94,2022.0,2022-01-01
592,Mark Melancon,ARI,56.0,190,89.7,109.7,10.9,13,6.8%,74,38.9%,4.66,4.78,2022.0,2022-01-01
593,Jhoulys Chacin,COL,47.1,159,89.7,112.3,12.0,13,8.2%,66,41.5%,7.61,4.74,2022.0,2022-01-01
594,Kutter Crawford,BOS,77.1,226,89.7,116.8,17.1,20,8.8%,88,38.9%,5.47,4.62,2022.0,2022-01-01
595,Tanner Houck,BOS,60.0,163,89.7,112.5,4.5,8,4.9%,64,39.3%,3.15,3.86,2022.0,2022-01-01
596,David Peterson,NYM,105.2,273,89.7,112.1,8.1,21,7.7%,113,41.4%,3.83,3.94,2022.0,2022-01-01
597,Luis Cessa,CIN,80.2,247,89.7,113.7,8.4,23,9.3%,106,42.9%,4.57,4.43,2022.0,2022-01-01
598,Nathan Eovaldi,BOS,109.1,336,89.7,116.3,10.7,36,10.7%,151,44.9%,3.87,4.31,2022.0,2022-01-01
599,Kevin Herget,TBR,7.0,26,89.7,110.3,17.2,4,15.4%,10,38.5%,7.71,2.90,2022.0,2022-01-01
600,Hector Neris,HOU,65.1,161,89.7,112.9,16.6,11,6.8%,72,44.7%,3.72,3.29,2022.0,2022-01-01
601,Chris Stratton,- - -,63.1,192,89.7,111.7,12.8,11,5.7%,79,41.1%,4.26,4.14,2022.0,2022-01-01
602,Robbie Ray,SEA,189.0,494,89.7,111.7,14.7,39,7.9%,193,39.1%,3.71,3.59,2022.0,2022-01-01
603,Tony Santillan,CIN,19.2,59,89.7,107.3,17.9,2,3.4%,23,39.0%,5.49,4.56,2022.0,2022-01-01
604,Anderson Severino,CHW,7.1,19,89.7,106.5,-3.9,1,5.3%,10,52.6%,6.14,4.08,2022.0,2022-01-01
605,Ryan Feltner,COL,97.1,304,89.7,114.7,13.2,25,8.2%,130,42.8%,5.83,4.91,2022.0,2022-01-01
606,Chris Mazza,TBR,5.1,22,89.7,108.5,14.1,3,13.6%,11,50.0%,11.81,13.51,2022.0,2022-01-01
607,Hunter Greene,CIN,125.2,309,89.7,113.6,20.7,29,9.4%,124,40.1%,4.44,4.00,2022.0,2022-01-01
608,Logan Allen,- - -,7.2,27,89.8,109.5,14.5,3,11.1%,10,37.0%,5.87,6.37,2022.0,2022-01-01
609,Hunter Strickland,CIN,62.1,184,89.8,112.5,17.6,18,9.8%,68,37.0%,4.91,5.38,2022.0,2022-01-01
610,Bryan Baker,BAL,69.2,186,89.8,109.1,13.3,9,4.8%,77,41.4%,3.49,3.22,2022.0,2022-01-01
611,Jake Diekman,- - -,57.2,140,89.8,112.0,15.9,10,7.1%,55,39.3%,4.99,4.25,2022.0,2022-01-01
612,Giovanny Gallegos,STL,59.0,144,89.8,113.7,24.0,13,9.0%,51,35.4%,3.05,2.92,2022.0,2022-01-01
613,Framber Valdez,HOU,201.1,555,89.8,118.4,-3.6,32,5.8%,230,41.4%,2.82,3.31,2022.0,2022-01-01
614,Kyle Freeland,COL,174.2,566,89.8,115.2,12.7,55,9.7%,238,42.0%,4.53,5.11,2022.0,2022-01-01
615,Michael Rucker,CHC,54.2,159,89.8,118.4,13.4,13,8.2%,59,37.1%,3.95,3.64,2022.0,2022-01-01
616,Domingo Tapia,OAK,17.0,63,89.9,111.3,10.5,3,4.8%,25,39.7%,8.47,4.91,2022.0,2022-01-01
617,Ross Detwiler,CIN,26.1,81,89.9,110.1,13.4,7,8.6%,33,40.7%,4.44,5.42,2022.0,2022-01-01
618,Shane Bieber,CLE,200.0,555,89.9,110.2,10.0,40,7.2%,238,42.9%,2.88,3.51,2022.0,2022-01-01
619,Kyle Bradish,BAL,117.2,345,89.9,114.7,8.7,27,7.8%,140,40.6%,4.90,4.49,2022.0,2022-01-01
