#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Year,YearDate
394,Stefan Crichton,ARI,.370,1.19,16.7%,45.2%,38.1%,25.0%,9.4%,2,0.77,157,246,403,41.7%,27.4%,31.0%,21.4%,38.1%,40.5%,2021.0,2021-01-01
395,Mitch Keller,PIT,.388,1.19,25.6%,40.4%,34.1%,4.6%,9.3%,44,3.93,701,1157,1858,31.7%,37.3%,31.1%,13.0%,50.9%,36.0%,2021.0,2021-01-01
396,Zach Plesac,CLE,.263,1.18,16.6%,45.3%,38.2%,8.1%,13.3%,79,4.98,748,1457,2205,43.2%,37.1%,19.7%,12.1%,54.8%,33.1%,2021.0,2021-01-01
397,Adrian Sampson,CHC,.232,1.18,18.6%,44.1%,37.3%,2.6%,21.1%,20,5.09,205,349,554,43.7%,34.0%,22.3%,12.6%,55.3%,32.0%,2021.0,2021-01-01
398,Yency Almonte,COL,.297,1.18,21.3%,42.6%,36.0%,4.1%,18.4%,32,6.04,363,508,871,37.2%,40.1%,22.6%,13.1%,54.7%,32.1%,2021.0,2021-01-01
399,Zac Gallen,ARI,.286,1.18,19.4%,43.7%,36.9%,6.7%,15.8%,63,4.67,795,1307,2102,39.7%,37.6%,22.7%,13.3%,49.4%,37.3%,2021.0,2021-01-01
400,Jordan Romano,TOR,.252,1.18,13.5%,46.8%,39.7%,10.7%,12.5%,25,3.57,360,671,1031,39.4%,35.9%,24.6%,18.3%,56.3%,25.4%,2021.0,2021-01-01
401,Jake Woodford,STL,.291,1.18,23.6%,41.3%,35.1%,2.7%,9.6%,21,2.79,451,705,1156,36.7%,34.8%,28.6%,13.3%,52.9%,33.8%,2021.0,2021-01-01
402,Connor Brogdon,PHI,.256,1.18,18.2%,44.2%,37.6%,19.4%,9.7%,37,5.77,328,595,923,46.4%,34.9%,18.7%,21.7%,51.8%,26.5%,2021.0,2021-01-01
403,Steven Brault,PIT,.326,1.18,19.6%,43.5%,37.0%,2.9%,8.8%,4,1.30,183,315,498,45.3%,30.5%,24.2%,18.9%,42.1%,38.9%,2021.0,2021-01-01
404,Ryan Weathers,SDP,.293,1.18,18.7%,43.9%,37.4%,14.8%,18.5%,47,4.47,604,1013,1617,39.2%,36.5%,24.3%,17.2%,44.9%,37.8%,2021.0,2021-01-01
405,Jordan Montgomery,NYY,.307,1.17,21.0%,42.7%,36.3%,9.9%,11.8%,64,3.66,896,1674,2570,40.1%,37.2%,22.6%,20.6%,48.0%,31.4%,2021.0,2021-01-01
406,T.J. Zeuch,TOR,.294,1.17,12.3%,47.4%,40.4%,0.0%,26.1%,8,4.80,105,181,286,50.9%,33.3%,15.8%,12.3%,47.4%,40.4%,2021.0,2021-01-01
407,Hector Santiago,SEA,.338,1.17,17.1%,44.7%,38.2%,13.8%,6.9%,11,3.76,171,320,491,39.5%,36.8%,23.7%,9.2%,60.5%,30.3%,2021.0,2021-01-01
408,Hector Neris,PHI,.262,1.17,12.6%,47.1%,40.2%,10.0%,17.1%,36,4.36,434,809,1243,46.6%,35.2%,18.2%,21.0%,47.2%,31.8%,2021.0,2021-01-01
409,Danny Coulombe,MIN,.319,1.17,21.6%,42.3%,36.1%,11.4%,14.3%,13,3.41,178,351,529,49.5%,24.2%,26.3%,11.1%,55.6%,33.3%,2021.0,2021-01-01
410,Sean Manaea,OAK,.318,1.17,22.2%,42.0%,35.8%,9.9%,13.8%,102,5.12,962,2018,2980,39.0%,38.0%,22.9%,15.3%,52.4%,32.4%,2021.0,2021-01-01
411,Antonio Santos,COL,.267,1.17,16.1%,45.2%,38.7%,16.7%,8.3%,4,3.18,74,102,176,32.3%,38.7%,29.0%,19.4%,61.3%,19.4%,2021.0,2021-01-01
412,Carlos Carrasco,NYM,.299,1.16,21.4%,42.3%,36.3%,8.2%,19.7%,28,4.70,303,586,889,46.2%,33.7%,20.1%,16.6%,49.1%,34.3%,2021.0,2021-01-01
413,Andrew Chafin,- - -,.232,1.16,16.3%,44.9%,38.8%,10.1%,5.8%,14,1.83,318,629,947,37.0%,32.6%,30.4%,14.9%,55.8%,29.3%,2021.0,2021-01-01
414,Chris Flexen,SEA,.300,1.16,21.0%,42.4%,36.6%,8.7%,9.1%,112,5.61,985,1826,2811,40.9%,32.5%,26.6%,15.7%,51.7%,32.5%,2021.0,2021-01-01
415,Andrew Miller,STL,.367,1.16,18.8%,43.6%,37.6%,2.6%,13.2%,4,1.00,220,400,620,45.6%,32.0%,22.3%,23.3%,38.8%,37.9%,2021.0,2021-01-01
416,Jon Heasley,KCR,.267,1.16,14.6%,45.8%,39.6%,21.1%,15.8%,9,5.52,102,148,250,43.8%,29.2%,27.1%,14.6%,45.8%,39.6%,2021.0,2021-01-01
417,Sean Newcomb,ATL,.351,1.15,27.3%,39.0%,33.8%,11.5%,3.8%,28,7.79,275,398,673,41.0%,33.3%,25.6%,20.5%,55.1%,24.4%,2021.0,2021-01-01
418,Tyler Mahle,CIN,.297,1.15,21.1%,42.2%,36.6%,12.9%,14.1%,118,5.90,1179,2017,3196,41.5%,33.5%,25.1%,18.5%,52.8%,28.6%,2021.0,2021-01-01
419,Kevin Gausman,SFG,.274,1.15,21.6%,41.9%,36.5%,7.3%,11.3%,117,5.48,957,2045,3002,37.4%,34.2%,28.3%,16.2%,49.6%,34.2%,2021.0,2021-01-01
420,Pete Fairbanks,TBR,.349,1.15,20.0%,42.7%,37.3%,7.3%,4.9%,14,2.95,280,495,775,33.3%,33.3%,33.3%,18.9%,45.0%,36.0%,2021.0,2021-01-01
421,Jakob Junis,KCR,.333,1.14,21.7%,41.7%,36.5%,11.9%,16.7%,17,3.89,222,405,627,39.1%,36.5%,24.3%,12.2%,52.2%,35.7%,2021.0,2021-01-01
422,Daniel Camarena,SDP,.400,1.14,18.9%,43.2%,37.8%,7.1%,14.3%,14,13.50,64,110,174,24.3%,35.1%,40.5%,10.8%,48.6%,40.5%,2021.0,2021-01-01
423,Hyeon-jong Yang,TEX,.303,1.14,21.7%,41.7%,36.5%,11.9%,21.4%,4,1.02,216,376,592,42.4%,35.6%,22.0%,14.4%,53.4%,32.2%,2021.0,2021-01-01
424,Jacob deGrom,NYM,.213,1.14,17.5%,44.0%,38.6%,17.2%,9.4%,38,3.72,370,856,1226,35.5%,36.7%,27.7%,21.1%,48.2%,30.7%,2021.0,2021-01-01
425,Daniel Castano,MIA,.284,1.13,26.9%,38.8%,34.3%,13.0%,13.0%,6,2.66,119,214,333,38.6%,41.4%,20.0%,21.4%,55.7%,22.9%,2021.0,2021-01-01
426,Ryan Hendrix,CIN,.305,1.13,25.0%,39.8%,35.2%,3.2%,25.8%,25,7.11,235,305,540,43.3%,32.2%,24.4%,7.8%,44.4%,47.8%,2021.0,2021-01-01
427,Aroldis Chapman,NYY,.281,1.13,19.4%,42.7%,37.9%,15.4%,23.1%,13,2.08,394,610,1004,41.0%,29.5%,29.5%,18.1%,52.4%,29.5%,2021.0,2021-01-01
428,Yimi Garcia,- - -,.273,1.13,24.5%,40.0%,35.5%,9.1%,14.5%,23,3.59,310,633,943,31.6%,39.2%,29.1%,15.8%,49.4%,34.8%,2021.0,2021-01-01
429,Trevor Rogers,MIA,.301,1.13,24.3%,40.1%,35.6%,5.9%,5.0%,58,3.92,742,1427,2169,36.4%,36.1%,27.6%,16.4%,50.1%,33.4%,2021.0,2021-01-01
430,Rafael Dolis,TOR,.318,1.13,21.8%,41.4%,36.8%,12.5%,6.3%,15,4.22,250,355,605,50.6%,33.3%,16.1%,14.9%,56.3%,28.7%,2021.0,2021-01-01
431,David Phelps,TOR,.364,1.13,22.7%,40.9%,36.4%,12.5%,0.0%,4,3.48,77,112,189,40.9%,31.8%,27.3%,18.2%,54.5%,27.3%,2021.0,2021-01-01
432,Jacob Barnes,- - -,.316,1.13,17.1%,43.9%,39.0%,12.5%,21.9%,14,4.40,218,352,570,26.5%,43.4%,30.1%,20.5%,50.6%,28.9%,2021.0,2021-01-01
433,Jordan Sheffield,COL,.215,1.13,16.0%,44.4%,39.5%,15.6%,6.3%,6,1.84,182,274,456,29.6%,43.2%,27.2%,18.5%,53.1%,28.4%,2021.0,2021-01-01
434,Jhonathan Diaz,LAA,.244,1.13,19.0%,42.9%,38.1%,6.3%,6.3%,12,8.31,88,149,237,38.1%,31.0%,31.0%,19.0%,54.8%,26.2%,2021.0,2021-01-01
435,Michael Wacha,TBR,.312,1.12,25.4%,39.5%,35.1%,12.3%,17.7%,50,3.61,641,1333,1974,41.1%,32.3%,26.6%,10.8%,50.3%,39.0%,2021.0,2021-01-01
436,Josh Sborz,TEX,.302,1.12,20.6%,41.9%,37.4%,8.6%,12.1%,32,4.88,410,669,1079,40.4%,32.7%,26.9%,12.8%,49.4%,37.8%,2021.0,2021-01-01
437,Corey Kluber,NYY,.310,1.12,19.6%,42.5%,37.9%,9.6%,9.6%,43,4.84,484,854,1338,44.3%,32.1%,23.5%,19.0%,50.7%,30.3%,2021.0,2021-01-01
438,Wil Crowe,PIT,.311,1.12,18.7%,42.9%,38.3%,8.3%,18.8%,52,4.01,875,1296,2171,44.9%,31.7%,23.4%,14.6%,51.7%,33.7%,2021.0,2021-01-01
439,Tyler Matzek,ATL,.255,1.12,23.9%,40.1%,35.9%,11.8%,5.9%,31,4.43,411,654,1065,31.1%,35.1%,33.8%,17.6%,57.4%,25.0%,2021.0,2021-01-01
440,Reymin Guduan,OAK,.333,1.12,33.3%,35.2%,31.5%,11.8%,5.9%,5,3.14,76,153,229,41.8%,32.7%,25.5%,10.9%,61.8%,27.3%,2021.0,2021-01-01
441,John Curtiss,- - -,.290,1.11,23.3%,40.3%,36.4%,12.8%,12.8%,20,4.06,228,475,703,43.8%,33.1%,23.1%,12.3%,43.1%,44.6%,2021.0,2021-01-01
442,Genesis Cabrera,STL,.280,1.11,20.1%,42.0%,37.9%,12.1%,4.5%,35,4.50,450,745,1195,34.3%,33.7%,32.0%,16.3%,52.8%,30.9%,2021.0,2021-01-01
443,Lucas Luetge,NYY,.307,1.10,19.6%,42.2%,38.2%,10.3%,7.7%,39,4.85,467,775,1242,48.0%,32.4%,19.6%,16.2%,54.9%,28.9%,2021.0,2021-01-01
444,Hansel Robles,- - -,.292,1.10,17.6%,43.2%,39.2%,7.2%,11.6%,28,3.65,422,763,1185,38.0%,35.2%,26.8%,14.5%,49.2%,36.3%,2021.0,2021-01-01
445,Jose Ruiz,CHW,.246,1.10,20.3%,41.8%,37.9%,13.0%,11.6%,24,3.32,359,678,1037,44.8%,31.1%,24.0%,10.9%,52.5%,36.6%,2021.0,2021-01-01
446,Robert Stock,- - -,.304,1.10,19.2%,42.3%,38.5%,20.0%,30.0%,2,2.00,72,96,168,53.8%,30.8%,15.4%,15.4%,42.3%,42.3%,2021.0,2021-01-01
447,Dusten Knight,BAL,.370,1.10,25.0%,39.3%,35.7%,20.0%,10.0%,1,1.04,73,113,186,71.4%,17.9%,10.7%,14.3%,53.6%,32.1%,2021.0,2021-01-01
448,Ryan Meisinger,CHC,.360,1.10,16.0%,44.0%,40.0%,20.0%,20.0%,3,3.68,63,86,149,40.7%,40.7%,18.5%,18.5%,55.6%,25.9%,2021.0,2021-01-01
449,Chris Stratton,PIT,.293,1.10,20.9%,41.4%,37.7%,12.3%,11.1%,46,5.22,500,874,1374,36.4%,34.1%,29.5%,12.0%,56.2%,31.8%,2021.0,2021-01-01
450,Greg Holland,KCR,.260,1.10,20.5%,41.6%,37.9%,8.2%,14.8%,21,3.40,377,620,997,45.4%,30.7%,23.9%,14.1%,47.2%,38.7%,2021.0,2021-01-01
451,Justin Wilson,- - -,.268,1.10,11.1%,46.5%,42.4%,11.9%,14.3%,21,5.56,219,385,604,33.3%,35.3%,31.4%,22.5%,50.0%,27.5%,2021.0,2021-01-01
452,Tucker Davidson,ATL,.222,1.10,21.4%,41.1%,37.5%,4.8%,14.3%,3,1.35,107,196,303,36.8%,31.6%,31.6%,22.8%,42.1%,35.1%,2021.0,2021-01-01
453,Jesse Chavez,ATL,.267,1.09,22.1%,40.7%,37.2%,3.1%,0.0%,14,3.74,185,343,528,36.0%,26.7%,37.2%,12.8%,50.0%,37.2%,2021.0,2021-01-01
454,Chris Bassitt,OAK,.271,1.09,20.0%,41.8%,38.3%,6.7%,9.2%,97,5.55,818,1563,2381,36.0%,36.7%,27.3%,16.4%,56.1%,27.6%,2021.0,2021-01-01
455,Nick Tropeano,- - -,.250,1.09,17.9%,42.9%,39.3%,18.2%,9.1%,8,9.00,50,70,120,62.1%,31.0%,6.9%,20.7%,62.1%,17.2%,2021.0,2021-01-01
456,Jarlin Garcia,SFG,.227,1.09,22.5%,40.4%,37.1%,6.1%,13.6%,32,4.19,326,676,1002,41.4%,32.6%,26.0%,13.8%,53.0%,33.1%,2021.0,2021-01-01
457,Kyle Nelson,CLE,.323,1.09,25.8%,38.7%,35.5%,0.0%,0.0%,3,2.79,67,109,176,38.7%,25.8%,35.5%,32.3%,51.6%,16.1%,2021.0,2021-01-01
458,Sam Moll,OAK,.250,1.08,7.4%,48.1%,44.4%,0.0%,8.3%,4,3.48,68,99,167,24.1%,44.8%,31.0%,17.2%,48.3%,34.5%,2021.0,2021-01-01
459,Domingo Acevedo,OAK,.214,1.08,19.4%,41.9%,38.7%,8.3%,25.0%,5,4.09,60,114,174,51.6%,35.5%,12.9%,22.6%,48.4%,29.0%,2021.0,2021-01-01
460,Brandon Waddell,- - -,.364,1.08,28.6%,37.1%,34.3%,8.3%,16.7%,3,2.89,94,119,213,54.3%,22.9%,22.9%,11.4%,48.6%,40.0%,2021.0,2021-01-01
461,Zach Thompson,MIA,.269,1.08,16.5%,43.4%,40.1%,9.4%,7.1%,28,3.36,429,765,1194,39.0%,35.3%,25.7%,17.9%,50.5%,31.7%,2021.0,2021-01-01
462,Joel Payamps,- - -,.260,1.08,14.6%,44.4%,41.1%,16.1%,9.7%,18,3.22,295,531,826,43.4%,32.9%,23.7%,21.1%,52.0%,27.0%,2021.0,2021-01-01
463,Ryne Harper,WSN,.232,1.08,19.4%,41.8%,38.8%,13.2%,15.8%,24,6.06,191,376,567,58.4%,24.8%,16.8%,18.8%,53.5%,27.7%,2021.0,2021-01-01
464,Vladimir Gutierrez,CIN,.281,1.08,16.4%,43.4%,40.2%,8.6%,14.3%,82,6.47,673,1158,1831,43.7%,32.5%,23.8%,16.0%,50.4%,33.6%,2021.0,2021-01-01
465,Keone Kela,SDP,.276,1.08,15.6%,43.8%,40.6%,7.7%,23.1%,7,5.91,73,130,203,46.9%,34.4%,18.8%,15.6%,53.1%,31.3%,2021.0,2021-01-01
466,Trent Thornton,TOR,.318,1.08,23.1%,39.9%,37.1%,13.2%,22.6%,25,4.59,333,577,910,39.6%,36.1%,24.3%,17.4%,43.8%,38.9%,2021.0,2021-01-01
467,David Bednar,PIT,.259,1.07,20.0%,41.4%,38.6%,5.6%,9.3%,33,4.90,292,642,934,32.1%,34.3%,33.6%,15.7%,54.3%,30.0%,2021.0,2021-01-01
468,Spencer Patton,TEX,.305,1.07,20.2%,41.3%,38.5%,14.3%,9.5%,23,4.89,253,452,705,35.8%,34.9%,29.4%,18.3%,56.0%,25.7%,2021.0,2021-01-01
469,Blake Snell,SDP,.291,1.06,23.0%,39.7%,37.3%,7.1%,14.3%,52,3.64,922,1425,2347,37.0%,37.3%,25.6%,12.7%,52.9%,34.4%,2021.0,2021-01-01
470,Kevin Ginkel,ARI,.307,1.06,18.5%,42.0%,39.5%,6.3%,21.9%,6,1.91,221,335,556,30.5%,41.5%,28.0%,15.9%,47.6%,36.6%,2021.0,2021-01-01
471,Gerrit Cole,NYY,.305,1.06,16.4%,43.1%,40.5%,9.6%,13.5%,99,4.91,994,1975,2969,36.8%,38.4%,24.8%,18.6%,50.0%,31.4%,2021.0,2021-01-01
472,Paul Campbell,MIA,.333,1.06,19.0%,41.7%,39.3%,9.1%,15.2%,13,4.39,172,296,468,48.8%,33.7%,17.4%,8.1%,61.6%,30.2%,2021.0,2021-01-01
473,Garrett Crochet,CHW,.296,1.06,22.0%,40.2%,37.9%,12.0%,4.0%,22,3.64,353,562,915,38.2%,29.4%,32.4%,19.1%,49.3%,31.6%,2021.0,2021-01-01
474,Dylan Bundy,LAA,.273,1.06,20.7%,40.7%,38.5%,7.7%,19.2%,35,3.47,532,992,1524,48.0%,30.4%,21.6%,12.8%,53.5%,33.7%,2021.0,2021-01-01
475,Kohei Arihara,TEX,.270,1.06,20.7%,40.7%,38.5%,1.9%,21.2%,23,5.09,270,426,696,42.3%,35.0%,22.6%,10.2%,46.0%,43.8%,2021.0,2021-01-01
476,Konner Wade,BAL,.444,1.05,18.8%,41.7%,39.6%,10.5%,15.8%,6,4.38,87,161,248,39.6%,31.3%,29.2%,16.7%,47.9%,35.4%,2021.0,2021-01-01
477,Humberto Castellanos,ARI,.287,1.05,18.8%,41.7%,39.6%,8.8%,12.3%,31,6.11,256,470,726,38.3%,40.3%,21.5%,13.4%,57.0%,29.5%,2021.0,2021-01-01
478,Johnny Cueto,SFG,.327,1.05,25.6%,38.1%,36.3%,11.2%,12.0%,62,4.87,657,1221,1878,38.5%,33.2%,28.2%,13.4%,59.2%,27.4%,2021.0,2021-01-01
479,Jose Quijada,LAA,.333,1.05,23.2%,39.3%,37.5%,19.0%,9.5%,4,1.40,191,308,499,26.8%,44.6%,28.6%,30.4%,30.4%,39.3%,2021.0,2021-01-01
480,Michael Pineda,MIN,.294,1.05,22.2%,39.8%,38.0%,6.2%,13.1%,64,5.27,528,1179,1707,41.8%,36.3%,21.9%,13.0%,51.3%,35.7%,2021.0,2021-01-01
481,Luke Farrell,MIN,.338,1.04,26.7%,37.3%,36.0%,0.0%,14.8%,8,2.92,187,286,473,40.0%,34.7%,25.3%,10.7%,49.3%,40.0%,2021.0,2021-01-01
482,Daniel Lynch,KCR,.335,1.04,23.7%,38.8%,37.4%,9.8%,11.0%,35,4.63,487,770,1257,33.5%,37.1%,29.4%,16.7%,46.2%,37.1%,2021.0,2021-01-01
483,Trevor Megill,CHC,.420,1.03,21.3%,40.0%,38.7%,6.9%,24.1%,12,4.56,170,290,460,28.9%,38.2%,32.9%,15.8%,39.5%,44.7%,2021.0,2021-01-01
484,Nick Sandlin,CLE,.271,1.03,18.1%,41.7%,40.3%,13.8%,6.9%,15,4.01,235,368,603,38.9%,37.5%,23.6%,26.4%,45.8%,27.8%,2021.0,2021-01-01
485,Cole Sulser,BAL,.276,1.03,18.8%,41.3%,40.0%,10.9%,7.8%,29,4.12,373,697,1070,34.2%,37.9%,28.0%,19.3%,51.6%,29.2%,2021.0,2021-01-01
486,Tylor Megill,NYM,.297,1.03,16.3%,42.4%,41.2%,6.9%,18.8%,44,4.42,549,1005,1554,39.2%,34.0%,26.8%,14.4%,51.2%,34.4%,2021.0,2021-01-01
487,Scott Barlow,KCR,.315,1.03,23.2%,38.9%,37.8%,14.3%,5.7%,19,2.30,446,777,1223,40.0%,34.6%,25.4%,13.5%,50.3%,36.2%,2021.0,2021-01-01
488,Kenta Maeda,MIN,.316,1.03,24.2%,38.4%,37.4%,13.5%,14.4%,71,6.01,634,1141,1775,44.7%,29.7%,25.7%,21.3%,50.0%,28.7%,2021.0,2021-01-01
489,Jordan Holloway,MIA,.215,1.03,19.8%,40.6%,39.6%,18.4%,7.9%,20,5.00,268,396,664,37.5%,33.3%,29.2%,15.6%,46.9%,37.5%,2021.0,2021-01-01
490,Jack Flaherty,STL,.233,1.03,23.2%,38.9%,37.9%,3.9%,15.6%,77,8.85,523,830,1353,37.6%,35.1%,27.3%,15.1%,52.2%,32.7%,2021.0,2021-01-01
491,Raisel Iglesias,LAA,.288,1.02,21.9%,39.4%,38.7%,10.0%,18.3%,16,2.06,320,739,1059,38.2%,34.4%,27.4%,19.7%,51.6%,28.7%,2021.0,2021-01-01
492,Taijuan Walker,NYM,.253,1.02,17.0%,41.9%,41.2%,9.3%,14.3%,80,4.53,897,1650,2547,34.7%,34.7%,30.5%,16.9%,51.0%,32.1%,2021.0,2021-01-01
493,Ryan Tepera,- - -,.223,1.02,12.8%,44.0%,43.3%,16.4%,6.6%,29,4.26,348,600,948,38.5%,42.0%,19.6%,21.0%,49.7%,29.4%,2021.0,2021-01-01
494,Adam Ottavino,BOS,.316,1.02,20.6%,40.0%,39.4%,9.5%,7.9%,36,5.23,441,705,1146,37.4%,36.8%,25.8%,20.9%,55.8%,23.3%,2021.0,2021-01-01
495,Neftali Feliz,- - -,.308,1.00,28.6%,35.7%,35.7%,20.0%,20.0%,0,0.00,20,47,67,42.9%,42.9%,14.3%,21.4%,50.0%,28.6%,2021.0,2021-01-01
496,David Peralta,ARI,.500,1.00,42.9%,28.6%,28.6%,0.0%,50.0%,1,9.00,9,19,28,42.9%,42.9%,14.3%,0.0%,14.3%,85.7%,2021.0,2021-01-01
497,Luis Avilan,WSN,.333,1.00,36.8%,31.6%,31.6%,33.3%,16.7%,1,1.80,54,54,108,42.1%,26.3%,31.6%,15.8%,63.2%,21.1%,2021.0,2021-01-01
498,Will Harris,WSN,.353,1.00,33.3%,33.3%,33.3%,16.7%,16.7%,3,4.50,51,84,135,50.0%,33.3%,16.7%,22.2%,38.9%,38.9%,2021.0,2021-01-01
499,Charlie Culberson,TEX,.286,1.00,14.3%,42.9%,42.9%,0.0%,0.0%,0,0.00,4,11,15,42.9%,28.6%,28.6%,28.6%,57.1%,14.3%,2021.0,2021-01-01
500,Anthony Rizzo,CHC,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0,0.00,8,7,15,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,2021.0,2021-01-01
501,Josh Reddick,ARI,.333,1.00,50.0%,25.0%,25.0%,0.0%,100.0%,0,0.00,6,11,17,75.0%,25.0%,0.0%,0.0%,50.0%,50.0%,2021.0,2021-01-01
502,Asdrubal Cabrera,ARI,.250,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,0,0.00,6,11,17,25.0%,25.0%,50.0%,0.0%,75.0%,25.0%,2021.0,2021-01-01
503,Justin Turner,LAD,.400,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,0,0.00,1,9,10,60.0%,0.0%,40.0%,20.0%,0.0%,80.0%,2021.0,2021-01-01
504,Pedro Baez,HOU,.125,1.00,11.1%,44.4%,44.4%,25.0%,25.0%,0,0.00,21,38,59,66.7%,33.3%,0.0%,22.2%,33.3%,44.4%,2021.0,2021-01-01
505,Brad Brach,CIN,.305,1.00,14.0%,43.0%,43.0%,8.1%,13.5%,7,2.10,223,356,579,36.8%,34.5%,28.7%,19.5%,47.1%,33.3%,2021.0,2021-01-01
506,Mike Fiers,OAK,.344,1.00,16.7%,41.7%,41.7%,13.3%,26.7%,5,4.82,55,97,152,41.7%,33.3%,25.0%,13.9%,50.0%,36.1%,2021.0,2021-01-01
507,Andrew Albers,MIN,.259,1.00,31.3%,34.3%,34.3%,21.7%,39.1%,13,6.16,139,226,365,35.8%,32.8%,31.3%,23.9%,32.8%,43.3%,2021.0,2021-01-01
508,John Axford,MIL,.667,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,0,0.00,9,13,22,33.3%,33.3%,33.3%,0.0%,66.7%,33.3%,2021.0,2021-01-01
509,Brock Holt,TEX,.333,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,0,0.00,4,6,10,66.7%,33.3%,0.0%,33.3%,33.3%,33.3%,2021.0,2021-01-01
510,Andrew Bellatti,MIA,.462,1.00,38.5%,30.8%,30.8%,0.0%,0.0%,2,5.40,26,57,83,30.8%,53.8%,15.4%,38.5%,30.8%,30.8%,2021.0,2021-01-01
511,Drew Smyly,ATL,.295,1.00,21.6%,39.2%,39.2%,9.5%,18.4%,89,6.32,724,1415,2139,42.3%,33.5%,24.2%,15.6%,49.4%,35.1%,2021.0,2021-01-01
512,James Paxton,SEA,.000,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,0,0.00,9,15,24,0.0%,0.0%,100.0%,50.0%,50.0%,0.0%,2021.0,2021-01-01
513,Andy Burns,LAD,.500,1.00,60.0%,20.0%,20.0%,0.0%,100.0%,0,0.00,7,17,24,60.0%,20.0%,20.0%,20.0%,40.0%,40.0%,2021.0,2021-01-01
514,Robert Stephenson,COL,.308,1.00,23.6%,38.2%,38.2%,4.3%,10.6%,30,5.87,268,499,767,41.6%,38.4%,20.0%,11.2%,53.6%,35.2%,2021.0,2021-01-01
515,Shawn Morimando,MIA,.421,1.00,25.0%,37.5%,37.5%,6.7%,13.3%,2,1.74,72,127,199,45.0%,27.5%,27.5%,7.5%,67.5%,25.0%,2021.0,2021-01-01
516,Kevin Plawecki,BOS,.000,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,0,0.00,6,12,18,33.3%,33.3%,33.3%,0.0%,33.3%,66.7%,2021.0,2021-01-01
517,Matt Duffy,CHC,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0,0.00,3,2,5,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,2021.0,2021-01-01
518,Anthony Bemboom,LAA,.333,1.00,42.9%,28.6%,28.6%,0.0%,50.0%,0,0.00,7,14,21,57.1%,28.6%,14.3%,0.0%,28.6%,71.4%,2021.0,2021-01-01
519,Albert Almora Jr.,NYM,.000,1.00,0.0%,50.0%,50.0%,0.0%,50.0%,0,0.00,13,15,28,50.0%,50.0%,0.0%,0.0%,25.0%,75.0%,2021.0,2021-01-01
520,Daniel Robertson,MIL,.250,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,0,0.00,3,7,10,50.0%,25.0%,25.0%,0.0%,50.0%,50.0%,2021.0,2021-01-01
521,Zack Godley,MIL,.286,1.00,20.0%,40.0%,40.0%,0.0%,50.0%,2,5.40,43,45,88,60.0%,20.0%,20.0%,10.0%,60.0%,30.0%,2021.0,2021-01-01
522,Andrew Knapp,PHI,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0,0.00,2,2,4,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,2021.0,2021-01-01
523,Austin Voth,WSN,.313,1.00,24.4%,37.8%,37.8%,13.6%,16.9%,29,4.55,381,640,1021,31.9%,39.4%,28.8%,16.9%,56.9%,26.3%,2021.0,2021-01-01
524,Jimmie Sherfy,- - -,.214,1.00,13.6%,43.2%,43.2%,15.8%,15.8%,15,9.00,78,152,230,53.3%,26.7%,20.0%,15.6%,57.8%,26.7%,2021.0,2021-01-01
525,Justin Topa,MIL,.526,1.00,14.3%,42.9%,42.9%,11.1%,22.2%,4,10.80,24,64,88,33.3%,33.3%,33.3%,19.0%,52.4%,28.6%,2021.0,2021-01-01
526,Mike Tauchman,SFG,.500,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,0,0.00,7,18,25,50.0%,33.3%,16.7%,16.7%,33.3%,50.0%,2021.0,2021-01-01
527,Jack Mayfield,SEA,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0,0.00,1,2,3,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,2021.0,2021-01-01
528,Luis Severino,NYY,.167,1.00,16.7%,41.7%,41.7%,0.0%,0.0%,5,7.50,39,59,98,58.3%,25.0%,16.7%,8.3%,58.3%,33.3%,2021.0,2021-01-01
529,Aaron Nola,PHI,.308,1.00,19.0%,40.5%,40.5%,10.9%,13.5%,103,5.13,964,2007,2971,44.1%,33.7%,22.2%,18.2%,49.2%,32.6%,2021.0,2021-01-01
530,Sam Howard,PIT,.278,1.00,18.4%,40.8%,40.8%,14.3%,16.7%,27,5.40,333,513,846,45.2%,30.8%,24.0%,25.0%,43.3%,31.7%,2021.0,2021-01-01
