#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
537,Jason Adam,TBR,63.1,31.8%, , ,0.2%,32.2%,35.8%, , , , , ,2022.0,2022-01-01
538,Zack Weiss,LAA,13.1,31.6%,4.8%, ,1.4%, ,62.2%, , , , , ,2022.0,2022-01-01
539,Austin Warren,LAA,16.0,31.6%, , ,22.6%,4.1%,41.7%, , , , , ,2022.0,2022-01-01
540,Ryan Tepera,LAA,57.1,31.4%,37.0%,8.9%,16.9%, ,5.8%, , , , , ,2022.0,2022-01-01
541,Anthony Banda,- - -,26.2,31.2%, , ,21.4%,37.4%, ,10.0%, , , , ,2022.0,2022-01-01
542,Steven Brault,CHC,9.0,31.2%, , ,32.5%,5.1%,31.2%, , , , , ,2022.0,2022-01-01
543,Erich Uelmen,CHC,27.0,31.1%, , ,32.0%,8.4%,28.5%, , , , , ,2022.0,2022-01-01
544,Joe Barlow,TEX,35.0,31.0%, , , , ,60.3%,8.7%, , , , ,2022.0,2022-01-01
545,Eduard Bazardo,BOS,16.1,30.9%, ,10.2%,14.4%, , ,44.5%, , , , ,2022.0,2022-01-01
546,Joe Smith,MIN,27.1,30.9%, , ,41.8%, ,27.3%, , , , , ,2022.0,2022-01-01
547,Matt Dermody,CHC,1.0,30.8%, , ,11.5%,23.1%,26.9%,7.7%, , , , ,2022.0,2022-01-01
548,Matt Koch,SEA,4.1,30.6%,52.8%, , , ,16.7%, , , , , ,2022.0,2022-01-01
549,Jesus Luzardo,MIA,100.1,30.5%, , ,16.9%,22.5%,30.1%, , , , , ,2022.0,2022-01-01
550,Andres Machado,WSN,59.1,30.2%, , ,34.4%,15.5%,19.9%, , , , , ,2022.0,2022-01-01
551,German Marquez,COL,181.2,30.2%, , ,24.0%,2.7%,20.2%,22.9%, , , , ,2022.0,2022-01-01
552,Chase Anderson,CIN,24.0,30.0%,16.4%, ,9.3%,28.4%,7.9%,7.9%, , , , ,2022.0,2022-01-01
553,Greg Holland,TEX,4.2,30.0%, , , , ,62.5%,7.5%, , , , ,2022.0,2022-01-01
554,Miguel Yajure,PIT,24.1,30.0%,6.5%, ,6.8%,19.8%,11.0%,25.9%, , , , ,2022.0,2022-01-01
555,Taijuan Walker,NYM,157.1,29.9%,5.0%,27.6%,10.6%, ,18.2%,8.7%, , , ,0.0%,2022.0,2022-01-01
556,Merrill Kelly,ARI,200.1,29.9%,17.4%, ,18.5%,20.5%,0.2%,13.5%, , , ,0.0%,2022.0,2022-01-01
557,Logan Allen,- - -,7.2,29.9%,7.3%, ,5.5%,11.6%,43.3%,2.4%, , , , ,2022.0,2022-01-01
558,Archie Bradley,LAA,18.2,29.5%, , ,27.5%,15.7%,15.1%,12.1%, , , , ,2022.0,2022-01-01
559,David Phelps,TOR,63.2,29.5%,24.6%, ,12.1%,7.5%, ,26.4%, , , , ,2022.0,2022-01-01
560,Daniel Mengden,KCR,7.0,29.4%,30.3%, , ,19.3%,3.4%,17.6%, , , , ,2022.0,2022-01-01
561,John Schreiber,BOS,65.0,29.4%, , ,25.4%,7.5%,37.7%, , , , , ,2022.0,2022-01-01
562,Seth Lugo,NYM,65.0,29.3%, , ,21.9%,1.6%,13.7%,33.5%, , , , ,2022.0,2022-01-01
563,Chi Chi Gonzalez,- - -,23.0,29.3%,2.4%, ,21.5%,15.2%,31.6%, , , , , ,2022.0,2022-01-01
564,Austin Brice,PIT,6.2,29.2%, , ,23.6%, , ,47.2%, , , , ,2022.0,2022-01-01
565,Adrian Sampson,CHC,104.1,29.1%, , ,36.5%,13.5%,21.0%, , , , , ,2022.0,2022-01-01
566,Brad Hand,PHI,45.0,29.0%, , ,18.8%, ,52.0%, , , , ,0.1%,2022.0,2022-01-01
567,Shawn Armstrong,- - -,61.2,28.9%,27.9%, ,35.4%, ,7.5%, , , , ,0.3%,2022.0,2022-01-01
568,Tim Hill,SDP,48.0,28.7%,6.6%, ,55.6%, ,9.1%, , , , , ,2022.0,2022-01-01
569,Anthony Misiewicz,- - -,29.0,28.6%,36.0%, , ,0.7%,1.6%,33.1%, , , , ,2022.0,2022-01-01
570,Bruce Zimmermann,BAL,73.2,28.5%, , ,10.7%,28.9%,18.9%,12.2%, , , ,0.7%,2022.0,2022-01-01
571,Frankie Montas,- - -,144.1,28.4%, ,25.4%,22.2%,0.0%,23.9%, , , , , ,2022.0,2022-01-01
572,Steve Cishek,WSN,66.1,28.4%, , ,34.0%,0.5%,37.1%, , , , , ,2022.0,2022-01-01
573,Drew Carlton,DET,8.2,28.3%, , ,34.2%,17.5%,20.0%, , , , , ,2022.0,2022-01-01
574,Sonny Gray,MIN,119.2,28.2%,0.1%, ,26.0%,1.1%,20.1%,24.6%, , , , ,2022.0,2022-01-01
575,Miles Mikolas,STL,202.1,27.9%, , ,21.8%,3.9%,25.3%,20.7%,0.3%, , , ,2022.0,2022-01-01
576,Jose Berrios,TOR,172.0,27.7%, , ,25.9%,15.4%,30.9%, , , , , ,2022.0,2022-01-01
577,Wyatt Mills,- - -,29.1,27.7%, , ,33.9%, ,38.4%, , , , , ,2022.0,2022-01-01
578,Stephen Strasburg,WSN,4.2,27.7%, , ,24.1%,21.7%, ,26.5%, , , , ,2022.0,2022-01-01
579,Shohei Ohtani,LAA,166.0,27.7%,8.8%,11.5%,3.7%,0.3%,39.3%,8.8%, , , , ,2022.0,2022-01-01
580,Bailey Falter,PHI,84.0,27.6%, , ,36.6%,4.1%,14.7%,16.8%, , , ,0.1%,2022.0,2022-01-01
581,Joel Payamps,- - -,55.2,27.6%, , ,22.9%,13.3%,36.1%, , , , , ,2022.0,2022-01-01
582,Vinny Nittoli,PHI,2.0,27.5%, , ,2.5%, ,60.0%,10.0%, , , , ,2022.0,2022-01-01
583,Andrew Chafin,DET,57.1,27.5%, , ,40.3%,0.3%,31.9%, , , , , ,2022.0,2022-01-01
584,Tyler Beede,- - -,61.1,27.4%,15.2%, ,19.4%,26.5%, ,11.5%, , , , ,2022.0,2022-01-01
585,Domingo German,NYY,72.1,27.4%, , ,12.0%,23.3%, ,37.3%, , , , ,2022.0,2022-01-01
586,Gregory Soto,DET,60.1,27.3%, , ,50.3%,0.8%,21.6%, , , , , ,2022.0,2022-01-01
587,Yunior Marte,SFG,48.0,26.8%, , ,35.2%,0.1%,38.0%, , , , , ,2022.0,2022-01-01
588,Cody Poteet,MIA,28.0,26.6%, , ,10.9%,38.2%,21.4%,2.9%, , , , ,2022.0,2022-01-01
589,Dylan Floro,MIA,53.2,26.6%, , ,36.9%,14.7%,21.9%, , , , , ,2022.0,2022-01-01
590,Luis Ortiz,SFG,8.2,26.3%, , ,22.9%,10.2%,30.5%,10.2%, , , , ,2022.0,2022-01-01
591,Jhonathan Diaz,LAA,15.1,26.3%, , ,23.7%,16.1%,25.4%,8.5%, , , , ,2022.0,2022-01-01
592,Tarik Skubal,DET,117.2,26.3%, , ,21.7%,15.0%,30.6%,6.4%, , , , ,2022.0,2022-01-01
593,Wily Peralta,DET,38.1,26.2%, ,20.6%,22.9%, ,29.7%, , , , ,0.6%,2022.0,2022-01-01
594,Kyle Hendricks,CHC,84.1,26.2%, , ,31.3%,30.7%, ,11.9%, , , , ,2022.0,2022-01-01
595,Willians Astudillo,MIA,2.0,26.1%, , , ,73.9%, , , , , , ,2022.0,2022-01-01
596,Connor Overton,CIN,33.0,26.0%,0.6%, ,22.4%,18.6%,19.6%,12.8%, , , , ,2022.0,2022-01-01
597,Gavin Hollowell,COL,7.0,25.9%,4.2%, ,28.0%,2.1%,39.9%, , , , , ,2022.0,2022-01-01
598,Marco Gonzales,SEA,183.0,25.7%,19.5%, ,10.9%,30.5%, ,13.4%, , , , ,2022.0,2022-01-01
599,Robert Dugger,- - -,16.0,25.7%, , ,17.6%,18.7%,19.4%,18.7%, , , , ,2022.0,2022-01-01
600,Ross Detwiler,CIN,26.1,25.7%, , ,24.6%,2.8%,43.5%,3.4%, , , , ,2022.0,2022-01-01
601,Phoenix Sanders,TBR,14.2,25.1%,11.2%, , , ,40.9%,22.8%, , , , ,2022.0,2022-01-01
602,Domingo Tapia,OAK,17.0,25.1%, , ,43.3%,16.3%,15.4%, , , , , ,2022.0,2022-01-01
603,Jose Castillo,SDP,1.0,25.0%, , ,25.0%, ,50.0%, , , , , ,2022.0,2022-01-01
604,Joel Kuhnel,CIN,58.0,24.9%, ,15.3%,29.7%, ,30.0%, , , , , ,2022.0,2022-01-01
605,Nick Martinez,SDP,106.1,24.9%,17.7%, ,15.9%,25.6%, ,15.9%, , , , ,2022.0,2022-01-01
606,Garrett Richards,TEX,42.2,24.9%, , ,0.4%,34.7%,37.7%,2.3%, , , , ,2022.0,2022-01-01
607,Sandy Alcantara,MIA,228.2,24.8%, , ,25.2%,27.7%,22.3%,0.1%, , , , ,2022.0,2022-01-01
608,Fernando Cruz,CIN,14.2,24.6%, ,29.2%,1.5%, ,44.6%, , , , , ,2022.0,2022-01-01
609,Braxton Garrett,MIA,88.0,24.5%, , ,23.0%,9.8%,33.1%,9.6%, , , , ,2022.0,2022-01-01
610,Yu Darvish,SDP,194.2,24.4%,5.1%,6.4%,9.5%,0.9%,45.8%,7.4%,0.3%, , , ,2022.0,2022-01-01
611,Foster Griffin,- - -,6.1,24.3%,45.0%, , ,13.5%, ,17.1%, , , , ,2022.0,2022-01-01
612,Ronny Henriquez,MIN,11.2,24.3%, , , ,29.3%,46.4%, , , , , ,2022.0,2022-01-01
613,Gabe Speier,KCR,19.1,24.2%, , ,31.5%,3.4%,40.9%, , , , , ,2022.0,2022-01-01
614,Jeurys Familia,- - -,44.1,24.1%, ,11.0%,49.9%, ,14.9%, , , , , ,2022.0,2022-01-01
615,Javier Assad,CHC,37.2,24.1%,27.1%, ,28.4%,6.7%,9.6%,4.2%, , , , ,2022.0,2022-01-01
616,Bryse Wilson,PIT,115.2,24.1%, ,4.9%,32.6%,9.6%,15.9%,12.9%, , , , ,2022.0,2022-01-01
617,Aaron Brooks,STL,9.1,24.0%, , ,25.3%,24.0%,22.1%,4.5%, , , , ,2022.0,2022-01-01
618,Scott Barlow,KCR,74.1,24.0%, , ,0.3%, ,44.5%,31.2%, , , , ,2022.0,2022-01-01
619,Jaime Barria,LAA,79.1,23.9%, , ,15.4%,13.6%,47.1%, , , , , ,2022.0,2022-01-01
620,Hayden Wesneski,CHC,33.0,23.8%,12.9%, ,23.2%,8.1%,31.9%, , , , , ,2022.0,2022-01-01
621,Ryan Hendrix,CIN,8.1,23.8%, , ,23.1%,9.1%,44.1%, , , , , ,2022.0,2022-01-01
622,Huascar Brazoban,MIA,32.0,23.6%, , ,9.5%,25.2%,41.7%, , , , , ,2022.0,2022-01-01
623,Tanner Houck,BOS,60.0,23.5%, ,6.0%,29.6%, ,40.8%, , , , , ,2022.0,2022-01-01
624,Kyle Freeland,COL,174.2,23.5%,22.6%, ,21.7%,13.9%,18.2%, , , , ,0.0%,2022.0,2022-01-01
625,Tyler Alexander,DET,101.0,23.4%,27.6%, ,19.6%,18.5%,10.9%, , , , , ,2022.0,2022-01-01
626,Michael Kelly,PHI,4.0,23.4%,6.3%, , , ,70.3%, , , , , ,2022.0,2022-01-01
627,Mark Leiter,CHC,67.2,23.4%,9.2%,23.1%,22.5%, ,5.2%,16.7%, , , , ,2022.0,2022-01-01
628,Joe Musgrove,SDP,181.0,23.3%,20.0%, ,6.9%,6.3%,24.5%,18.9%, , , ,0.0%,2022.0,2022-01-01
629,Dustin May,LAD,30.0,23.2%,21.3%, ,28.7%,5.7%,21.1%, , , , , ,2022.0,2022-01-01
630,Dillon Peters,PIT,39.1,23.2%, , ,27.1%,24.1%,11.2%,14.4%, , , , ,2022.0,2022-01-01
631,Michael King,NYY,51.0,23.2%, , ,36.9%,9.3%,30.7%, , , , , ,2022.0,2022-01-01
632,Tommy Kahnle,LAD,12.2,23.0%, , , ,76.4%,0.6%, , , , , ,2022.0,2022-01-01
633,Connor Sadzeck,MIL,3.0,22.9%, , ,6.3%,2.1%,68.8%, , , , , ,2022.0,2022-01-01
634,Patrick Sandoval,LAA,148.2,22.7%, , ,14.3%,24.6%,28.9%,9.5%, , , , ,2022.0,2022-01-01
635,Drew VerHagen,STL,21.2,22.7%,2.9%,15.0%,24.1%, ,22.2%,13.1%, , , , ,2022.0,2022-01-01
636,Ronald Bolanos,KCR,18.1,22.6%, , ,32.2%,4.8%,29.2%,11.1%, , , , ,2022.0,2022-01-01
637,Parker Mushinski,HOU,7.1,22.5%,26.1%, , ,1.8%,17.1%,32.4%, , , , ,2022.0,2022-01-01
638,Alec Mills,CHC,17.2,22.5%, , ,37.4%,18.5%,12.9%,8.6%, , , , ,2022.0,2022-01-01
639,Nabil Crismatt,SDP,67.1,22.5%,0.7%, ,6.2%,50.1%,0.2%,20.3%, , , , ,2022.0,2022-01-01
640,Tyler Gilbert,ARI,34.1,22.2%,35.3%, ,18.3%,12.9%, ,11.3%, , , , ,2022.0,2022-01-01
641,Casey Lawrence,TOR,18.0,21.9%,4.4%, ,11.1%,28.6%,27.9%,6.1%, , , , ,2022.0,2022-01-01
642,Jake Woodford,STL,48.1,21.8%, , ,37.7%,3.7%,28.3%,8.5%, , , , ,2022.0,2022-01-01
643,JoJo Romero,- - -,16.1,21.8%,1.5%, ,25.8%,29.5%,21.4%, , , , , ,2022.0,2022-01-01
