#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
1,David Peralta,ARI,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
2,Charlie Culberson,TEX,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
3,Josh Reddick,ARI,0.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
4,Asdrubal Cabrera,ARI,1.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
5,Sandy Leon,MIA,6.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
6,Hernan Perez,WSN,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
7,Eric Sogard,CHC,4.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
8,Darin Ruf,SFG,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
9,Mike Freeman,CIN,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
10,Ronald Torreyes,PHI,2.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
11,Brandon Drury,NYM,0.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
12,Hanser Alberto,KCR,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
13,Jace Peterson,MIL,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
14,Kevin Pillar,NYM,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
15,Andy Burns,LAD,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
16,Phillip Evans,PIT,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
17,Matt Duffy,CHC,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
18,Anthony Bemboom,LAA,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
19,Albert Almora Jr.,NYM,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
20,Daniel Robertson,MIL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
21,Wyatt Mathisen,ARI,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
22,Brett Phillips,TBR,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
23,Andrew Knapp,PHI,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
24,Mike Tauchman,SFG,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
25,Jack Mayfield,SEA,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
26,Willians Astudillo,MIN,4.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
27,Stevie Wilkerson,BAL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
28,Austin Slater,SFG,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
29,Francisco Mejia,TBR,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
30,Sergio Alcantara,CHC,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
31,Jordan Luplow,TBR,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
32,Christian Arroyo,BOS,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
33,Luis Guillorme,NYM,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
34,John Nogowski,PIT,3.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
35,Joshua Fuentes,COL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
36,Max Schrock,CIN,1.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
37,Jonathan Arauz,BOS,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
38,Nick Maton,PHI,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
39,Wilmer Difo,PIT,2.0,98.3%, , , , ,1.7%, , , , , ,2021.0,2021-01-01
40,Harold Castro,DET,2.2,96.9%, , , , , ,3.1%, , , , ,2021.0,2021-01-01
41,Ka'ai Tom,OAK,1.0,95.0%, , , ,5.0%, , , , , , ,2021.0,2021-01-01
42,Yermin Mercedes,CHW,1.0,93.8%, , , ,3.1%,3.1%, , , , , ,2021.0,2021-01-01
43,Matt Carpenter,STL,1.1,92.3%, , , , , ,7.7%, , , , ,2021.0,2021-01-01
44,Jake McGee,SFG,59.2,90.1%, , , , ,9.9%, , , , , ,2021.0,2021-01-01
45,Justin Turner,LAD,1.0,90.0%, , , ,10.0%, , , , , , ,2021.0,2021-01-01
46,Kyle Dohy,PHI,1.0,90.0%, , , ,10.0%, , , , , , ,2021.0,2021-01-01
47,Kevin Plawecki,BOS,1.0,88.9%, , , , , ,11.1%, , , , ,2021.0,2021-01-01
48,Bryan Holaday,ARI,1.0,87.5%, , , , , ,12.5%, , , , ,2021.0,2021-01-01
49,Travis Bergen,TOR,10.2,87.2%, , , , , ,12.8%, , , , ,2021.0,2021-01-01
50,Richard Rodriguez,- - -,64.1,86.1%, , , , , ,13.9%, , , , ,2021.0,2021-01-01
51,Pat Valaika,BAL,1.1,85.7%, , , , ,14.3%, , , , , ,2021.0,2021-01-01
52,Brad Wieck,CHC,17.0,84.6%, , , , ,3.4%,11.9%, , , , ,2021.0,2021-01-01
53,Julian Fernandez,COL,6.2,83.8%, , , ,15.4%, , , , , ,0.9%,2021.0,2021-01-01
54,Ian Kennedy,- - -,56.1,82.5%,1.4%, , ,8.6%,2.3%,5.1%, , , , ,2021.0,2021-01-01
55,Damon Jones,PHI,0.1,81.8%, , , , ,18.2%, , , , , ,2021.0,2021-01-01
56,Caleb Baragar,SFG,23.0,81.0%, , , , ,17.3%,1.7%, , , , ,2021.0,2021-01-01
57,Sean Doolittle,- - -,49.2,80.6%,5.6%,4.5%, , ,8.7%, , , , ,0.6%,2021.0,2021-01-01
58,Danny Mendick,CHW,1.0,80.0%, , , , , ,20.0%, , , , ,2021.0,2021-01-01
59,Robel Garcia,HOU,1.0,79.3%, , , ,6.9%,13.8%, , , , , ,2021.0,2021-01-01
60,Spencer Strider,ATL,2.1,78.9%, , , , ,21.1%, , , , , ,2021.0,2021-01-01
61,Nicklaus Snyder,TEX,3.2,78.0%, , , , ,22.0%, , , , , ,2021.0,2021-01-01
62,Vinny Nittoli,SEA,1.0,76.9%, , , , ,23.1%, , , , , ,2021.0,2021-01-01
63,Drew Pomeranz,SDP,25.2,75.3%, , , , , ,24.7%, , , , ,2021.0,2021-01-01
64,Raynel Espinal,BOS,2.0,75.0%, , , ,25.0%, , , , , , ,2021.0,2021-01-01
65,Romy Gonzalez,CHW,0.1,75.0%, , , , ,25.0%, , , , , ,2021.0,2021-01-01
66,Stephen Ridings,NYY,5.0,74.3%, , , , ,25.7%, , , , , ,2021.0,2021-01-01
67,Kervin Castro,SFG,13.1,74.1%,0.5%, , , , ,25.4%, , , , ,2021.0,2021-01-01
68,Darwinzon Hernandez,BOS,40.0,74.0%, , , , ,20.8%,5.2%, , , , ,2021.0,2021-01-01
69,Bryan Baker,TOR,1.0,73.7%, , , , ,26.3%, , , , , ,2021.0,2021-01-01
70,Jose Quijada,LAA,25.2,73.3%, , , ,13.6%, ,13.0%, , , , ,2021.0,2021-01-01
71,Anthony Rizzo,CHC,0.2,73.3%, , , , , ,20.0%,6.7%, , , ,2021.0,2021-01-01
72,Anthony Gose,CLE,6.2,73.0%, , , , ,27.0%, , , , , ,2021.0,2021-01-01
73,Brent Suter,MIL,73.1,72.7%, , ,4.4%,9.1%,13.8%, , , , , ,2021.0,2021-01-01
74,Blake Taylor,HOU,42.2,72.5%, , , , ,27.5%, , , , , ,2021.0,2021-01-01
75,Dauri Moreta,CIN,3.2,71.9%, , , ,12.3%,15.8%, , , , , ,2021.0,2021-01-01
76,Alex Vesia,LAD,40.0,71.9%, , , ,10.1%,17.4%, , , , ,0.6%,2021.0,2021-01-01
77,Daniel Ponce de Leon,STL,33.1,71.8%,11.7%, ,0.2%,12.0%, ,4.1%, , , ,0.2%,2021.0,2021-01-01
78,Nick Margevicius,SEA,12.0,71.7%, , , ,3.1%,6.6%,17.4%, , , ,1.2%,2021.0,2021-01-01
79,Ben Bowden,COL,35.2,70.9%, , , ,18.5%,10.5%, , , , , ,2021.0,2021-01-01
80,Tyler Matzek,ATL,63.0,70.6%, , , , ,25.6%,3.8%, , , , ,2021.0,2021-01-01
81,Andres Munoz,SEA,0.2,70.6%, , , , ,29.4%, , , , , ,2021.0,2021-01-01
82,Emmanuel Clase,CLE,69.2,70.2%, , , , ,29.8%, , , , , ,2021.0,2021-01-01
83,Neftali Feliz,- - -,4.0,70.1%, , , ,11.9%,17.9%, , , , , ,2021.0,2021-01-01
84,Brandyn Sittinger,ARI,4.2,70.0%, , , , ,30.0%, , , , , ,2021.0,2021-01-01
85,James Norwood,SDP,5.0,69.1%, ,25.5%,1.1%, ,4.3%, , , , , ,2021.0,2021-01-01
86,Liam Hendriks,CHW,71.0,68.9%, , ,0.1%, ,21.6%,9.4%, , , , ,2021.0,2021-01-01
87,Jay Flaa,- - -,2.2,68.9%, ,23.0%, , ,4.9%,3.3%, , , , ,2021.0,2021-01-01
88,Seth Elledge,STL,11.2,68.8%, , , ,1.4%, ,29.9%, , , , ,2021.0,2021-01-01
89,Burch Smith,OAK,43.1,68.7%,2.1%, ,0.1%,13.6%, ,15.5%, , , , ,2021.0,2021-01-01
90,Ryan Brasier,BOS,12.0,68.5%, , , , ,26.4%,5.1%, , , , ,2021.0,2021-01-01
91,Daniel Hudson,- - -,51.2,68.4%, , , ,2.8%,28.8%, , , , , ,2021.0,2021-01-01
92,Enyel De Los Santos,- - -,35.1,68.4%, , , ,11.0%,20.5%, , , , , ,2021.0,2021-01-01
93,Kyle Finnegan,WSN,66.0,68.4%, ,12.2%, , ,19.4%, , , , , ,2021.0,2021-01-01
94,Thomas Szapucki,NYM,3.2,68.3%, , , ,25.6%, ,6.1%, , , , ,2021.0,2021-01-01
95,Bailey Falter,PHI,33.2,68.1%, , , ,5.8%,23.4%,2.7%, , , , ,2021.0,2021-01-01
96,James Karinchak,CLE,55.1,67.7%, , , , , ,32.3%, , , , ,2021.0,2021-01-01
97,Nick Anderson,TBR,6.0,67.6%, , , , ,32.4%, , , , , ,2021.0,2021-01-01
98,Trevor Megill,CHC,23.2,66.9%, , , , ,17.5%,15.6%, , , , ,2021.0,2021-01-01
99,Taylor Widener,ARI,70.1,66.7%, , , ,15.9%,17.4%, , , , , ,2021.0,2021-01-01
100,Manny Barreda,BAL,2.2,66.7%, , , ,6.3%,27.1%, , , , , ,2021.0,2021-01-01
101,Adam Eaton,LAA,1.0,66.7%, , ,9.5%, ,14.3%,9.5%, , , , ,2021.0,2021-01-01
102,James Paxton,SEA,1.1,66.7%, , ,4.8%, ,28.6%, , , , , ,2021.0,2021-01-01
103,Austin Wynns,BAL,1.0,66.7%, , , ,33.3%, , , , , , ,2021.0,2021-01-01
104,Joe Ryan,MIN,26.2,66.0%, , , ,10.2%,16.0%,7.8%, , , , ,2021.0,2021-01-01
105,Gabe Klobosits,WSN,11.1,66.0%, ,19.1%, , ,14.9%, , , , , ,2021.0,2021-01-01
106,Isaac Mattson,BAL,4.1,65.9%, , , ,7.7%,13.2%,13.2%, , , , ,2021.0,2021-01-01
107,Carlos Estevez,COL,61.2,65.8%, , , ,19.3%,14.9%, , , , , ,2021.0,2021-01-01
108,Drew Steckenrider,SEA,67.2,65.8%, , , ,16.0%,18.2%, , , , , ,2021.0,2021-01-01
109,David Paulino,PHI,2.0,65.6%, , , , , ,34.4%, , , , ,2021.0,2021-01-01
110,Chad Green,NYY,83.2,65.5%, , , , , ,34.5%, , , , ,2021.0,2021-01-01
111,Josh Hader,MIL,58.2,65.5%, , , ,6.7%,27.8%, , , , , ,2021.0,2021-01-01
112,Rex Brothers,CHC,53.0,65.4%, , , , ,34.4%, , , , ,0.2%,2021.0,2021-01-01
113,Enoli Paredes,HOU,8.2,65.3%, , , ,0.8%,30.7%,3.2%, , , , ,2021.0,2021-01-01
114,Angel Perdomo,MIL,17.0,65.0%, , , ,12.1%,22.9%, , , , , ,2021.0,2021-01-01
115,Drew Rasmussen,- - -,76.0,64.7%, , , ,2.5%,30.1%,2.7%, , , , ,2021.0,2021-01-01
116,Jordan Sheffield,COL,29.1,64.7%, , , ,16.9%,18.4%, , , , , ,2021.0,2021-01-01
117,Grant Dayton,ATL,13.0,64.7%, , , , , ,34.5%, , , ,0.8%,2021.0,2021-01-01
118,Hector Santiago,SEA,26.1,64.6%, , ,2.4%,24.8%,6.9%,0.6%, , ,0.6%, ,2021.0,2021-01-01
119,Tanner Rainey,WSN,31.2,64.5%, , , , ,35.5%, , , , , ,2021.0,2021-01-01
120,Cionel Perez,CIN,24.0,64.3%, , , ,7.7%,28.0%, , , , , ,2021.0,2021-01-01
121,Nick Mears,PIT,23.1,64.3%, , , , , ,35.7%, , , , ,2021.0,2021-01-01
122,Roel Ramirez,STL,0.1,64.3%, ,7.1%, , ,28.6%, , , , , ,2021.0,2021-01-01
123,Michael Kopech,CHW,69.1,64.3%, , , ,2.7%,29.3%,3.8%, , , , ,2021.0,2021-01-01
124,Garrett Crochet,CHW,54.1,64.3%, , , ,7.7%,27.8%, , , , ,0.3%,2021.0,2021-01-01
125,Phil Bickford,- - -,51.1,64.2%, ,0.4%,0.1%, ,35.3%, , , , , ,2021.0,2021-01-01
126,Jhon Romero,WSN,4.0,64.1%, , , ,11.5%,24.4%, , , , , ,2021.0,2021-01-01
127,Hunter Harvey,BAL,8.2,64.0%, , , ,7.9%,7.9%,20.1%, , , , ,2021.0,2021-01-01
128,Jorge Guzman,MIA,1.2,63.9%, , , ,21.3%,14.8%, , , , , ,2021.0,2021-01-01
129,Matt Foster,CHW,39.0,63.9%,3.2%, , ,22.5%,10.4%, , , , , ,2021.0,2021-01-01
130,Carl Edwards Jr.,- - -,5.2,63.9%, , , , , ,36.1%, , , , ,2021.0,2021-01-01
131,Alec Bettinger,MIL,10.0,63.8%,9.5%, , ,4.5%,5.0%,17.1%, , , , ,2021.0,2021-01-01
132,Yennsy Diaz,NYM,25.0,63.8%, , ,0.4%,27.8%,8.0%, , , , , ,2021.0,2021-01-01
133,Reymin Guduan,OAK,14.1,63.8%, , , , ,36.2%, , , , , ,2021.0,2021-01-01
134,Corbin Martin,ARI,16.0,63.7%, , , ,15.2%,9.6%,11.4%, , , , ,2021.0,2021-01-01
135,Shelby Miller,- - -,12.2,63.4%,22.3%, , , ,14.3%, , , , , ,2021.0,2021-01-01
136,Jordan Romano,TOR,63.0,63.2%, , , , ,36.8%, , , , , ,2021.0,2021-01-01
137,Antonio Santos,COL,11.1,63.1%, , , ,12.5%,8.5%,15.9%, , , , ,2021.0,2021-01-01
138,Lucas Gilbreath,COL,42.2,63.1%, , , ,2.2%,34.7%, , , , , ,2021.0,2021-01-01
139,Ryan Hartman,HOU,2.1,63.0%, , , ,26.1%,4.3%,6.5%, , , , ,2021.0,2021-01-01
140,Roansy Contreras,PIT,3.0,63.0%, , , ,2.2%,23.9%,10.9%, , , , ,2021.0,2021-01-01
141,Jose De Leon,CIN,18.1,62.8%, , , ,22.5%,14.7%, , , , , ,2021.0,2021-01-01
142,Sean Reid-Foley,NYM,20.2,62.8%, , , ,13.2%,24.0%, , , , , ,2021.0,2021-01-01
143,Connor Seabold,BOS,3.0,62.8%, , , ,11.6%,20.9%,4.7%, , , , ,2021.0,2021-01-01
144,Nate Pearson,TOR,15.0,62.8%, , , ,1.0%,34.6%,1.7%, , , , ,2021.0,2021-01-01
145,Kyle Tyler,LAA,12.1,62.6%, , , ,2.6%,31.1%,3.7%, , , , ,2021.0,2021-01-01
146,Alex Blandino,CIN,3.2,62.5%, , ,8.3%,12.5%, , , ,16.7%, , ,2021.0,2021-01-01
147,Stephen Nogosek,NYM,3.0,62.5%, , , ,2.1%,29.2%,6.3%, , , , ,2021.0,2021-01-01
148,Marcos Diplan,BAL,30.0,62.3%, , , ,10.5%, ,27.1%, , , , ,2021.0,2021-01-01
149,Edwin Diaz,NYM,62.2,62.2%, , , , ,37.8%, , , , , ,2021.0,2021-01-01
150,Luke Weaver,ARI,65.2,61.8%,6.1%, , ,30.0%, ,1.9%, , , ,0.2%,2021.0,2021-01-01
151,Ryan Weathers,SDP,94.2,61.7%, , ,0.5%,7.3%,30.6%, , , , , ,2021.0,2021-01-01
152,Logan Gilbert,SEA,119.1,61.5%, , , ,7.8%,23.9%,6.8%, , , , ,2021.0,2021-01-01
153,Rowan Wick,CHC,23.0,61.5%,7.0%, , , ,9.3%,22.3%, , , , ,2021.0,2021-01-01
154,J.D. Hammer,PHI,20.0,61.5%, , , , ,36.5%,2.0%, , , , ,2021.0,2021-01-01
155,Triston McKenzie,CLE,120.0,61.4%, , , ,1.4%,19.1%,18.0%, , , , ,2021.0,2021-01-01
156,Robert Stock,- - -,9.0,61.3%,11.9%, , ,11.9%,13.1%,1.8%, , , , ,2021.0,2021-01-01
157,Emilio Pagan,SDP,63.1,61.2%, , , ,1.1%,37.7%, , , , , ,2021.0,2021-01-01
158,Luis Patino,TBR,77.1,60.7%, , ,3.0%,5.0%,26.3%,5.0%, , , , ,2021.0,2021-01-01
159,Demarcus Evans,TEX,26.1,60.7%,24.9%, , , , ,14.4%, , , , ,2021.0,2021-01-01
160,Dylan Coleman,KCR,6.1,60.6%, , , , ,39.4%, , , , , ,2021.0,2021-01-01
161,Angel Zerpa,KCR,5.0,60.3%, , ,5.9%,8.8%,1.5%,23.5%, , , , ,2021.0,2021-01-01
162,Trevor May,NYM,62.2,60.3%, , , ,15.2%,24.5%, , , , , ,2021.0,2021-01-01
163,Miguel Del Pozo,DET,5.1,60.0%, , , ,1.3%, ,38.8%, , , , ,2021.0,2021-01-01
164,Spencer Howard,- - -,49.2,59.9%,15.1%, ,3.7%,9.0%,4.0%,8.3%, , , , ,2021.0,2021-01-01
165,Erik Swanson,SEA,35.1,59.9%, ,20.9%, , ,19.1%, , , , , ,2021.0,2021-01-01
166,Nate Jones,- - -,19.0,59.9%, , ,2.9%,1.0%,36.2%, , , , , ,2021.0,2021-01-01
167,Robbie Ray,TOR,193.1,59.8%, , ,0.1%,3.2%,31.2%,5.8%, , , , ,2021.0,2021-01-01
168,Chris Paddack,SDP,108.1,59.8%,1.7%, , ,26.2%,0.1%,12.3%, , , , ,2021.0,2021-01-01
169,Trevor Stephan,CLE,63.1,59.7%, ,8.1%, , ,32.2%, , , , , ,2021.0,2021-01-01
170,DJ Johnson,- - -,4.1,59.7%, , , ,13.4%, ,26.9%, , , , ,2021.0,2021-01-01
171,Jordan Weems,- - -,5.2,59.7%, ,9.7%, , ,29.9%,0.7%, , , , ,2021.0,2021-01-01
172,Ryne Stanek,HOU,68.1,59.7%, ,21.8%, , ,18.5%, , , , , ,2021.0,2021-01-01
173,Joakim Soria,- - -,37.1,59.7%, ,14.4%, , ,20.7%,5.0%, , , ,0.3%,2021.0,2021-01-01
174,Miguel Aguilar,ARI,7.0,59.6%, , , ,2.9%,19.2%,18.3%, , , , ,2021.0,2021-01-01
175,Austin Voth,WSN,57.1,59.5%,13.5%, , ,0.3%, ,26.6%, , , , ,2021.0,2021-01-01
176,Alberto Baldonado,WSN,10.2,59.5%, , ,0.9%,5.1%,34.4%, , , , , ,2021.0,2021-01-01
177,Andrew Heaney,- - -,129.2,59.5%, , , ,17.9%, ,22.6%, , , , ,2021.0,2021-01-01
178,Jose Ruiz,CHW,65.0,59.5%, , , ,3.7%,1.1%,35.8%, , , , ,2021.0,2021-01-01
179,Jake Brentz,KCR,64.0,59.5%, , , ,12.7%,27.9%, , , , , ,2021.0,2021-01-01
180,Cristian Javier,HOU,101.1,59.4%, , ,0.1%,5.9%,26.8%,7.9%, , , , ,2021.0,2021-01-01
181,Craig Kimbrel,- - -,59.2,59.3%, , , , , ,40.7%, , , , ,2021.0,2021-01-01
182,Kevin Ginkel,ARI,28.1,59.2%, , , ,0.4%,40.3%, , , , ,0.2%,2021.0,2021-01-01
183,Cory Abbott,CHC,17.1,59.1%, , , ,6.5%,17.9%,16.5%, , , , ,2021.0,2021-01-01
184,Seth Martinez,HOU,3.0,58.7%,4.8%, ,7.9%,6.3%,22.2%, , , , , ,2021.0,2021-01-01
185,Tyler Wells,BAL,57.0,58.7%, , , ,10.4%,26.8%,4.0%, , , , ,2021.0,2021-01-01
186,Jake Diekman,OAK,60.2,58.7%, , ,8.2%,0.7%,32.4%, , , , , ,2021.0,2021-01-01
187,Carlos Rodon,CHW,132.2,58.7%, , , ,12.4%,27.4%,1.6%, , , , ,2021.0,2021-01-01
188,Dietrich Enns,TBR,22.1,58.6%, , , ,2.5%,36.9%,1.9%, , , , ,2021.0,2021-01-01
189,Anthony Kay,TOR,33.2,58.4%, , , ,11.4%,19.4%,10.8%, , , , ,2021.0,2021-01-01
190,Paul Sewald,SEA,64.2,58.3%, , , ,0.1%,41.6%, , , , , ,2021.0,2021-01-01
191,Bernardo Flores Jr.,STL,0.0,58.3%, , , ,16.7%, ,25.0%, , , , ,2021.0,2021-01-01
192,Kaleb Ort,BOS,0.1,58.3%, , , , ,41.7%, , , , , ,2021.0,2021-01-01
193,Bryan Mitchell,MIA,4.0,58.2%,32.8%, , , , ,9.0%, , , , ,2021.0,2021-01-01
194,Corey Knebel,LAD,25.2,58.1%, , , , , ,41.9%, , , , ,2021.0,2021-01-01
195,Beau Burrows,- - -,11.0,58.1%,29.1%, , ,10.9%, ,1.9%, , , , ,2021.0,2021-01-01
196,Michael Feliz,- - -,20.0,58.1%, , , ,7.6%,34.3%, , , , , ,2021.0,2021-01-01
197,Bailey Ober,MIN,92.1,58.0%, , , ,13.0%,18.3%,10.7%, , , , ,2021.0,2021-01-01
198,Josh James,HOU,5.0,58.0%, , , ,15.9%,26.1%, , , , , ,2021.0,2021-01-01
199,Justin Wilson,- - -,34.0,57.9%,35.9%, , , ,6.1%, , , , , ,2021.0,2021-01-01
200,Reynaldo Lopez,CHW,57.2,57.9%, , ,0.1%,3.6%,33.8%,4.6%, , , , ,2021.0,2021-01-01
201,Tyler Zuber,KCR,27.1,57.9%, , , ,6.3%,31.8%,4.0%, , , , ,2021.0,2021-01-01
202,David Hess,- - -,20.0,57.9%,3.8%, , ,3.8%,34.2%,0.3%, , , , ,2021.0,2021-01-01
203,Zack Littell,SFG,61.2,57.8%, ,5.2%, , ,37.0%, , , , , ,2021.0,2021-01-01
204,Keynan Middleton,SEA,31.0,57.7%, , , ,12.3%,30.0%, , , , , ,2021.0,2021-01-01
205,Trevor Rogers,MIA,133.0,57.7%, , , ,27.5%,14.8%, , , , , ,2021.0,2021-01-01
206,Tylor Megill,NYM,89.2,57.6%, , , ,20.9%,18.9%,2.6%, , , , ,2021.0,2021-01-01
207,Jacob deGrom,NYM,92.0,57.6%, , , ,8.7%,33.4%,0.3%, , , , ,2021.0,2021-01-01
208,Drew Carlton,DET,3.2,57.5%, , , ,13.7%,28.8%, , , , , ,2021.0,2021-01-01
209,Sean Newcomb,ATL,32.1,57.4%, , , ,0.8%,26.1%,15.7%, , , , ,2021.0,2021-01-01
210,Jason Adam,CHC,10.2,57.3%, , , ,10.6%,20.6%,11.5%, , , , ,2021.0,2021-01-01
211,Keegan Akin,BAL,95.0,57.2%, , , ,19.5%,19.5%,3.9%, , , , ,2021.0,2021-01-01
212,Dellin Betances,NYM,1.0,57.1%, , , , ,42.9%, , , , , ,2021.0,2021-01-01
213,Jake Cronenworth,SDP,0.2,57.1%, , ,42.9%, , , , , , , ,2021.0,2021-01-01
214,Seranthony Dominguez,PHI,1.0,57.1%, , ,14.3%, ,28.6%, , , , , ,2021.0,2021-01-01
215,Ljay Newsome,SEA,14.2,57.0%, , , ,23.3%, ,18.3%, , , ,1.4%,2021.0,2021-01-01
216,Sean Guenther,MIA,20.1,56.9%, , , ,8.9%,34.2%, , , , , ,2021.0,2021-01-01
217,Kodi Whitley,STL,25.1,56.9%, , , ,28.4%,14.7%, , , , , ,2021.0,2021-01-01
218,Mitch Keller,PIT,100.2,56.8%, , , ,4.7%,24.0%,14.5%, , , , ,2021.0,2021-01-01
219,Matt Moore,PHI,73.0,56.7%,8.8%, , ,19.2%, ,15.2%, , , , ,2021.0,2021-01-01
220,Will Vest,SEA,35.0,56.7%, , ,0.2%,19.7%,23.4%, , , , , ,2021.0,2021-01-01
221,Nick Wittgren,CLE,62.1,56.7%,9.6%, , ,23.0%,10.7%, , , , , ,2021.0,2021-01-01
222,Trevor Richards,- - -,64.1,56.6%, , , ,29.4%,13.7%, , , , ,0.2%,2021.0,2021-01-01
223,Spencer Patton,TEX,42.1,56.6%, , , ,9.8%,33.6%, , , , , ,2021.0,2021-01-01
224,Codi Heuer,- - -,67.1,56.4%, , , ,20.3%,23.3%, , , , , ,2021.0,2021-01-01
225,Drew Smith,NYM,41.1,56.2%, , , ,4.6%,31.6%,7.5%, , , , ,2021.0,2021-01-01
226,Jake Faria,ARI,32.2,56.2%, ,20.5%, , ,7.5%,15.8%, , , , ,2021.0,2021-01-01
227,Andres Machado,WSN,35.2,56.1%, , ,14.7%,10.0%,19.1%, , , , , ,2021.0,2021-01-01
228,Antonio Senzatela,COL,156.2,56.1%, , , ,6.3%,31.7%,5.8%, , , , ,2021.0,2021-01-01
229,Mac Sceroler,BAL,7.2,56.1%, , , ,20.7%,11.1%,12.1%, , , , ,2021.0,2021-01-01
230,Jeff Hoffman,CIN,73.0,56.0%, ,12.1%, , ,19.7%,12.1%, , , , ,2021.0,2021-01-01
231,Brad Boxberger,MIL,64.2,56.0%, , , ,20.2%,23.8%, , , , , ,2021.0,2021-01-01
232,Carlos Hernandez,KCR,85.2,56.0%, ,9.1%, , ,16.7%,18.3%, , , , ,2021.0,2021-01-01
233,Bryan Garcia,DET,39.1,55.8%, , , ,17.8%,26.4%, , , , , ,2021.0,2021-01-01
234,David Bednar,PIT,60.2,55.8%, ,20.7%, , , ,23.6%, , , , ,2021.0,2021-01-01
235,Hansel Robles,- - -,69.0,55.8%, , , ,29.6%,14.6%, , , , , ,2021.0,2021-01-01
236,Corey Oswalt,NYM,10.1,55.8%,17.3%, , ,26.9%, , , , , , ,2021.0,2021-01-01
237,Aroldis Chapman,NYY,56.1,55.7%, ,11.0%,6.6%, ,26.8%, , , , , ,2021.0,2021-01-01
238,Mike Baumann,BAL,10.0,55.7%, , , ,2.7%,35.1%,5.9%, , , ,0.5%,2021.0,2021-01-01
239,Kyle Keller,PIT,33.1,55.7%, , , , , ,44.3%, , , , ,2021.0,2021-01-01
240,Jeremy Beasley,TOR,9.1,55.6%, ,18.7%, , ,24.7%,1.0%, , , , ,2021.0,2021-01-01
241,Sam Selman,- - -,25.0,55.5%, , , , ,44.5%, , , , , ,2021.0,2021-01-01
242,Jacob Barnes,- - -,28.2,55.4%, , , ,6.8%,37.7%, , , , , ,2021.0,2021-01-01
243,Oliver Ortega,LAA,9.1,55.4%, , , , , ,44.6%, , , , ,2021.0,2021-01-01
244,Rony Garcia,DET,3.2,55.4%, , ,5.4%,5.4%,8.9%,25.0%, , , , ,2021.0,2021-01-01
245,Jackson Kowar,KCR,30.1,55.3%, , , ,30.4%,12.8%,1.4%, , , , ,2021.0,2021-01-01
246,Shawn Armstrong,- - -,36.0,55.2%,33.3%, , , ,5.4%,6.1%, , , , ,2021.0,2021-01-01
247,Mauricio Llovera,PHI,6.2,55.2%, , , ,10.3%,34.5%, , , , , ,2021.0,2021-01-01
248,Paolo Espino,WSN,109.2,55.1%, , , ,4.1%,16.3%,24.2%, , , ,0.3%,2021.0,2021-01-01
249,Zac Gallen,ARI,121.1,55.1%,6.1%, ,0.0%,16.7%,9.7%,12.5%, , , , ,2021.0,2021-01-01
250,Jose Urquidy,HOU,107.0,55.0%, , , ,18.0%,19.5%,7.4%, , , , ,2021.0,2021-01-01
251,Dean Kremer,BAL,53.2,54.9%, , ,0.8%,7.4%,21.0%,15.8%, , , , ,2021.0,2021-01-01
