#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
518,Phil Bickford,- - -,51.1,25.4%,69.0%,50.4%,40.5%,82.1%,73.1%,57.3%,27.4,2021.0,2021-01-01
519,Miguel Castro,NYM,70.1,25.3%,60.6%,41.7%,55.7%,77.7%,70.5%,46.3%,22.4,2021.0,2021-01-01
520,Framber Valdez,HOU,134.2,25.3%,58.7%,42.0%,47.5%,87.4%,75.4%,50.0%,22.0,2021.0,2021-01-01
521,Adrian Houser,MIL,142.1,25.3%,63.8%,43.7%,65.9%,91.4%,83.7%,47.8%,22.0,2021.0,2021-01-01
522,Erasmo Ramirez,DET,26.2,25.3%,69.2%,51.5%,80.0%,84.6%,83.7%,59.7%,24.7,2021.0,2021-01-01
523,Trevor Cahill,PIT,37.0,25.3%,63.3%,44.0%,60.0%,87.4%,79.5%,49.3%,22.6,2021.0,2021-01-01
524,Garrett Crochet,CHW,54.1,25.3%,61.6%,44.5%,51.4%,80.2%,72.5%,52.9%,21.8,2021.0,2021-01-01
525,Wander Suero,WSN,42.2,25.3%,69.9%,48.7%,64.8%,80.6%,76.8%,52.6%,24.3,2021.0,2021-01-01
526,Junior Guerra,LAA,65.1,25.3%,64.5%,43.2%,53.6%,84.2%,74.5%,45.7%,26.9,2021.0,2021-01-01
527,James Hoyt,LAA,8.0,25.3%,60.2%,41.2%,20.0%,84.0%,62.7%,45.6%,26.5,2021.0,2021-01-01
528,Wade LeBlanc,- - -,49.0,25.2%,68.7%,46.6%,70.6%,84.0%,80.3%,49.1%,22.4,2021.0,2021-01-01
529,Brandon Bielak,HOU,50.0,25.2%,66.8%,46.7%,47.1%,86.8%,76.4%,51.6%,23.7,2021.0,2021-01-01
530,Justin Steele,CHC,57.0,25.2%,62.5%,44.4%,50.8%,83.5%,74.5%,51.5%,21.8,2021.0,2021-01-01
531,Wes Benjamin,TEX,22.2,25.2%,70.9%,47.3%,80.0%,79.7%,79.8%,48.4%,20.9,2021.0,2021-01-01
532,Michael King,NYY,63.1,25.2%,66.2%,46.9%,67.5%,80.2%,77.0%,52.8%,24.1,2021.0,2021-01-01
533,Justin Bruihl,LAD,18.2,25.2%,72.8%,50.6%,66.7%,85.9%,81.4%,53.3%,22.6,2021.0,2021-01-01
534,David Hale,PHI,26.2,25.2%,70.3%,46.6%,70.5%,85.7%,81.4%,47.5%,21.1,2021.0,2021-01-01
535,Hansel Robles,- - -,69.0,25.2%,68.5%,48.6%,63.5%,82.2%,77.8%,54.1%,28.8,2021.0,2021-01-01
536,Wil Crowe,PIT,116.2,25.2%,66.9%,44.4%,52.2%,86.8%,76.2%,46.0%,25.1,2021.0,2021-01-01
537,Ryne Stanek,HOU,68.1,25.2%,70.0%,47.3%,51.0%,78.1%,70.8%,49.2%,28.4,2021.0,2021-01-01
538,Daniel Castano,MIA,20.1,25.2%,69.2%,49.2%,55.3%,92.1%,83.5%,54.7%,24.2,2021.0,2021-01-01
539,Logan Allen,CLE,50.1,25.2%,66.1%,44.5%,70.7%,86.4%,81.7%,47.3%,24.1,2021.0,2021-01-01
540,Zach Davies,CHC,148.0,25.1%,64.0%,42.8%,62.3%,86.7%,78.9%,45.5%,21.8,2021.0,2021-01-01
541,Carlos Hernandez,KCR,85.2,25.1%,70.0%,47.2%,56.8%,84.0%,76.7%,49.2%,24.3,2021.0,2021-01-01
542,Tony Santillan,CIN,43.1,25.1%,59.1%,42.1%,41.7%,82.7%,70.4%,49.9%,22.7,2021.0,2021-01-01
543,Kyle Funkhouser,DET,68.1,25.1%,65.4%,44.2%,58.0%,82.7%,75.3%,47.4%,24.9,2021.0,2021-01-01
544,Vladimir Gutierrez,CIN,114.0,25.1%,66.1%,45.8%,60.5%,85.7%,78.9%,50.4%,23.2,2021.0,2021-01-01
545,Austin Adams,SDP,52.2,25.1%,57.8%,40.3%,38.8%,80.3%,66.5%,46.6%,22.8,2021.0,2021-01-01
546,Ian Anderson,ATL,128.1,25.1%,67.9%,45.5%,51.2%,83.0%,73.8%,47.7%,21.9,2021.0,2021-01-01
547,JT Chargois,- - -,53.2,25.1%,68.4%,45.6%,50.9%,84.3%,74.6%,47.4%,27.4,2021.0,2021-01-01
548,Mark Melancon,SDP,64.2,25.0%,64.7%,45.3%,55.8%,89.7%,80.5%,51.1%,28.6,2021.0,2021-01-01
549,Eric Lauer,MIL,118.2,25.0%,67.4%,48.1%,64.1%,82.3%,78.0%,54.4%,22.0,2021.0,2021-01-01
550,Taijuan Walker,NYM,159.0,25.0%,63.7%,45.7%,62.8%,84.3%,78.8%,53.6%,20.0,2021.0,2021-01-01
551,Brock Holt,TEX,1.0,25.0%,50.0%,30.0%,100.0%,100.0%,100.0%,20.0%,13.3,2021.0,2021-01-01
552,Asher Wojciechowski,NYY,4.0,25.0%,59.0%,41.0%,63.6%,91.3%,82.4%,47.0%,24.6,2021.0,2021-01-01
553,Kevin Pillar,NYM,0.1,25.0%,100.0%,50.0%,0.0%,100.0%,66.7%,33.3%,16.2,2021.0,2021-01-01
554,Robel Garcia,HOU,1.0,25.0%,64.7%,48.3%,100.0%,100.0%,100.0%,58.6%,16.5,2021.0,2021-01-01
555,Kevin Plawecki,BOS,1.0,25.0%,80.0%,55.6%,100.0%,100.0%,100.0%,55.6%,13.0,2021.0,2021-01-01
556,Anthony Bemboom,LAA,1.0,25.0%,61.5%,47.6%,100.0%,100.0%,100.0%,61.9%,12.6,2021.0,2021-01-01
557,Daniel Robertson,MIL,1.0,25.0%,66.7%,50.0%,100.0%,75.0%,80.0%,60.0%,14.0,2021.0,2021-01-01
558,Andrew Vasquez,LAD,1.2,25.0%,68.4%,55.6%,100.0%,69.2%,73.3%,70.4%,23.1,2021.0,2021-01-01
559,Connor Seabold,BOS,3.0,25.0%,60.9%,44.2%,100.0%,92.9%,94.7%,53.5%,26.2,2021.0,2021-01-01
560,Patrick Murphy,- - -,28.0,25.0%,67.8%,46.3%,52.5%,87.2%,77.8%,49.8%,25.6,2021.0,2021-01-01
561,Adonis Medina,PHI,7.2,25.0%,53.8%,38.7%,72.2%,80.0%,77.4%,47.4%,20.8,2021.0,2021-01-01
562,Rich Hill,- - -,158.2,25.0%,62.2%,45.7%,62.3%,83.4%,78.3%,55.7%,21.8,2021.0,2021-01-01
563,German Marquez,COL,180.0,24.9%,67.1%,47.0%,42.9%,84.7%,74.1%,52.4%,21.2,2021.0,2021-01-01
564,Bryan Abreu,HOU,36.0,24.9%,69.3%,45.3%,43.0%,82.2%,70.5%,45.9%,24.5,2021.0,2021-01-01
565,Alex Vesia,LAD,40.0,24.9%,69.0%,47.9%,50.0%,68.2%,63.7%,52.2%,27.5,2021.0,2021-01-01
566,Luis Gil,NYY,29.1,24.9%,69.5%,46.6%,54.4%,78.9%,72.2%,48.7%,22.5,2021.0,2021-01-01
567,Carson Fulmer,CIN,25.2,24.9%,64.4%,41.7%,45.3%,86.2%,72.2%,42.6%,23.2,2021.0,2021-01-01
568,Dillon Tate,BAL,67.2,24.9%,62.0%,45.4%,61.2%,84.9%,79.1%,55.3%,22.2,2021.0,2021-01-01
569,Robert Dugger,SEA,25.2,24.9%,65.4%,46.0%,54.5%,84.1%,76.4%,52.1%,23.4,2021.0,2021-01-01
570,Yohan Ramirez,SEA,27.2,24.9%,64.6%,45.2%,37.7%,75.0%,65.0%,51.1%,24.4,2021.0,2021-01-01
571,Junior Fernandez,STL,20.2,24.9%,74.9%,47.6%,58.0%,76.8%,71.4%,45.4%,26.6,2021.0,2021-01-01
572,Humberto Mejia,ARI,22.1,24.9%,72.7%,49.9%,64.0%,86.3%,81.0%,52.3%,21.2,2021.0,2021-01-01
573,Tyler Rogers,SFG,81.0,24.8%,69.2%,50.8%,76.7%,87.3%,85.2%,58.6%,23.4,2021.0,2021-01-01
574,Wade Davis,KCR,42.2,24.8%,72.5%,48.2%,52.6%,88.0%,78.7%,49.2%,25.0,2021.0,2021-01-01
575,Chris Bassitt,OAK,157.1,24.8%,65.0%,47.6%,60.5%,84.3%,78.9%,56.7%,24.6,2021.0,2021-01-01
576,Jeff Hoffman,CIN,73.0,24.8%,66.5%,44.3%,50.3%,83.3%,73.5%,46.9%,24.1,2021.0,2021-01-01
577,Ryan Brasier,BOS,12.0,24.7%,72.2%,50.8%,50.0%,83.3%,76.0%,54.8%,28.7,2021.0,2021-01-01
578,Martin Perez,BOS,114.0,24.7%,66.8%,46.0%,65.6%,87.8%,81.9%,50.6%,24.0,2021.0,2021-01-01
579,Joe Ross,WSN,108.0,24.7%,62.3%,45.8%,57.6%,81.8%,76.1%,56.2%,24.8,2021.0,2021-01-01
580,Keegan Akin,BAL,95.0,24.7%,68.4%,49.0%,65.8%,84.0%,79.9%,55.8%,21.3,2021.0,2021-01-01
581,Garrett Richards,BOS,136.2,24.7%,70.5%,48.9%,51.7%,88.6%,79.8%,52.9%,24.5,2021.0,2021-01-01
582,Freddy Peralta,MIL,144.1,24.7%,64.8%,45.0%,43.2%,76.7%,67.6%,50.6%,24.5,2021.0,2021-01-01
583,Nestor Cortes,NYY,93.0,24.7%,69.1%,48.0%,67.4%,82.1%,78.6%,52.6%,21.1,2021.0,2021-01-01
584,Justin Wilson,- - -,34.0,24.6%,65.7%,46.7%,72.5%,84.5%,81.6%,53.6%,24.6,2021.0,2021-01-01
585,Jhoulys Chacin,COL,64.1,24.6%,65.6%,45.5%,62.8%,85.2%,79.3%,51.0%,24.9,2021.0,2021-01-01
586,Aroldis Chapman,NYY,56.1,24.6%,63.0%,44.0%,38.5%,70.6%,61.8%,50.6%,30.5,2021.0,2021-01-01
587,Brad Brach,CIN,30.0,24.6%,65.5%,44.2%,55.4%,79.1%,72.3%,48.0%,22.7,2021.0,2021-01-01
588,Jordan Hicks,STL,10.0,24.6%,57.1%,38.1%,69.0%,87.5%,80.5%,41.6%,26.0,2021.0,2021-01-01
589,Drew Hutchison,DET,21.1,24.6%,71.4%,47.8%,47.6%,89.2%,78.4%,49.6%,23.0,2021.0,2021-01-01
590,Wyatt Mills,SEA,12.2,24.5%,57.5%,41.7%,66.7%,88.4%,82.3%,52.2%,25.1,2021.0,2021-01-01
591,Kwang-hyun Kim,STL,106.2,24.5%,63.1%,43.4%,59.6%,87.5%,79.5%,49.0%,21.3,2021.0,2021-01-01
592,Eric Hanhold,BAL,10.1,24.5%,72.5%,47.6%,50.0%,83.3%,74.4%,48.1%,23.3,2021.0,2021-01-01
593,Jack Flaherty,STL,78.1,24.4%,64.7%,44.6%,49.7%,82.9%,73.8%,50.1%,23.4,2021.0,2021-01-01
594,Cody Poteet,MIA,30.2,24.4%,66.9%,46.9%,55.6%,83.5%,76.7%,52.9%,22.8,2021.0,2021-01-01
595,Chase Anderson,PHI,48.0,24.4%,66.1%,46.0%,64.0%,83.2%,78.3%,51.9%,21.6,2021.0,2021-01-01
596,Genesis Cabrera,STL,70.0,24.4%,67.7%,47.0%,52.9%,83.0%,75.5%,52.2%,26.5,2021.0,2021-01-01
597,Sean Poppen,- - -,22.2,24.4%,55.9%,40.9%,44.7%,89.9%,77.1%,52.5%,22.7,2021.0,2021-01-01
598,Jon Lester,- - -,141.1,24.3%,69.1%,45.8%,65.4%,87.0%,81.0%,48.0%,22.6,2021.0,2021-01-01
599,Tyler Gilbert,ARI,40.0,24.3%,73.0%,52.3%,62.9%,88.9%,83.8%,57.5%,22.6,2021.0,2021-01-01
600,Ross Detwiler,- - -,52.1,24.3%,64.8%,44.9%,53.8%,87.7%,78.7%,50.9%,25.8,2021.0,2021-01-01
601,Kohei Arihara,TEX,40.2,24.3%,62.9%,43.2%,62.8%,91.2%,83.1%,49.1%,24.0,2021.0,2021-01-01
602,Javy Guerra,WSN,6.0,24.3%,73.1%,50.0%,70.6%,93.0%,87.8%,52.7%,27.3,2021.0,2021-01-01
603,Hans Crouse,PHI,7.0,24.3%,77.0%,48.9%,47.1%,85.1%,75.0%,46.6%,27.3,2021.0,2021-01-01
604,Kyle Crick,PIT,24.1,24.3%,58.6%,39.4%,55.9%,85.7%,75.4%,44.0%,24.6,2021.0,2021-01-01
605,David Phelps,TOR,10.1,24.3%,59.3%,40.2%,60.0%,80.4%,73.7%,45.5%,24.2,2021.0,2021-01-01
606,Matt Manning,DET,85.1,24.3%,65.7%,46.9%,72.4%,89.4%,85.5%,54.8%,22.4,2021.0,2021-01-01
607,Nick Tropeano,- - -,8.0,24.2%,72.2%,45.8%,31.3%,97.4%,78.2%,45.0%,24.2,2021.0,2021-01-01
608,Tejay Antone,CIN,33.2,24.2%,54.2%,41.4%,50.0%,74.8%,68.7%,57.4%,21.2,2021.0,2021-01-01
609,Carl Edwards Jr.,- - -,5.2,24.2%,71.7%,44.4%,40.0%,87.9%,72.9%,42.6%,24.9,2021.0,2021-01-01
610,Shaun Anderson,- - -,23.1,24.2%,70.4%,48.1%,47.1%,85.5%,76.2%,51.7%,25.9,2021.0,2021-01-01
611,Reiss Knehr,SDP,29.0,24.2%,70.9%,46.4%,67.7%,84.4%,79.8%,47.6%,23.0,2021.0,2021-01-01
612,Tony Gonsolin,LAD,55.2,24.2%,68.0%,44.3%,45.0%,82.6%,71.5%,46.1%,23.3,2021.0,2021-01-01
613,Jake Diekman,OAK,60.2,24.2%,63.8%,43.8%,40.4%,80.5%,69.4%,49.6%,26.7,2021.0,2021-01-01
614,Tim Hill,SDP,59.2,24.1%,62.8%,47.5%,64.1%,82.4%,78.7%,60.4%,22.0,2021.0,2021-01-01
615,Kyle Nelson,CLE,9.2,24.1%,59.6%,42.0%,47.6%,83.0%,73.0%,50.6%,20.0,2021.0,2021-01-01
616,Caleb Smith,ARI,113.2,24.1%,65.8%,45.8%,62.3%,80.2%,75.7%,52.1%,23.7,2021.0,2021-01-01
617,James Karinchak,CLE,55.1,24.1%,65.0%,43.2%,57.6%,76.3%,70.7%,46.7%,28.4,2021.0,2021-01-01
618,Scott Kazmir,SFG,11.1,24.0%,72.9%,49.3%,45.8%,93.6%,82.4%,51.7%,23.1,2021.0,2021-01-01
619,Jace Peterson,MIL,2.0,24.0%,53.3%,35.0%,83.3%,100.0%,92.9%,37.5%,14.1,2021.0,2021-01-01
620,Sam Clay,WSN,45.0,24.0%,62.9%,43.7%,51.6%,91.4%,80.6%,50.7%,23.1,2021.0,2021-01-01
621,Matt Foster,CHW,39.0,24.0%,71.1%,49.0%,64.6%,83.3%,79.0%,53.1%,28.5,2021.0,2021-01-01
622,Cristian Javier,HOU,101.1,24.0%,68.6%,44.9%,48.7%,79.5%,70.8%,46.9%,24.6,2021.0,2021-01-01
623,Nick Wittgren,CLE,62.1,24.0%,66.2%,46.3%,57.4%,82.0%,76.0%,52.8%,26.4,2021.0,2021-01-01
624,Steven Matz,TOR,150.2,24.0%,64.7%,46.7%,59.6%,85.4%,79.6%,55.9%,20.8,2021.0,2021-01-01
625,Jordan Weems,- - -,5.2,23.9%,68.3%,44.8%,52.9%,88.4%,78.3%,47.0%,23.5,2021.0,2021-01-01
626,Brad Keller,KCR,133.2,23.9%,67.0%,44.5%,57.3%,88.0%,79.4%,47.7%,20.6,2021.0,2021-01-01
627,Ryan Burr,CHW,36.2,23.9%,65.5%,44.0%,50.7%,87.2%,77.0%,48.4%,24.8,2021.0,2021-01-01
628,Brady Singer,KCR,128.1,23.8%,61.2%,43.4%,51.7%,84.6%,76.0%,52.4%,22.5,2021.0,2021-01-01
629,Ross Stripling,TOR,101.1,23.8%,68.0%,47.0%,58.1%,85.0%,78.6%,52.5%,24.4,2021.0,2021-01-01
630,Raynel Espinal,BOS,2.0,23.8%,93.3%,52.8%,60.0%,100.0%,89.5%,41.7%,21.3,2021.0,2021-01-01
631,Jose Ruiz,CHW,65.0,23.8%,69.7%,48.6%,51.3%,84.9%,77.4%,54.2%,24.1,2021.0,2021-01-01
632,Casey Mize,DET,150.1,23.8%,65.3%,45.6%,57.9%,86.3%,79.2%,52.5%,20.8,2021.0,2021-01-01
633,Rex Brothers,CHC,53.0,23.8%,66.7%,43.2%,34.6%,82.1%,67.8%,45.3%,27.1,2021.0,2021-01-01
634,Corey Knebel,LAD,25.2,23.8%,70.2%,49.1%,55.8%,78.4%,73.5%,54.6%,25.4,2021.0,2021-01-01
635,Erick Fedde,WSN,133.1,23.7%,65.0%,44.2%,58.5%,87.1%,79.3%,49.5%,22.3,2021.0,2021-01-01
636,Wily Peralta,DET,93.2,23.7%,67.2%,45.2%,61.5%,87.4%,80.5%,49.3%,22.1,2021.0,2021-01-01
637,Vince Velasquez,- - -,94.1,23.7%,67.9%,46.5%,58.2%,80.4%,74.9%,51.6%,26.2,2021.0,2021-01-01
638,Jorge Lopez,BAL,121.2,23.7%,61.3%,43.5%,62.4%,87.3%,80.9%,52.8%,21.3,2021.0,2021-01-01
639,Joe Jimenez,DET,45.1,23.6%,69.8%,47.5%,39.4%,80.1%,70.3%,51.6%,24.6,2021.0,2021-01-01
640,Shane Greene,- - -,23.2,23.6%,62.1%,42.9%,60.0%,86.3%,79.1%,50.2%,26.1,2021.0,2021-01-01
641,Justus Sheffield,SEA,80.1,23.6%,65.3%,44.0%,57.6%,89.6%,80.8%,49.0%,25.4,2021.0,2021-01-01
642,Duane Underwood Jr.,PIT,72.2,23.6%,64.3%,44.8%,54.9%,85.3%,77.6%,52.1%,23.1,2021.0,2021-01-01
643,Carlos Martinez,STL,82.1,23.6%,65.2%,45.9%,57.9%,89.5%,81.9%,53.6%,20.3,2021.0,2021-01-01
644,Blaine Hardy,MIL,1.0,23.5%,64.3%,41.9%,100.0%,88.9%,92.3%,45.2%,21.0,2021.0,2021-01-01
645,Garrett Cleavinger,LAD,18.0,23.5%,52.3%,38.8%,42.5%,89.1%,75.9%,53.2%,28.6,2021.0,2021-01-01
646,Mauricio Llovera,PHI,6.2,23.5%,63.6%,44.8%,50.0%,87.8%,78.5%,53.1%,24.7,2021.0,2021-01-01
647,Dylan Coleman,KCR,6.1,23.5%,75.9%,51.4%,66.7%,77.3%,75.0%,53.2%,24.7,2021.0,2021-01-01
648,Trevor Stephan,CLE,63.1,23.5%,68.0%,47.2%,51.9%,78.4%,72.2%,53.3%,25.0,2021.0,2021-01-01
649,Dakota Hudson,STL,8.2,23.4%,70.1%,47.3%,73.3%,91.5%,87.1%,51.1%,23.7,2021.0,2021-01-01
650,Johan Oviedo,STL,62.1,23.4%,66.8%,44.5%,48.1%,86.1%,75.8%,48.5%,23.3,2021.0,2021-01-01
651,Taylor Williams,- - -,11.2,23.4%,64.8%,43.8%,42.3%,88.6%,76.0%,49.3%,26.5,2021.0,2021-01-01
652,Miguel Aguilar,ARI,7.0,23.4%,71.9%,50.0%,63.6%,92.7%,86.5%,54.8%,24.1,2021.0,2021-01-01
653,Kolby Allard,TEX,124.2,23.4%,69.6%,48.3%,64.0%,87.4%,82.2%,53.8%,22.6,2021.0,2021-01-01
654,Josh Rogers,WSN,35.2,23.3%,70.7%,47.8%,51.7%,91.3%,82.0%,51.8%,20.2,2021.0,2021-01-01
655,Mychal Givens,- - -,51.0,23.3%,63.1%,43.2%,58.8%,78.9%,73.5%,49.9%,24.6,2021.0,2021-01-01
656,Phillips Valdez,BOS,40.0,23.3%,62.3%,41.8%,65.5%,85.1%,79.4%,47.4%,24.0,2021.0,2021-01-01
657,Jon Heasley,KCR,14.2,23.3%,69.2%,44.8%,77.4%,91.4%,87.5%,46.8%,21.4,2021.0,2021-01-01
658,Zac Lowther,BAL,29.2,23.3%,62.7%,43.4%,49.2%,85.8%,76.2%,51.1%,19.7,2021.0,2021-01-01
659,Josh Staumont,KCR,65.2,23.3%,63.8%,43.3%,51.9%,84.1%,75.4%,49.5%,28.9,2021.0,2021-01-01
660,Steve Cishek,LAA,68.1,23.3%,61.7%,41.3%,67.7%,86.5%,80.9%,46.8%,22.8,2021.0,2021-01-01
661,Cam Bedrosian,- - -,25.0,23.2%,69.3%,45.9%,54.5%,85.6%,77.7%,49.4%,27.6,2021.0,2021-01-01
662,Jimmy Herget,- - -,18.2,23.1%,63.2%,43.5%,44.1%,78.1%,69.2%,50.8%,24.6,2021.0,2021-01-01
663,Brandon Workman,- - -,28.0,23.1%,60.1%,40.2%,64.1%,85.3%,78.7%,46.2%,23.1,2021.0,2021-01-01
664,Andrew Miller,STL,36.0,23.1%,60.6%,43.1%,47.8%,84.0%,74.9%,53.2%,21.4,2021.0,2021-01-01
665,Brett Anderson,MIL,96.0,23.1%,63.3%,41.1%,65.1%,92.7%,84.1%,44.7%,17.4,2021.0,2021-01-01
666,Jordan Luplow,TBR,1.0,23.1%,80.0%,38.9%,100.0%,100.0%,100.0%,27.8%,10.5,2021.0,2021-01-01
667,Joan Adon,WSN,5.1,23.1%,57.1%,38.3%,33.3%,83.3%,66.7%,44.7%,23.0,2021.0,2021-01-01
668,Jon Gray,COL,149.0,23.1%,64.5%,45.0%,46.5%,84.4%,75.3%,53.0%,23.8,2021.0,2021-01-01
669,JC Mejia,CLE,52.1,23.0%,67.1%,45.6%,58.2%,87.9%,80.6%,51.3%,23.2,2021.0,2021-01-01
670,Marcos Diplan,BAL,30.0,23.0%,66.8%,45.9%,57.1%,82.7%,76.6%,52.3%,22.7,2021.0,2021-01-01
671,Ljay Newsome,SEA,14.2,22.9%,74.7%,54.5%,64.0%,81.1%,78.3%,60.9%,22.8,2021.0,2021-01-01
672,Kris Bubic,KCR,130.0,22.9%,64.9%,44.6%,57.0%,85.8%,78.6%,51.7%,22.9,2021.0,2021-01-01
673,Peter Solomon,HOU,14.0,22.9%,69.8%,42.7%,66.7%,88.1%,81.4%,42.3%,23.0,2021.0,2021-01-01
674,Thomas Eshelman,BAL,27.2,22.9%,60.1%,44.2%,69.8%,92.1%,87.2%,57.4%,19.2,2021.0,2021-01-01
675,Dean Kremer,BAL,53.2,22.9%,66.5%,45.2%,62.7%,87.8%,81.6%,51.2%,22.3,2021.0,2021-01-01
676,Jay Flaa,- - -,2.2,22.9%,69.2%,42.6%,25.0%,72.2%,57.7%,42.6%,22.7,2021.0,2021-01-01
677,Domingo Tapia,- - -,33.2,22.8%,62.5%,42.1%,60.7%,87.3%,79.9%,48.7%,25.4,2021.0,2021-01-01
678,Nate Jones,- - -,19.0,22.8%,79.4%,52.1%,55.9%,79.5%,74.5%,51.8%,23.5,2021.0,2021-01-01
679,Ryan Hendrix,CIN,31.2,22.8%,62.4%,40.6%,42.6%,79.5%,68.0%,44.8%,24.6,2021.0,2021-01-01
680,Blake Taylor,HOU,42.2,22.8%,70.1%,44.5%,55.4%,85.5%,77.2%,46.0%,24.4,2021.0,2021-01-01
681,Yency Almonte,COL,47.2,22.7%,65.8%,42.7%,42.5%,86.4%,73.8%,46.3%,23.0,2021.0,2021-01-01
682,Daniel Bard,COL,65.2,22.7%,67.3%,46.3%,43.1%,80.4%,71.8%,53.0%,28.0,2021.0,2021-01-01
683,Oliver Ortega,LAA,9.1,22.7%,57.5%,41.0%,80.0%,97.6%,93.0%,52.5%,23.9,2021.0,2021-01-01
684,Edward Cabrera,MIA,26.1,22.7%,68.0%,43.6%,49.2%,82.1%,72.9%,46.1%,25.0,2021.0,2021-01-01
685,Jimmy Lambert,CHW,13.0,22.7%,71.7%,48.0%,77.8%,86.8%,84.7%,51.6%,21.9,2021.0,2021-01-01
686,Jose Alvarado,PHI,55.2,22.6%,59.2%,39.9%,36.0%,82.9%,68.8%,47.2%,28.2,2021.0,2021-01-01
687,Antonio Senzatela,COL,156.2,22.6%,67.4%,47.5%,59.3%,87.9%,81.9%,55.7%,20.9,2021.0,2021-01-01
688,Taylor Widener,ARI,70.1,22.6%,66.2%,45.2%,61.4%,84.2%,78.7%,51.9%,26.4,2021.0,2021-01-01
689,Lou Trivino,OAK,73.2,22.5%,67.6%,46.2%,59.5%,83.0%,77.6%,52.5%,24.8,2021.0,2021-01-01
690,Taylor Hearn,TEX,104.1,22.5%,66.0%,46.0%,60.1%,85.4%,79.7%,54.1%,24.4,2021.0,2021-01-01
691,Beau Burrows,- - -,11.0,22.5%,73.2%,46.8%,67.7%,88.2%,83.1%,47.9%,22.0,2021.0,2021-01-01
692,Sean Reid-Foley,NYM,20.2,22.5%,71.2%,46.6%,50.0%,79.4%,72.3%,49.6%,26.8,2021.0,2021-01-01
693,Matt Peacock,ARI,86.1,22.4%,67.1%,46.1%,60.7%,89.2%,82.7%,53.0%,20.0,2021.0,2021-01-01
694,Spencer Howard,- - -,49.2,22.4%,64.1%,44.7%,64.3%,80.0%,76.3%,53.3%,23.0,2021.0,2021-01-01
695,Caleb Baragar,SFG,23.0,22.4%,69.4%,47.8%,64.9%,81.3%,77.8%,53.9%,20.6,2021.0,2021-01-01
696,Cody Reed,TBR,9.2,22.4%,58.3%,39.9%,47.1%,88.1%,76.3%,48.6%,21.1,2021.0,2021-01-01
697,Jake Brentz,KCR,64.0,22.4%,64.3%,43.4%,43.9%,81.0%,71.5%,50.2%,23.5,2021.0,2021-01-01
698,Paul Fry,BAL,47.1,22.4%,58.0%,40.3%,49.5%,86.2%,76.1%,50.2%,22.6,2021.0,2021-01-01
699,Miguel Diaz,SDP,42.0,22.3%,62.4%,43.0%,61.3%,89.3%,82.3%,51.7%,22.4,2021.0,2021-01-01
700,John Gant,- - -,110.0,22.3%,66.4%,42.8%,55.9%,86.2%,77.8%,46.4%,25.5,2021.0,2021-01-01
701,Rafael Dolis,TOR,32.0,22.3%,62.4%,40.9%,51.4%,83.3%,74.0%,46.3%,31.1,2021.0,2021-01-01
702,J.D. Hammer,PHI,20.0,22.3%,60.6%,41.5%,62.2%,82.1%,76.8%,50.1%,24.8,2021.0,2021-01-01
703,Fernando Abad,BAL,17.2,22.2%,61.6%,43.8%,70.0%,92.1%,87.0%,54.8%,22.0,2021.0,2021-01-01
704,Dusten Knight,BAL,8.2,22.2%,65.5%,42.5%,54.5%,80.7%,73.4%,46.8%,24.1,2021.0,2021-01-01
705,Josh James,HOU,5.0,22.2%,52.4%,40.6%,33.3%,81.8%,71.4%,60.9%,23.1,2021.0,2021-01-01
706,Zack Burdi,- - -,10.0,22.2%,72.7%,47.2%,50.0%,76.6%,70.2%,49.4%,26.6,2021.0,2021-01-01
707,Isaac Mattson,BAL,4.1,22.2%,67.4%,45.1%,60.0%,83.9%,78.0%,50.5%,22.3,2021.0,2021-01-01
708,Luis Frias,ARI,3.1,22.2%,59.4%,39.7%,62.5%,84.2%,77.8%,47.1%,26.0,2021.0,2021-01-01
709,Nick Allgeyer,TOR,1.0,22.2%,60.0%,35.7%,50.0%,66.7%,60.0%,35.7%,17.5,2021.0,2021-01-01
710,Jake Woodford,STL,67.2,22.2%,63.6%,43.4%,66.4%,86.7%,81.7%,51.3%,22.8,2021.0,2021-01-01
711,Jon Duplantier,ARI,13.0,22.1%,64.0%,43.7%,72.4%,85.4%,82.2%,51.5%,22.1,2021.0,2021-01-01
712,Clay Holmes,- - -,70.0,22.1%,57.5%,41.1%,43.5%,82.7%,72.9%,53.7%,26.2,2021.0,2021-01-01
713,Lucas Gilbreath,COL,42.2,22.1%,69.2%,45.3%,42.7%,80.7%,71.3%,49.2%,24.0,2021.0,2021-01-01
714,Keegan Thompson,CHC,53.1,22.1%,68.6%,46.6%,52.5%,85.1%,77.8%,52.7%,23.5,2021.0,2021-01-01
715,Dustin May,LAD,23.0,22.1%,66.2%,46.3%,44.4%,75.6%,68.9%,54.8%,22.3,2021.0,2021-01-01
716,Jace Fry,CHW,6.2,22.1%,64.4%,40.4%,64.7%,89.5%,81.8%,43.4%,21.1,2021.0,2021-01-01
717,Charlie Barnes,MIN,38.0,22.1%,64.8%,44.7%,61.8%,91.1%,84.3%,53.0%,21.6,2021.0,2021-01-01
718,Jose Cisnero,DET,61.2,22.1%,64.8%,44.7%,69.4%,81.7%,78.8%,52.9%,25.2,2021.0,2021-01-01
